Transcript	GC	GC1	GC2	GC3
ATCG00700	44.696969696969695	56.81818181818182	40.90909090909091	36.36363636363637
ATCG00830	43.515151515151516	50.90909090909091	49.09090909090909	30.545454545454547
ATCG00480	42.48496993987976	56.1122244488978	40.88176352705411	30.460921843687373
ATCG00080	34.234234234234236	51.351351351351354	29.72972972972973	21.62162162162162
ATCG00430	38.34808259587021	43.80530973451327	44.24778761061947	26.991150442477878
ATCG00350	41.500221926320464	52.197070572569906	43.00932090545939	29.29427430093209
ATCG00570	41.666666666666664	45.0	45.0	35.0
ATCG00690	29.41176470588235	32.35294117647059	35.294117647058826	20.58823529411765
ATCG00160	38.39662447257384	43.037974683544306	42.19409282700422	29.957805907172997
ATCG01280	37.29847494553377	41.22004357298475	34.20479302832244	36.470588235294116
ATCG00770	35.80246913580247	38.51851851851852	39.25925925925926	29.62962962962963
ATCG00670	39.93231810490694	52.79187817258883	38.07106598984772	28.934010152284262
ATCG00380	38.118811881188115	52.475247524752476	35.64356435643565	26.237623762376238
ATCG00580	42.46031746031746	44.04761904761905	47.61904761904762	35.714285714285715
ATCG00300	34.92063492063492	36.507936507936506	41.26984126984127	26.984126984126984
ATCG01000	34.593023255813954	40.69767441860465	30.232558139534884	32.848837209302324
ATCG01130	28.651371012870733	35.142697257974255	27.756015668718522	23.05540011191942
ATCG00440	36.63911845730028	47.93388429752066	34.710743801652896	27.272727272727273
ATCG00680	43.15651604453176	55.99214145383104	45.97249508840864	27.5049115913556
ATCG00900	41.02564102564103	52.56410256410256	45.51282051282051	25.0
ATCG00040	31.372549019607842	37.381404174573056	29.79127134724858	26.944971537001898
ATCG00470	39.59899749373434	51.12781954887218	39.849624060150376	27.81954887218045
ATCG00170	36.74655047204067	44.734931009440814	36.89179375453885	28.612926652142338
ATCG01080	34.27495291902071	44.067796610169495	33.333333333333336	25.423728813559322
ATCG00120	40.41994750656168	54.330708661417326	39.76377952755905	27.165354330708663
ATCG01110	36.97123519458545	51.015228426395936	36.54822335025381	23.3502538071066
ATCG00270	41.80790960451977	52.259887005649716	43.220338983050844	29.943502824858758
ATCG01010	30.388219544846052	35.34136546184739	34.805890227576974	21.017402945113787
ATCG01040	28.875379939209726	31.306990881458965	33.73860182370821	21.580547112462007
ATCG00550	38.21138211382114	43.90243902439025	48.78048780487805	21.951219512195124
ATCG00360	40.15748031496063	51.181102362204726	37.79527559055118	31.496062992125985
ATCG00065	48.24561403508772	50.0	57.89473684210526	36.8421052631579
ATCG00840	36.87943262411348	42.5531914893617	38.297872340425535	29.78723404255319
ATCG01070	32.35294117647059	40.19607843137255	31.372549019607842	25.49019607843137
ATCG00760	39.473684210526315	39.473684210526315	47.36842105263158	31.57894736842105
ATCG00490	43.958333333333336	57.916666666666664	43.75	30.208333333333332
ATCG00140	45.1219512195122	63.41463414634146	48.78048780487805	23.170731707317074
ATCG01270	32.47863247863248	42.30769230769231	25.641025641025642	29.487179487179485
ATCG00905	41.47286821705426	54.651162790697676	43.02325581395349	26.74418604651163
ATCG00810	34.161490683229815	40.37267080745342	37.267080745341616	24.84472049689441
ATCG00720	39.04320987654321	49.53703703703704	41.2037037037037	26.38888888888889
ATCG01230	41.47286821705426	54.651162790697676	43.02325581395349	26.74418604651163
ATCG00220	30.476190476190474	45.714285714285715	25.714285714285715	20.0
ATCG01120	30.711610486891384	41.57303370786517	29.213483146067414	21.348314606741575
ATCG01240	41.02564102564103	52.56410256410256	45.51282051282051	25.0
ATCG00870	32.47863247863248	42.30769230769231	25.641025641025642	29.487179487179485
ATCG00540	38.110072689511945	51.71339563862929	35.82554517133956	26.79127725856698
ATCG00790	40.931372549019606	50.73529411764706	51.470588235294116	20.58823529411765
ATCG00150	37.86666666666667	49.6	36.0	28.0
ATCG00130	34.5945945945946	43.24324324324324	32.432432432432435	28.10810810810811
ATCG01310	43.515151515151516	50.90909090909091	49.09090909090909	30.545454545454547
ATCG00860	37.29847494553377	41.22004357298475	34.20479302832244	36.470588235294116
ATCG00750	44.124700239808156	53.9568345323741	56.83453237410072	21.58273381294964
ATCG00730	39.130434782608695	51.5527950310559	39.75155279503105	26.08695652173913
ATCG01300	36.87943262411348	42.5531914893617	38.297872340425535	29.78723404255319
ATCG01090	33.52601156069364	41.040462427745666	38.15028901734104	21.387283236994218
ATCG00560	30.76923076923077	35.8974358974359	28.205128205128204	28.205128205128204
ATCG00650	33.00653594771242	33.333333333333336	43.13725490196079	22.54901960784314
ATCG00190	38.5834109972041	50.60577819198509	37.46505125815471	27.679403541472507
ATCG00780	37.669376693766935	52.03252032520325	39.02439024390244	21.951219512195124
ATCG00630	34.81481481481482	42.22222222222222	40.0	22.22222222222222
ATCG00530	30.72463768115942	36.52173913043478	27.391304347826086	28.26086956521739
AT2G40435	42.76729559748428	50.943396226415096	35.84905660377358	41.509433962264154
AT2G43120	42.0017873100983	48.525469168900806	39.67828418230563	37.80160857908847
AT2G31240	42.448759439050704	51.94174757281554	35.76051779935275	39.64401294498382
AT2G25630	41.70068027210884	46.93877551020408	39.38775510204081	38.775510204081634
AT2G35480	46.42857142857143	45.40816326530612	41.326530612244895	52.55102040816327
AT2G29730	42.592592592592595	54.27350427350427	33.547008547008545	39.957264957264954
AT2G17600	40.27538726333907	44.406196213425126	41.13597246127367	35.28399311531842
AT2G25530	43.03861788617886	51.829268292682926	37.80487804878049	39.48170731707317
AT2G27960	48.10606060606061	62.5	30.681818181818183	51.13636363636363
AT2G21390	45.118949958982775	53.97867104183757	39.54060705496308	41.83757178014766
AT2G23210	42.013888888888886	51.736111111111114	36.458333333333336	37.84722222222222
AT2G21930	40.47019311502939	44.83627204030227	38.287153652392945	38.287153652392945
AT2G29300	41.347270615563296	48.43205574912892	42.857142857142854	32.75261324041812
AT2G21640	46.666666666666664	48.57142857142857	34.285714285714285	57.142857142857146
AT2G35740	50.94664371772806	51.97934595524957	44.406196213425126	56.454388984509464
AT2G18870	41.388888888888886	42.916666666666664	40.833333333333336	40.416666666666664
AT2G37550	46.68125455871627	49.23413566739606	48.14004376367615	42.669584245076585
AT2G31370	43.85964912280702	56.8922305764411	37.84461152882206	36.8421052631579
AT2G15530	44.25949637217243	48.91165172855314	49.16773367477593	34.69910371318822
AT2G26900	44.552845528455286	50.0	45.853658536585364	37.80487804878049
AT2G38310	52.88461538461539	58.65384615384615	44.71153846153846	55.28846153846154
AT2G43600	43.27683615819209	41.69491525423729	42.71186440677966	45.42372881355932
AT2G02680	41.07692307692308	48.46153846153846	37.38461538461539	37.38461538461539
AT2G20380	43.64851957975167	46.99140401146132	41.260744985673355	42.693409742120345
AT2G28410	47.41379310344828	51.724137931034484	49.13793103448276	41.37931034482759
AT2G07714	43.99323181049069	48.223350253807105	42.131979695431475	41.6243654822335
AT2G22960	40.54054054054054	45.4054054054054	39.45945945945946	36.75675675675676
AT2G19580	46.86346863468635	47.23247232472325	40.95940959409594	52.398523985239855
AT2G06105	48.25234441602728	49.87212276214834	45.26854219948849	49.61636828644501
AT2G32710	44.59770114942529	50.3448275862069	47.58620689655172	35.86206896551724
AT2G39710	46.27539503386004	47.40406320541761	45.372460496613996	46.04966139954853
AT2G38230	50.96774193548387	62.25806451612903	41.61290322580645	49.03225806451613
AT2G05180	45.82392776523702	51.01580135440181	36.794582392776526	49.66139954853273
AT2G02510	49.77168949771689	54.794520547945204	47.945205479452056	46.57534246575342
AT2G23430	41.31944444444444	44.791666666666664	34.895833333333336	44.270833333333336
AT2G41220	45.25562372188139	54.66257668711656	42.63803680981595	38.466257668711656
AT2G19820	37.86666666666667	43.2	35.2	35.2
AT2G35920	43.74189364461738	53.89105058365759	40.856031128404666	36.478599221789885
AT2G16970	42.44396240057845	46.85466377440347	40.3470715835141	40.130151843817785
AT2G17980	45.43524416135881	51.7515923566879	37.4203821656051	47.13375796178344
AT2G04100	46.074380165289256	51.239669421487605	43.80165289256198	43.18181818181818
AT2G46620	43.766937669376695	47.15447154471545	35.16260162601626	48.983739837398375
AT2G43750	46.649703138252754	53.68956743002545	44.783715012722645	41.475826972010175
AT2G19690	41.834451901566	44.29530201342282	41.61073825503356	39.59731543624161
AT2G24490	43.45238095238095	50.714285714285715	37.5	42.142857142857146
AT2G20790	46.74267100977199	52.931596091205215	45.60260586319218	41.693811074918564
AT2G18328	45.2991452991453	47.43589743589744	46.15384615384615	42.30769230769231
AT2G15080	39.363143631436316	42.58130081300813	36.17886178861789	39.329268292682926
AT2G45695	41.1764705882353	55.88235294117647	30.392156862745097	37.254901960784316
AT2G33130	42.94871794871795	47.11538461538461	38.46153846153846	43.26923076923077
AT2G27920	40.25974025974026	48.701298701298704	35.064935064935064	37.01298701298701
AT2G42700	43.625192012288785	53.225806451612904	41.474654377880185	36.175115207373274
AT2G37678	37.11001642036125	42.857142857142854	31.03448275862069	37.4384236453202
AT2G45240	45.53049289891395	55.6390977443609	45.363408521303256	35.58897243107769
AT2G32350	44.44444444444444	48.148148148148145	35.80246913580247	49.382716049382715
AT2G15280	40.42904290429043	48.01980198019802	30.693069306930692	42.57425742574257
AT2G31920	44.254835039817976	47.95221843003413	43.34470989761092	41.467576791808874
AT2G05520	53.65296803652968	64.38356164383562	58.21917808219178	38.35616438356164
AT2G39100	44.89337822671156	47.81144781144781	46.464646464646464	40.4040404040404
AT2G36540	40.53333333333333	45.6	36.8	39.2
AT2G41420	50.505050505050505	71.71717171717172	52.525252525252526	27.272727272727273
AT2G46225	42.62626262626262	49.09090909090909	40.0	38.78787878787879
AT2G31780	41.81681681681682	46.171171171171174	38.96396396396396	40.31531531531532
AT2G34430	56.92883895131086	56.554307116104866	49.438202247191015	64.7940074906367
AT2G04220	45.67099567099567	43.506493506493506	39.61038961038961	53.896103896103895
AT2G27700	40.47124047124047	52.182952182952185	31.6008316008316	37.62993762993763
AT2G40210	39.87455197132616	46.236559139784944	35.215053763440864	38.17204301075269
AT2G42060	45.10532837670384	53.15985130111524	43.12267657992565	39.03345724907063
AT2G42780	41.043083900226755	44.89795918367347	39.795918367346935	38.435374149659864
AT2G35155	45.86206896551724	55.86206896551724	42.758620689655174	38.96551724137931
AT2G16953	42.56410256410256	47.69230769230769	43.07692307692308	36.92307692307692
AT2G22320	38.392857142857146	61.607142857142854	22.321428571428573	31.25
AT2G07702	44.00871459694989	45.751633986928105	46.40522875816993	39.869281045751634
AT2G41380	48.148148148148145	54.44444444444444	38.51851851851852	51.48148148148148
AT2G45950	41.54863078375826	51.274787535410766	34.56090651558074	38.81019830028329
AT2G37260	43.02325581395349	47.906976744186046	49.76744186046512	31.3953488372093
AT2G01640	42.67515923566879	45.859872611464965	33.12101910828026	49.044585987261144
AT2G18910	47.22222222222222	53.03030303030303	42.42424242424242	46.21212121212121
AT2G02300	40.70175438596491	45.26315789473684	40.0	36.8421052631579
AT2G11851	42.34234234234234	43.24324324324324	37.83783783783784	45.945945945945944
AT2G35635	45.376344086021504	57.41935483870968	33.54838709677419	45.16129032258065
AT2G28405	40.476190476190474	44.04761904761905	39.285714285714285	38.095238095238095
AT2G18170	41.55374887082204	48.50948509485095	34.146341463414636	42.00542005420054
AT2G37195	42.592592592592595	47.22222222222222	40.97222222222222	39.583333333333336
AT2G21380	43.78344350015738	51.74693106704438	40.698772426817754	38.904627006610006
AT2G11405	40.229885057471265	42.241379310344826	35.3448275862069	43.10344827586207
AT2G42010	44.755034565674784	53.38142470694319	43.6429215509468	37.240757439134356
AT2G38465	46.27450980392157	49.411764705882355	41.1764705882353	48.23529411764706
AT2G38860	49.3734335839599	57.393483709273184	39.097744360902254	51.62907268170426
AT2G04031	37.719298245614034	42.76315789473684	37.5	32.89473684210526
AT2G43620	49.53051643192488	47.88732394366197	54.57746478873239	46.12676056338028
AT2G16130	48.2421875	52.1484375	44.140625	48.4375
AT2G37230	43.57959542656113	46.96569920844327	36.01583113456464	47.75725593667546
AT2G26990	42.121212121212125	48.63636363636363	30.227272727272727	47.5
AT2G47560	51.900584795321635	52.19298245614035	48.24561403508772	55.26315789473684
AT2G06960	47.427293064876956	56.375838926174495	36.91275167785235	48.993288590604024
AT2G19210	42.40362811791383	48.75283446712018	37.868480725623584	40.58956916099773
AT2G06050	47.7891156462585	56.37755102040816	43.36734693877551	43.62244897959184
AT2G37390	47.17948717948718	48.07692307692308	47.69230769230769	45.76923076923077
AT2G03840	38.82915173237754	35.842293906810035	37.27598566308244	43.369175627240146
AT2G36130	47.878787878787875	48.484848484848484	43.63636363636363	51.515151515151516
AT2G35250	37.414965986394556	45.77259475218659	41.10787172011662	25.364431486880466
AT2G19440	42.240779401530965	49.06054279749478	38.20459290187891	39.45720250521921
AT2G21210	38.95582329317269	41.566265060240966	39.1566265060241	36.144578313253014
AT2G38390	46.0	50.285714285714285	46.285714285714285	41.42857142857143
AT2G37025	40.470397404703974	47.201946472019465	38.929440389294406	35.27980535279806
AT2G07623	44.3089430894309	50.0	41.46341463414634	41.46341463414634
AT2G25250	46.58119658119658	50.64102564102564	46.794871794871796	42.30769230769231
AT2G43945	43.10344827586207	50.3448275862069	41.37931034482759	37.58620689655172
AT2G16930	44.516129032258064	46.45161290322581	48.38709677419355	38.70967741935484
AT2G02820	41.44329896907217	47.21649484536083	39.79381443298969	37.31958762886598
AT2G15710	39.98178506375228	45.08196721311475	33.87978142076503	40.98360655737705
AT2G38380	46.666666666666664	53.142857142857146	45.42857142857143	41.42857142857143
AT2G43465	42.245072836332476	51.15681233933162	36.760925449871465	38.81748071979435
AT2G33520	46.59863945578231	53.06122448979592	53.06122448979592	33.673469387755105
AT2G42110	47.58454106280193	45.65217391304348	42.7536231884058	54.34782608695652
AT2G31230	41.666666666666664	43.442622950819676	47.131147540983605	34.42622950819672
AT2G38290	49.089635854341736	55.88235294117647	45.79831932773109	45.588235294117645
AT2G27330	43.3048433048433	47.863247863247864	41.02564102564103	41.02564102564103
AT2G38940	47.97507788161994	48.78504672897196	41.495327102803735	53.64485981308411
AT2G17160	40.97222222222222	45.833333333333336	42.708333333333336	34.375
AT2G17305	40.44117647058823	48.529411764705884	33.8235294117647	38.970588235294116
AT2G22600	44.023170089520804	54.66034755134281	42.02211690363349	35.3870458135861
AT2G03530	44.09282700421941	46.835443037974684	44.09282700421941	41.35021097046413
AT2G19330	44.09448818897638	45.14435695538058	38.84514435695538	48.29396325459317
AT2G24260	51.187084520417855	52.99145299145299	50.142450142450144	50.427350427350426
AT2G06541	35.975267003934796	48.229342327150086	30.522765598650928	29.17369308600337
AT2G18350	44.48669201520912	49.80988593155894	41.444866920152094	42.20532319391635
AT2G26330	42.37461617195496	48.72057318321392	36.949846468781985	41.453428863868986
AT2G18950	41.455160744500844	44.41624365482234	40.609137055837564	39.34010152284264
AT2G14120	44.32098765432099	53.58024691358025	40.617283950617285	38.76543209876543
AT2G28250	42.579505300353354	46.28975265017668	44.522968197879855	36.92579505300353
AT2G21910	42.6614481409002	45.98825831702544	33.46379647749511	48.53228962818004
AT2G39280	44.372574385510994	56.144890038809834	37.51617076326003	39.456662354463134
AT2G40160	41.1764705882353	44.11764705882353	36.199095022624434	43.21266968325792
AT2G30933	44.44444444444444	43.421052631578945	52.19298245614035	37.719298245614034
AT2G37480	44.78632478632478	46.15384615384615	46.15384615384615	42.05128205128205
AT2G22470	53.535353535353536	63.63636363636363	69.6969696969697	27.272727272727273
AT2G01940	42.20730797912006	47.651006711409394	43.17673378076063	35.79418344519016
AT2G47730	49.24242424242424	53.40909090909091	38.63636363636363	55.68181818181818
AT2G20300	46.75615212527964	53.95973154362416	46.04026845637584	40.26845637583892
AT2G02310	43.18181818181818	50.0	37.66233766233766	41.883116883116884
AT2G42990	45.20417853751187	45.01424501424501	42.16524216524216	48.433048433048434
AT2G07719	43.82716049382716	53.08641975308642	33.95061728395062	44.44444444444444
AT2G26370	41.95402298850575	48.85057471264368	37.93103448275862	39.08045977011494
AT2G22145	41.111111111111114	38.888888888888886	43.333333333333336	41.111111111111114
AT2G05786	53.333333333333336	48.888888888888886	46.666666666666664	64.44444444444444
AT2G41810	46.540880503144656	53.36927223719677	41.77897574123989	44.474393530997304
AT2G43400	43.63827549947424	52.05047318611987	41.32492113564669	37.53943217665615
AT2G19650	44.31429965836994	49.341142020497806	40.702781844802345	42.89897510980966
AT2G19310	48.057259713701434	53.987730061349694	38.03680981595092	52.147239263803684
AT2G24590	52.11505922165821	62.43654822335025	65.98984771573605	27.918781725888326
AT2G18685	40.68627450980392	30.88235294117647	38.23529411764706	52.94117647058823
AT2G01480	45.305164319248824	50.0	44.014084507042256	41.901408450704224
AT2G35830	46.31578947368421	53.1578947368421	40.526315789473685	45.26315789473684
AT2G38410	48.01587301587302	59.82142857142857	47.32142857142857	36.904761904761905
AT2G23160	39.285714285714285	38.311688311688314	37.98701298701299	41.55844155844156
AT2G28420	49.549549549549546	55.13513513513514	31.35135135135135	62.16216216216216
AT2G33540	43.29039184111648	54.02576489533011	41.54589371980676	34.29951690821256
AT2G28355	40.92827004219409	41.77215189873418	36.70886075949367	44.30379746835443
AT2G24960	40.64327485380117	46.2406015037594	35.46365914786968	40.225563909774436
AT2G04520	41.78082191780822	58.9041095890411	28.767123287671232	37.67123287671233
AT2G27980	43.08791550170861	50.60577819198509	40.35414725069897	38.30382106244175
AT2G25610	44.73684210526316	46.49122807017544	45.6140350877193	42.10526315789474
AT2G40900	46.16033755274262	50.88607594936709	38.22784810126582	49.36708860759494
AT2G39140	45.579886455798864	51.338199513381994	45.01216545012166	40.38929440389295
AT2G46440	42.28295819935691	46.141479099678456	38.90675241157556	41.80064308681672
AT2G17630	43.104806934594166	47.5177304964539	38.77068557919622	43.026004728132385
AT2G05117	38.46153846153846	42.857142857142854	41.75824175824176	30.76923076923077
AT2G21105	25.0	25.0	25.0	25.0
AT2G15470	40.41152263374486	41.97530864197531	39.25925925925926	40.0
AT2G47790	46.81933842239186	52.41730279898219	42.49363867684478	45.5470737913486
AT2G32210	53.24074074074074	51.388888888888886	58.333333333333336	50.0
AT2G40890	49.31237721021611	57.17092337917485	40.078585461689585	50.68762278978389
AT2G20980	43.74475230898405	47.3551637279597	41.813602015113354	42.0654911838791
AT2G19190	41.65716457620677	47.43443557582668	37.17217787913341	40.364880273660205
AT2G41835	44.88095238095238	46.42857142857143	45.357142857142854	42.857142857142854
AT2G17320	43.73848987108656	53.31491712707182	37.29281767955801	40.607734806629836
AT2G32780	41.297662976629766	50.18450184501845	40.867158671586715	32.84132841328413
AT2G02660	41.31121642969984	46.208530805687204	37.44075829383886	40.28436018957346
AT2G39415	45.55555555555556	48.333333333333336	43.333333333333336	45.0
AT2G45130	43.08943089430894	47.96747967479675	35.36585365853659	45.9349593495935
AT2G27750	40.10989010989011	44.505494505494504	28.571428571428573	47.252747252747255
AT2G39110	43.11926605504587	47.706422018348626	41.28440366972477	40.36697247706422
AT2G15300	45.369127516778526	50.20134228187919	40.671140939597315	45.23489932885906
AT2G34390	47.28950403690888	53.63321799307958	41.86851211072664	46.36678200692042
AT2G41520	43.67297865945296	48.151487826871055	45.08566275924256	37.78178539224527
AT2G07667	48.7062404870624	49.31506849315068	47.03196347031963	49.77168949771689
AT2G24280	44.84848484848485	47.878787878787875	40.60606060606061	46.06060606060606
AT2G43610	49.645390070921984	45.39007092198582	55.673758865248224	47.87234042553192
AT2G17170	43.46504559270517	50.151975683890576	36.77811550151976	43.46504559270517
AT2G38910	41.95205479452055	53.5958904109589	36.47260273972603	35.78767123287671
AT2G11225	45.794392523364486	50.77881619937695	46.10591900311527	40.49844236760124
AT2G44360	45.588235294117645	58.088235294117645	36.76470588235294	41.911764705882355
AT2G21237	48.10379241516966	49.10179640718563	43.11377245508982	52.09580838323353
AT2G41060	47.418879056047196	61.283185840707965	39.60176991150443	41.3716814159292
AT2G36060	46.71201814058957	53.74149659863946	38.095238095238095	48.29931972789116
AT2G07684	52.252252252252255	56.75675675675676	32.432432432432435	67.56756756756756
AT2G32950	42.94871794871795	49.85207100591716	39.053254437869825	39.94082840236686
AT2G45310	47.10806697108067	47.48858447488585	44.52054794520548	49.31506849315068
AT2G24420	43.91534391534392	52.60770975056689	34.69387755102041	44.44444444444444
AT2G40950	45.42936288088643	51.10803324099723	45.84487534626039	39.335180055401665
AT2G39940	45.25014052838674	51.433389544688026	38.61720067453626	45.69983136593592
AT2G12480	45.41577825159915	49.04051172707889	40.298507462686565	46.908315565031984
AT2G45910	45.70858283433134	52.93413173652694	42.035928143712574	42.15568862275449
AT2G06425	41.24293785310734	51.69491525423729	37.28813559322034	34.74576271186441
AT2G35680	46.646942800788956	53.25443786982248	40.23668639053255	46.44970414201183
AT2G25130	45.41577825159915	51.59914712153518	38.37953091684435	46.26865671641791
AT2G46860	45.00768049155146	56.22119815668203	33.64055299539171	45.16129032258065
AT2G36325	42.48366013071895	43.977591036414566	41.45658263305322	42.016806722689076
AT2G37330	47.688564476885645	51.09489051094891	38.68613138686131	53.284671532846716
AT2G44240	42.100909842845326	48.13895781637717	41.935483870967744	36.22828784119107
AT2G40750	43.900096061479346	47.262247838616716	40.63400576368876	43.804034582132566
AT2G39920	39.436619718309856	43.309859154929576	35.91549295774648	39.08450704225352
AT2G22680	49.22027290448343	48.24561403508772	49.707602339181285	49.707602339181285
AT2G40330	54.629629629629626	59.25925925925926	39.81481481481482	64.81481481481481
AT2G17470	43.3749257278669	48.663101604278076	38.68092691622103	42.780748663101605
AT2G07722	47.857142857142854	47.857142857142854	42.142857142857146	53.57142857142857
AT2G19990	48.7758945386064	53.67231638418079	45.19774011299435	47.45762711864407
AT2G02540	41.69346195069668	48.231511254019296	38.263665594855304	38.58520900321543
AT2G05100	47.79874213836478	53.77358490566038	41.82389937106918	47.79874213836478
AT2G35720	44.526901669758814	52.50463821892394	41.001855287569576	40.07421150278293
AT2G03720	43.63376251788269	47.63948497854077	42.48927038626609	40.772532188841204
AT2G28960	40.67347710934544	48.12712826333712	39.046538024971625	34.84676503972758
AT2G31980	46.62162162162162	52.027027027027025	38.513513513513516	49.32432432432432
AT2G47810	45.13457556935818	54.6583850931677	32.91925465838509	47.82608695652174
AT2G04842	43.88120839733743	51.61290322580645	37.634408602150536	42.3963133640553
AT2G24390	42.70152505446623	52.287581699346404	32.02614379084967	43.790849673202615
AT2G16270	41.05263157894737	48.68421052631579	37.36842105263158	37.10526315789474
AT2G48100	47.53623188405797	53.04347826086956	39.42028985507246	50.14492753623188
AT2G18750	43.82022471910113	52.648475120385235	38.523274478330656	40.28892455858748
AT2G03170	44.888888888888886	55.333333333333336	27.333333333333332	52.0
AT2G38480	41.62257495590829	38.62433862433863	44.44444444444444	41.7989417989418
AT2G38905	45.45454545454545	50.90909090909091	36.36363636363637	49.09090909090909
AT2G15670	41.92439862542955	45.36082474226804	34.5360824742268	45.876288659793815
AT2G20690	46.81372549019608	51.10294117647059	37.86764705882353	51.470588235294116
AT2G42440	43.673469387755105	48.16326530612245	41.63265306122449	41.224489795918366
AT2G45580	43.992248062015506	49.031007751937985	39.14728682170543	43.798449612403104
AT2G31360	44.913419913419915	46.753246753246756	43.18181818181818	44.8051948051948
AT2G40520	43.141153081510936	47.31610337972167	40.75546719681908	41.35188866799205
AT2G37510	46.42857142857143	50.0	49.404761904761905	39.88095238095238
AT2G33435	41.90548014077426	52.18702865761689	39.59276018099548	33.93665158371041
AT2G01830	42.028985507246375	51.06382978723404	36.725254394079556	38.297872340425535
AT2G02450	42.570281124497996	48.674698795180724	39.51807228915663	39.51807228915663
AT2G02790	43.79905808477237	51.17739403453689	43.956043956043956	36.26373626373626
AT2G34520	46.666666666666664	44.84848484848485	49.696969696969695	45.45454545454545
AT2G25210	44.44444444444444	33.333333333333336	42.22222222222222	57.77777777777778
AT2G02440	45.803357314148684	52.51798561151079	42.44604316546763	42.44604316546763
AT2G22530	42.440041710114706	47.0281543274244	38.68613138686131	41.605839416058394
AT2G20835	52.17391304347826	47.82608695652174	53.6231884057971	55.072463768115945
AT2G02148	42.6481909160893	50.80831408775982	41.801385681293304	35.33487297921478
AT2G15590	49.35897435897436	50.64102564102564	41.666666666666664	55.76923076923077
AT2G27430	43.96355353075171	48.29157175398633	37.81321184510251	45.78587699316629
AT2G18080	39.183673469387756	44.89795918367347	39.38775510204081	33.265306122448976
AT2G01330	47.49455337690632	52.450980392156865	43.13725490196079	46.89542483660131
AT2G05970	38.095238095238095	42.592592592592595	35.18518518518518	36.507936507936506
AT2G07739	36.666666666666664	41.5	30.0	38.5
AT2G44120	46.236559139784944	51.61290322580645	29.838709677419356	57.25806451612903
AT2G32360	41.09848484848485	60.22727272727273	23.863636363636363	39.20454545454545
AT2G23360	42.380422691879865	50.055617352614014	36.59621802002225	40.48943270300334
AT2G31865	42.96435272045028	50.65666041275797	38.649155722326455	39.587242026266416
AT2G16710	44.44444444444444	50.69444444444444	42.361111111111114	40.27777777777778
AT2G20680	44.93087557603687	50.0	38.47926267281106	46.31336405529954
AT2G29080	44.40329218106996	55.67901234567901	38.641975308641975	38.888888888888886
AT2G22050	45.8974358974359	45.76923076923077	42.69230769230769	49.23076923076923
AT2G20350	46.9601677148847	48.42767295597484	46.540880503144656	45.911949685534594
AT2G46280	47.01114488348531	55.62310030395137	41.33738601823708	44.07294832826748
AT2G35555	42.81842818428184	49.59349593495935	41.46341463414634	37.39837398373984
AT2G26640	42.61437908496732	45.490196078431374	37.254901960784316	45.09803921568628
AT2G28810	46.52981427174976	48.09384164222874	46.62756598240469	44.868035190615835
AT2G19870	42.88135593220339	49.152542372881356	45.42372881355932	34.067796610169495
AT2G46700	44.91051454138702	52.852348993288594	43.12080536912752	38.758389261744966
AT2G14210	38.983050847457626	50.0	32.6271186440678	34.32203389830509
AT2G22060	41.49659863945578	43.53741496598639	38.775510204081634	42.17687074829932
AT2G26530	44.23480083857442	46.540880503144656	46.540880503144656	39.62264150943396
