Gene	0bp	100bp	250bp	500bp	750bp	1000bp	1500bp	2000bp	3000bp	4000bp	5000bp	7500bp	10000bp	up_0bp	up_100bp	up_250bp	up_500bp	up_750bp	up_1000bp	up_1500bp	up_2000bp	up_3000bp	up_4000bp	up_5000bp	up_7500bp	up_10000bp	down_0bp	down_100bp	down_250bp	down_500bp	down_750bp	down_1000bp	down_1500bp	down_2000bp	down_3000bp	down_4000bp	down_5000bp	down_7500bp	down_10000bp
ID=AT2G02680.Araport11.447;Name=AT2G02680	1.0	1.0	1.0	2.0	3.0	3.0	6.0	7.0	7.0	7.0	9.0	11.0	14.0	1.0	1.0	1.0	2.0	2.0	2.0	4.0	5.0	5.0	5.0	6.0	7.0	9.0	1.0	1.0	1.0	1.0	2.0	2.0	3.0	3.0	3.0	3.0	4.0	5.0	6.0
ID=AT2G20380.Araport11.447;Name=AT2G20380		1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0													
ID=AT2G28410.Araport11.447;Name=AT2G28410											1.0	1.0	1.0											1.0	1.0	1.0													
ID=AT2G07714.Araport11.447;Name=AT2G07714																																							
ID=AT2G22960.Araport11.447;Name=AT2G22960													1.0													1.0													
ID=AT2G19580.Araport11.447;Name=AT2G19580																																							
ID=AT2G06105.Araport11.447;Name=AT2G06105	3.0	3.0	3.0	3.0	3.0	4.0	5.0	6.0	8.0	8.0	11.0	13.0	13.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	6.0	7.0	7.0	3.0	3.0	3.0	3.0	3.0	4.0	5.0	6.0	7.0	7.0	8.0	9.0	9.0
ID=AT2G32710.Araport11.447;Name=AT2G32710												2.0	3.0												2.0	2.0													1.0
ID=AT2G39710.Araport11.447;Name=AT2G39710							1.0	1.0	1.0	1.0	1.0	2.0	2.0																				1.0	1.0	1.0	1.0	1.0	2.0	2.0
ID=AT2G38230.Araport11.447;Name=AT2G38230													3.0																										3.0
ID=AT2G05180.Araport11.447;Name=AT2G05180	1.0	1.0	1.0	1.0	1.0	2.0	2.0	3.0	3.0	3.0	4.0	6.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	3.0	3.0	3.0	4.0	5.0	5.0
ID=AT2G02510.Araport11.447;Name=AT2G02510									1.0	1.0	1.0	1.0	1.0									1.0	1.0	1.0	1.0	1.0													
ID=AT2G23430.Araport11.447;Name=AT2G23430					1.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0	4.0									1.0	1.0	1.0	1.0	2.0					1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
ID=AT2G41220.Araport11.447;Name=AT2G41220																																							
ID=AT2G19820.Araport11.447;Name=AT2G19820						1.0	1.0	1.0	1.0	2.0	2.0	4.0	9.0						1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0										1.0	1.0	3.0	5.0
ID=AT2G35920.Araport11.447;Name=AT2G35920																																							
ID=AT2G16970.Araport11.447;Name=AT2G16970	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
ID=AT2G17980.Araport11.447;Name=AT2G17980													5.0													4.0													1.0
ID=AT2G04100.Araport11.447;Name=AT2G04100			1.0	1.0	2.0	2.0	4.0	4.0	4.0	7.0	12.0	16.0	20.0			1.0	1.0	1.0	1.0	3.0	3.0	3.0	4.0	6.0	9.0	12.0					1.0	1.0	1.0	1.0	1.0	3.0	6.0	7.0	8.0
ID=AT2G46620.Araport11.447;Name=AT2G46620													1.0																										1.0
ID=AT2G43750.Araport11.447;Name=AT2G43750	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G19690.Araport11.447;Name=AT2G19690																																							
ID=AT2G24490.Araport11.447;Name=AT2G24490												4.0	5.0												4.0	5.0													
ID=AT2G20790.Araport11.447;Name=AT2G20790													2.0																										2.0
ID=AT2G18328.Araport11.447;Name=AT2G18328	2.0	2.0	2.0	2.0	3.0	3.0	4.0	5.0	10.0	12.0	13.0	15.0	15.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	4.0	6.0	6.0	6.0	7.0	7.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	6.0	8.0	9.0	10.0	10.0
ID=AT2G15080.Araport11.447;Name=AT2G15080			1.0	1.0	1.0	1.0	1.0	2.0	4.0	5.0	7.0	9.0	12.0			1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	5.0	7.0	9.0								1.0	2.0	2.0	2.0	2.0	3.0
ID=AT2G45695.Araport11.447;Name=AT2G45695																																							
ID=AT2G33130.Araport11.447;Name=AT2G33130				1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0				1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0													
ID=AT2G27920.Araport11.447;Name=AT2G27920																																							
ID=AT2G42700.Araport11.447;Name=AT2G42700																																							
ID=AT2G37678.Araport11.447;Name=AT2G37678											1.0	1.0	1.0											1.0	1.0	1.0													
ID=AT2G45240.Araport11.447;Name=AT2G45240						1.0	1.0	2.0	4.0	4.0	5.0	6.0	6.0								1.0	3.0	3.0	3.0	3.0	3.0						1.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0
ID=AT2G32350.Araport11.447;Name=AT2G32350																																							
ID=AT2G15280.Araport11.447;Name=AT2G15280										2.0	2.0	4.0	4.0										2.0	2.0	2.0	2.0												2.0	2.0
ID=AT2G31920.Araport11.447;Name=AT2G31920											1.0	1.0	1.0																								1.0	1.0	1.0
ID=AT2G05520.Araport11.447;Name=AT2G05520							1.0	1.0	1.0	2.0	3.0	8.0	10.0							1.0	1.0	1.0	2.0	3.0	7.0	8.0												1.0	2.0
ID=AT2G39100.Araport11.447;Name=AT2G39100																																							
ID=AT2G36540.Araport11.447;Name=AT2G36540																																							
ID=AT2G41420.Araport11.447;Name=AT2G41420												5.0	7.0												5.0	6.0													1.0
ID=AT2G46225.Araport11.447;Name=AT2G46225													1.0																										1.0
ID=AT2G31780.Araport11.447;Name=AT2G31780											1.0	1.0	1.0											1.0	1.0	1.0													
ID=AT2G34430.Araport11.447;Name=AT2G34430													1.0																										1.0
ID=AT2G04220.Araport11.447;Name=AT2G04220				1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	5.0	7.0				1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	5.0	5.0													2.0
ID=AT2G27700.Araport11.447;Name=AT2G27700																																							
ID=AT2G40210.Araport11.447;Name=AT2G40210											1.0	1.0	1.0											1.0	1.0	1.0													
ID=AT2G42060.Araport11.447;Name=AT2G42060							2.0	3.0	3.0	3.0	3.0	3.0	4.0							2.0	3.0	3.0	3.0	3.0	3.0	4.0													
ID=AT2G42780.Araport11.447;Name=AT2G42780																																							
ID=AT2G35155.Araport11.447;Name=AT2G35155												2.0	3.0																									2.0	3.0
ID=AT2G16953.Araport11.447;Name=AT2G16953													6.0													3.0													3.0
ID=AT2G22320.Araport11.447;Name=AT2G22320								1.0	1.0	1.0	3.0	3.0	4.0													1.0								1.0	1.0	1.0	3.0	3.0	3.0
ID=AT2G07702.Araport11.447;Name=AT2G07702									2.0	2.0	2.0	3.0	3.0																						2.0	2.0	2.0	3.0	3.0
ID=AT2G41380.Araport11.447;Name=AT2G41380	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0
ID=AT2G45950.Araport11.447;Name=AT2G45950																																							
ID=AT2G37260.Araport11.447;Name=AT2G37260										1.0	1.0	1.0	1.0																							1.0	1.0	1.0	1.0
ID=AT2G01640.Araport11.447;Name=AT2G01640											1.0	3.0	6.0													1.0											1.0	3.0	5.0
ID=AT2G18910.Araport11.447;Name=AT2G18910											2.0	3.0	8.0											2.0	3.0	7.0													1.0
ID=AT2G02300.Araport11.447;Name=AT2G02300	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	4.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	4.0	5.0	5.0
ID=AT2G11851.Araport11.447;Name=AT2G11851	2.0	2.0	2.0	2.0	4.0	4.0	5.0	5.0	7.0	8.0	10.0	12.0	18.0	2.0	2.0	2.0	2.0	3.0	3.0	4.0	4.0	5.0	6.0	8.0	9.0	10.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	4.0	4.0	4.0	5.0	10.0
ID=AT2G35635.Araport11.447;Name=AT2G35635																																							
ID=AT2G28405.Araport11.447;Name=AT2G28405								1.0	1.0	1.0	1.0	1.0	3.0																					1.0	1.0	1.0	1.0	1.0	3.0
ID=AT2G18170.Araport11.447;Name=AT2G18170				1.0	2.0	2.0	2.0	3.0	4.0	4.0	4.0	5.0	6.0												1.0	2.0				1.0	2.0	2.0	2.0	3.0	4.0	4.0	4.0	4.0	4.0
ID=AT2G37195.Araport11.447;Name=AT2G37195																																							
ID=AT2G21380.Araport11.447;Name=AT2G21380											1.0	1.0	1.0											1.0	1.0	1.0													
ID=AT2G11405.Araport11.447;Name=AT2G11405		1.0	1.0	1.0	1.0	1.0	2.0	2.0	4.0	7.0	7.0	12.0	18.0		1.0	1.0	1.0	1.0	1.0	2.0	2.0	3.0	3.0	3.0	8.0	12.0									1.0	4.0	4.0	4.0	6.0
ID=AT2G42010.Araport11.447;Name=AT2G42010		1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	4.0	5.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	4.0								1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G38465.Araport11.447;Name=AT2G38465																																							
ID=AT2G38860.Araport11.447;Name=AT2G38860																																							
ID=AT2G04031.Araport11.447;Name=AT2G04031	1.0	2.0	3.0	3.0	4.0	4.0	6.0	6.0	7.0	11.0	13.0	19.0	24.0	1.0	2.0	2.0	2.0	3.0	3.0	4.0	4.0	4.0	6.0	7.0	9.0	11.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0	3.0	4.0	6.0	7.0	11.0	14.0
ID=AT2G43620.Araport11.447;Name=AT2G43620				1.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0																	1.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0
ID=AT2G16130.Araport11.447;Name=AT2G16130									2.0	2.0	3.0	8.0	12.0									2.0	2.0	2.0	4.0	8.0											1.0	4.0	4.0
ID=AT2G37230.Araport11.447;Name=AT2G37230																																							
ID=AT2G26990.Araport11.447;Name=AT2G26990													1.0																										1.0
ID=AT2G47560.Araport11.447;Name=AT2G47560																																							
ID=AT2G06960.Araport11.447;Name=AT2G06960	4.0	4.0	5.0	5.0	5.0	5.0	6.0	6.0	7.0	9.0	10.0	11.0	13.0	4.0	4.0	5.0	5.0	5.0	5.0	6.0	6.0	7.0	8.0	8.0	8.0	8.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	6.0	7.0	9.0
ID=AT2G19210.Araport11.447;Name=AT2G19210																																							
ID=AT2G06050.Araport11.447;Name=AT2G06050	1.0	1.0	1.0	1.0	2.0	3.0	3.0	3.0	3.0	4.0	5.0	5.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	5.0
ID=AT2G37390.Araport11.447;Name=AT2G37390																																							
ID=AT2G03840.Araport11.447;Name=AT2G03840				1.0	1.0	1.0	2.0	2.0	4.0	4.0	6.0	6.0	6.0				1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0							1.0	1.0	2.0	2.0	4.0	4.0	4.0
ID=AT2G36130.Araport11.447;Name=AT2G36130				1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0																	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
ID=AT2G35250.Araport11.447;Name=AT2G35250												1.0	1.0																									1.0	1.0
ID=AT2G19440.Araport11.447;Name=AT2G19440				1.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0										2.0	2.0	2.0	2.0
ID=AT2G21210.Araport11.447;Name=AT2G21210					1.0	1.0	1.0	1.0	1.0	1.0	2.0	4.0	4.0											1.0	1.0	1.0					1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0
ID=AT2G38390.Araport11.447;Name=AT2G38390																																							
ID=AT2G37025.Araport11.447;Name=AT2G37025																																							
ID=AT2G07623.Araport11.447;Name=AT2G07623							1.0	1.0	1.0	1.0	1.0	1.0	1.0							1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT2G25250.Araport11.447;Name=AT2G25250				2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	4.0	4.0									1.0	1.0	1.0	1.0	1.0				2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0
ID=AT2G43945.Araport11.447;Name=AT2G43945											1.0	1.0	1.0																								1.0	1.0	1.0
ID=AT2G16930.Araport11.447;Name=AT2G16930		1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	5.0	7.0		1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0												2.0	4.0
ID=AT2G02820.Araport11.447;Name=AT2G02820					1.0	1.0	2.0	3.0	3.0	5.0	5.0	5.0	8.0					1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0							1.0	2.0	2.0	3.0	3.0	3.0	6.0
ID=AT2G15710.Araport11.447;Name=AT2G15710	2.0	2.0	2.0	2.0	2.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	7.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	4.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	5.0
ID=AT2G38380.Araport11.447;Name=AT2G38380																																							
ID=AT2G43465.Araport11.447;Name=AT2G43465																																							
ID=AT2G33520.Araport11.447;Name=AT2G33520												1.0	1.0												1.0	1.0													
ID=AT2G42110.Araport11.447;Name=AT2G42110																																							
ID=AT2G31230.Araport11.447;Name=AT2G31230																																							
ID=AT2G38290.Araport11.447;Name=AT2G38290				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0																	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0
ID=AT2G27330.Araport11.447;Name=AT2G27330												1.0	1.0																									1.0	1.0
ID=AT2G38940.Araport11.447;Name=AT2G38940																																							
ID=AT2G17160.Araport11.447;Name=AT2G17160																																							
ID=AT2G17305.Araport11.447;Name=AT2G17305			1.0	3.0	3.0	3.0	3.0	4.0	4.0	4.0	4.0	5.0	6.0																1.0	3.0	3.0	3.0	3.0	4.0	4.0	4.0	4.0	5.0	6.0
ID=AT2G22600.Araport11.447;Name=AT2G22600					1.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0					1.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0													
ID=AT2G03530.Araport11.447;Name=AT2G03530								1.0	1.0	1.0	3.0	4.0	4.0																					1.0	1.0	1.0	3.0	4.0	4.0
ID=AT2G19330.Araport11.447;Name=AT2G19330					1.0	1.0	1.0	1.0	2.0	2.0	3.0	6.0	7.0					1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0									1.0	1.0	1.0	4.0	5.0
ID=AT2G24260.Araport11.447;Name=AT2G24260				1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	4.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0					1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G06541.Araport11.447;Name=AT2G06541							1.0	2.0	2.0	2.0	2.0	7.0	10.0							1.0	2.0	2.0	2.0	2.0	4.0	7.0												3.0	3.0
ID=AT2G18350.Araport11.447;Name=AT2G18350	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	4.0	8.0	10.0	13.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	4.0	7.0	8.0	11.0	14.0
ID=AT2G26330.Araport11.447;Name=AT2G26330												2.0	2.0												2.0	2.0													
ID=AT2G18950.Araport11.447;Name=AT2G18950										1.0	4.0	6.0	7.0										1.0	4.0	6.0	7.0													
ID=AT2G14120.Araport11.447;Name=AT2G14120		1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	7.0	13.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	9.0					1.0	1.0	1.0	1.0	1.0	2.0	2.0	3.0	4.0
ID=AT2G28250.Araport11.447;Name=AT2G28250																																							
ID=AT2G21910.Araport11.447;Name=AT2G21910												4.0	4.0												1.0	1.0												3.0	3.0
ID=AT2G39280.Araport11.447;Name=AT2G39280																																							
ID=AT2G40160.Araport11.447;Name=AT2G40160													1.0													1.0													
ID=AT2G30933.Araport11.447;Name=AT2G30933									1.0	1.0	1.0	2.0	2.0												1.0	1.0									1.0	1.0	1.0	1.0	1.0
ID=AT2G37480.Araport11.447;Name=AT2G37480											1.0	2.0	4.0											1.0	2.0	2.0													2.0
ID=AT2G22470.Araport11.447;Name=AT2G22470										1.0	1.0	1.0	4.0													1.0										1.0	1.0	1.0	3.0
ID=AT2G01940.Araport11.447;Name=AT2G01940										1.0	2.0	3.0	3.0												1.0	1.0										1.0	2.0	2.0	2.0
ID=AT2G47730.Araport11.447;Name=AT2G47730																																							
ID=AT2G20300.Araport11.447;Name=AT2G20300				1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0									1.0	1.0	1.0	1.0	1.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G02310.Araport11.447;Name=AT2G02310									1.0	2.0	3.0	5.0	6.0										1.0	1.0	1.0	1.0									1.0	1.0	2.0	4.0	5.0
ID=AT2G42990.Araport11.447;Name=AT2G42990																																							
ID=AT2G07719.Araport11.447;Name=AT2G07719																																							
ID=AT2G26370.Araport11.447;Name=AT2G26370										2.0	2.0	2.0	3.0										2.0	2.0	2.0	2.0													1.0
ID=AT2G22145.Araport11.447;Name=AT2G22145											1.0	1.0	1.0																								1.0	1.0	1.0
ID=AT2G05786.Araport11.447;Name=AT2G05786				1.0	1.0	1.0	2.0	3.0	5.0	5.0	7.0	8.0	9.0									1.0	1.0	1.0	1.0	2.0				1.0	1.0	1.0	2.0	3.0	4.0	4.0	6.0	7.0	7.0
ID=AT2G41810.Araport11.447;Name=AT2G41810																																							
ID=AT2G43400.Araport11.447;Name=AT2G43400																																							
ID=AT2G19650.Araport11.447;Name=AT2G19650										1.0	1.0	1.0	1.0																							1.0	1.0	1.0	1.0
ID=AT2G19310.Araport11.447;Name=AT2G19310						1.0	2.0	2.0	2.0	2.0	2.0	3.0	5.0							1.0	1.0	1.0	1.0	1.0	2.0	4.0						1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G24590.Araport11.447;Name=AT2G24590																																							
ID=AT2G18685.Araport11.447;Name=AT2G18685											2.0	4.0	6.0											2.0	4.0	5.0													1.0
ID=AT2G01480.Araport11.447;Name=AT2G01480												2.0	2.0												1.0	1.0												1.0	1.0
ID=AT2G35830.Araport11.447;Name=AT2G35830																																							
ID=AT2G38410.Araport11.447;Name=AT2G38410																																							
ID=AT2G23160.Araport11.447;Name=AT2G23160								1.0	1.0	1.0	1.0	1.0	4.0								1.0	1.0	1.0	1.0	1.0	4.0													
ID=AT2G28420.Araport11.447;Name=AT2G28420												1.0	1.0												1.0	1.0													
ID=AT2G33540.Araport11.447;Name=AT2G33540																																							
ID=AT2G28355.Araport11.447;Name=AT2G28355																																							
ID=AT2G24960.Araport11.447;Name=AT2G24960							1.0	2.0	2.0	2.0	2.0	2.0	5.0													1.0							1.0	2.0	2.0	2.0	2.0	2.0	4.0
ID=AT2G04520.Araport11.447;Name=AT2G04520	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0	5.0	7.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0	4.0	6.0	6.0
ID=AT2G27980.Araport11.447;Name=AT2G27980				1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0										1.0	1.0	1.0	1.0
ID=AT2G25610.Araport11.447;Name=AT2G25610									1.0	1.0	1.0	1.0	1.0									1.0	1.0	1.0	1.0	1.0													
ID=AT2G40900.Araport11.447;Name=AT2G40900									1.0	1.0	1.0	1.0	1.0									1.0	1.0	1.0	1.0	1.0													
ID=AT2G39140.Araport11.447;Name=AT2G39140																																							
ID=AT2G46440.Araport11.447;Name=AT2G46440																																							
ID=AT2G17630.Araport11.447;Name=AT2G17630											1.0	2.0	4.0											1.0	2.0	4.0													
ID=AT2G05117.Araport11.447;Name=AT2G05117				2.0	3.0	5.0	5.0	5.0	6.0	6.0	6.0	6.0	11.0				1.0	1.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	8.0				1.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
ID=AT2G21105.Araport11.447;Name=AT2G21105			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0													2.0
ID=AT2G15470.Araport11.447;Name=AT2G15470					1.0	1.0	2.0	2.0	2.0	3.0	3.0	5.0	6.0					1.0	1.0	1.0	1.0	1.0	2.0	2.0	3.0	3.0							1.0	1.0	1.0	1.0	1.0	2.0	3.0
ID=AT2G47790.Araport11.447;Name=AT2G47790																																							
ID=AT2G32210.Araport11.447;Name=AT2G32210								1.0	1.0	1.0	1.0	1.0	1.0								1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT2G40890.Araport11.447;Name=AT2G40890													1.0													1.0													
ID=AT2G20980.Araport11.447;Name=AT2G20980	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G19190.Araport11.447;Name=AT2G19190																																							
ID=AT2G41835.Araport11.447;Name=AT2G41835	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G17320.Araport11.447;Name=AT2G17320	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0	7.0	11.0	11.0	11.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0	7.0	7.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	5.0	5.0	5.0	5.0
ID=AT2G32780.Araport11.447;Name=AT2G32780									1.0	1.0	2.0	5.0	6.0									1.0	1.0	2.0	5.0	6.0													
