Feature,Subgenome
Zm00001d045089,maize1
Zm00001d003335,maize1
Zm00001d014963,maize1
Zm00001d053010,maize1
Zm00001d044824,maize1
Zm00001d017804,maize1
Zm00001d017805,maize1
Zm00001d045722,maize1
Zm00001d045721,maize1
Zm00001d045720,maize1
Zm00001d034797,maize1
Zm00001d034795,maize1
Zm00001d034804,maize1
Zm00001d034805,maize1
Zm00001d034822,maize1
Zm00001d044307,maize1
Zm00001d016543,maize1
Zm00001d032286,maize1
Zm00001d021142,maize1
Zm00001d022274,maize1
Zm00001d038733,maize1
Zm00001d020828,maize1
Zm00001d014492,maize1
Zm00001d014491,maize1
Zm00001d021010,maize1
Zm00001d027883,maize1
Zm00001d038586,maize1
Zm00001d038587,maize1
Zm00001d043869,maize1
Zm00001d043938,maize1
Zm00001d052965,maize1
Zm00001d052966,maize1
Zm00001d015063,maize1
Zm00001d016741,maize1
Zm00001d016737,maize1
Zm00001d043220,maize1
Zm00001d043221,maize1
Zm00001d043225,maize1
Zm00001d043226,maize1
Zm00001d039383,maize1
Zm00001d021426,maize1
Zm00001d033886,maize1
Zm00001d037988,maize1
Zm00001d043765,maize1
Zm00001d032707,maize1
Zm00001d037992,maize1
Zm00001d028625,maize1
Zm00001d017041,maize1
Zm00001d015282,maize1
Zm00001d015284,maize1
Zm00001d003729,maize1
Zm00001d022406,maize1
Zm00001d045507,maize1
Zm00001d016522,maize1
Zm00001d046304,maize1
Zm00001d035285,maize1
Zm00001d040249,maize1
Zm00001d040248,maize1
Zm00001d031447,maize1
Zm00001d031444,maize1
Zm00001d030891,maize1
Zm00001d031928,maize1
Zm00001d031926,maize1
Zm00001d003948,maize1
Zm00001d019173,maize1
Zm00001d014846,maize1
Zm00001d033467,maize1
Zm00001d053018,maize1
Zm00001d002272,maize1
Zm00001d002271,maize1
Zm00001d002266,maize1
Zm00001d002082,maize1
Zm00001d018605,maize1
Zm00001d002496,maize1
Zm00001d014795,maize1
Zm00001d044907,maize1
Zm00001d044906,maize1
Zm00001d021000,maize1
Zm00001d016782,maize1
Zm00001d016783,maize1
Zm00001d021001,maize1
Zm00001d035684,maize1
Zm00001d023671,maize1
Zm00001d021708,maize1
Zm00001d045146,maize1
Zm00001d002428,maize1
Zm00001d027908,maize1
Zm00001d031737,maize1
Zm00001d022342,maize1
Zm00001d021803,maize1
Zm00001d048585,maize1
Zm00001d032904,maize1
Zm00001d032905,maize1
Zm00001d048586,maize1
Zm00001d044752,maize1
Zm00001d052955,maize1
Zm00001d043598,maize1
Zm00001d043288,maize1
Zm00001d033775,maize1
Zm00001d044753,maize1
Zm00001d028825,maize1
Zm00001d045379,maize1
Zm00001d022275,maize1
Zm00001d027726,maize1
Zm00001d014385,maize1
Zm00001d038299,maize1
Zm00001d022627,maize1
Zm00001d045494,maize1
Zm00001d029173,maize1
Zm00001d045495,maize1
Zm00001d014968,maize1
Zm00001d003984,maize1
Zm00001d017144,maize1
Zm00001d049094,maize1
Zm00001d003894,maize1
Zm00001d017157,maize1
Zm00001d020013,maize1
Zm00001d048673,maize1
Zm00001d048672,maize1
Zm00001d048671,maize1
Zm00001d052661,maize1
Zm00001d035609,maize1
Zm00001d044466,maize1
Zm00001d016952,maize1
Zm00001d003085,maize1
Zm00001d044467,maize1
Zm00001d029313,maize1
Zm00001d002234,maize1
Zm00001d044468,maize1
Zm00001d002235,maize1
Zm00001d040526,maize1
Zm00001d042336,maize1
Zm00001d037681,maize1
Zm00001d024538,maize1
Zm00001d024539,maize1
Zm00001d032838,maize1
Zm00001d021224,maize1
Zm00001d020963,maize1
Zm00001d020178,maize1
Zm00001d003767,maize1
Zm00001d034836,maize1
Zm00001d028472,maize1
Zm00001d032740,maize1
Zm00001d028471,maize1
Zm00001d032744,maize1
Zm00001d045203,maize1
Zm00001d031764,maize1
Zm00001d032745,maize1
Zm00001d032747,maize1
Zm00001d032748,maize1
Zm00001d033955,maize1
Zm00001d039496,maize1
Zm00001d030026,maize1
Zm00001d019054,maize1
Zm00001d023534,maize1
Zm00001d028586,maize1
Zm00001d030028,maize1
Zm00001d019053,maize1
Zm00001d019052,maize1
Zm00001d044520,maize1
Zm00001d028022,maize1
Zm00001d035297,maize1
Zm00001d027276,maize1
Zm00001d030784,maize1
Zm00001d043201,maize1
Zm00001d028282,maize1
Zm00001d045230,maize1
Zm00001d042879,maize1
Zm00001d024294,maize1
Zm00001d019457,maize1
Zm00001d037635,maize1
Zm00001d028152,maize1
Zm00001d033645,maize1
Zm00001d002252,maize1
Zm00001d045764,maize1
Zm00001d042691,maize1
Zm00001d017559,maize1
Zm00001d002943,maize1
Zm00001d053107,maize1
Zm00001d033648,maize1
Zm00001d040390,maize1
Zm00001d019061,maize1
Zm00001d003033,maize1
Zm00001d018831,maize1
Zm00001d014928,maize1
Zm00001d003836,maize1
Zm00001d044844,maize1
Zm00001d018495,maize1
Zm00001d020188,maize1
Zm00001d037522,maize1
Zm00001d024004,maize1
Zm00001d019994,maize1
Zm00001d022330,maize1
Zm00001d020623,maize1
Zm00001d045344,maize1
Zm00001d032316,maize1
Zm00001d002716,maize1
Zm00001d030074,maize1
Zm00001d020561,maize1
Zm00001d043993,maize1
Zm00001d030328,maize1
Zm00001d029011,maize1
Zm00001d017047,maize1
Zm00001d043086,maize1
Zm00001d046372,maize1
Zm00001d029010,maize1
Zm00001d032318,maize1
Zm00001d028017,maize1
Zm00001d033987,maize1
Zm00001d028167,maize1
Zm00001d031061,maize1
Zm00001d043994,maize1
Zm00001d029417,maize1
Zm00001d045283,maize1
Zm00001d003632,maize1
Zm00001d030934,maize1
Zm00001d031059,maize1
Zm00001d035012,maize1
Zm00001d033371,maize1
Zm00001d034979,maize1
Zm00001d042811,maize1
Zm00001d024543,maize1
Zm00001d046660,maize1
Zm00001d003630,maize1
Zm00001d032867,maize1
Zm00001d045319,maize1
Zm00001d002607,maize1
Zm00001d019305,maize1
Zm00001d023376,maize1
Zm00001d024674,maize1
Zm00001d002834,maize1
Zm00001d002833,maize1
Zm00001d019306,maize1
Zm00001d039946,maize1
Zm00001d043725,maize1
Zm00001d040446,maize1
Zm00001d024675,maize1
Zm00001d030305,maize1
Zm00001d033709,maize1
Zm00001d031844,maize1
Zm00001d018560,maize1
Zm00001d046519,maize1
Zm00001d033710,maize1
Zm00001d046440,maize1
Zm00001d033711,maize1
Zm00001d042443,maize1
Zm00001d028053,maize1
Zm00001d018929,maize1
Zm00001d002131,maize1
Zm00001d042969,maize1
Zm00001d002130,maize1
Zm00001d044034,maize1
Zm00001d034992,maize1
Zm00001d044035,maize1
Zm00001d023377,maize1
Zm00001d028055,maize1
Zm00001d034990,maize1
Zm00001d023378,maize1
Zm00001d020234,maize1
Zm00001d034558,maize1
Zm00001d020972,maize1
Zm00001d023379,maize1
Zm00001d017682,maize1
Zm00001d031486,maize1
Zm00001d020971,maize1
Zm00001d002128,maize1
Zm00001d038769,maize1
Zm00001d027802,maize1
Zm00001d042683,maize1
Zm00001d052651,maize1
Zm00001d016690,maize1
Zm00001d024220,maize1
Zm00001d029487,maize1
Zm00001d017501,maize1
Zm00001d038772,maize1
Zm00001d039623,maize1
Zm00001d043166,maize1
Zm00001d021672,maize1
Zm00001d038773,maize1
Zm00001d042851,maize1
Zm00001d014826,maize1
Zm00001d024701,maize1
Zm00001d035304,maize1
Zm00001d020969,maize1
Zm00001d032710,maize1
Zm00001d042850,maize1
Zm00001d024702,maize1
Zm00001d002333,maize1
Zm00001d027979,maize1
Zm00001d038959,maize1
Zm00001d044975,maize1
Zm00001d045194,maize1
Zm00001d043524,maize1
Zm00001d002332,maize1
Zm00001d042849,maize1
Zm00001d024703,maize1
Zm00001d002332,maize1
Zm00001d045193,maize1
Zm00001d016621,maize1
Zm00001d038005,maize1
Zm00001d038777,maize1
Zm00001d002330,maize1
Zm00001d045339,maize1
Zm00001d003590,maize1
Zm00001d018104,maize1
Zm00001d028130,maize1
Zm00001d042690,maize1
Zm00001d046221,maize1
Zm00001d045338,maize1
Zm00001d015328,maize1
Zm00001d035303,maize1
Zm00001d028129,maize1
Zm00001d029559,maize1
Zm00001d019298,maize1
Zm00001d031534,maize1
Zm00001d015014,maize1
Zm00001d038647,maize1
Zm00001d039395,maize1
Zm00001d018339,maize1
Zm00001d046480,maize1
Zm00001d044259,maize1
Zm00001d038641,maize1
Zm00001d043209,maize1
Zm00001d031290,maize1
Zm00001d046363,maize1
Zm00001d031136,maize1
Zm00001d017540,maize1
Zm00001d024248,maize1
Zm00001d023784,maize1
Zm00001d038084,maize1
Zm00001d017539,maize1
Zm00001d015367,maize1
Zm00001d023659,maize1
Zm00001d034414,maize1
Zm00001d018730,maize1
Zm00001d028773,maize1
Zm00001d046362,maize1
Zm00001d021392,maize1
Zm00001d022303,maize1
Zm00001d015329,maize1
Zm00001d043009,maize1
Zm00001d052495,maize1
Zm00001d042469,maize1
Zm00001d014917,maize1
Zm00001d023781,maize1
Zm00001d021887,maize1
Zm00001d048737,maize1
Zm00001d034924,maize1
Zm00001d028774,maize1
Zm00001d038650,maize1
Zm00001d019370,maize1
Zm00001d021390,maize1
Zm00001d042468,maize1
Zm00001d042567,maize1
Zm00001d048736,maize1
Zm00001d023636,maize1
Zm00001d020938,maize1
Zm00001d027987,maize1
Zm00001d027324,maize1
Zm00001d027988,maize1
Zm00001d030618,maize1
Zm00001d017126,maize1
Zm00001d018853,maize1
Zm00001d022443,maize1
Zm00001d024507,maize1
Zm00001d020939,maize1
Zm00001d042931,maize1
Zm00001d052993,maize1
Zm00001d046792,maize1
Zm00001d016802,maize1
Zm00001d021828,maize1
Zm00001d002999,maize1
Zm00001d045499,maize1
Zm00001d028093,maize1
Zm00001d028778,maize1
Zm00001d027325,maize1
Zm00001d042594,maize1
Zm00001d028565,maize1
Zm00001d028779,maize1
Zm00001d038995,maize1
Zm00001d028092,maize1
Zm00001d030676,maize1
Zm00001d002319,maize1
Zm00001d042596,maize1
Zm00001d014361,maize1
Zm00001d028112,maize1
Zm00001d021488,maize1
Zm00001d037934,maize1
Zm00001d016787,maize1
Zm00001d024272,maize1
Zm00001d020686,maize1
Zm00001d002318,maize1
Zm00001d053017,maize1
Zm00001d016164,maize1
Zm00001d042929,maize1
Zm00001d043776,maize1
Zm00001d028111,maize1
Zm00001d015377,maize1
Zm00001d031205,maize1
Zm00001d027518,maize1
Zm00001d002317,maize1
Zm00001d017167,maize1
Zm00001d028109,maize1
Zm00001d030955,maize1
Zm00001d039988,maize1
Zm00001d017168,maize1
Zm00001d021881,maize1
Zm00001d042810,maize1
Zm00001d023492,maize1
Zm00001d045160,maize1
Zm00001d002317,maize1
Zm00001d015816,maize1
Zm00001d002316,maize1
Zm00001d034686,maize1
Zm00001d017169,maize1
Zm00001d021880,maize1
Zm00001d002315,maize1
Zm00001d029983,maize1
Zm00001d045159,maize1
Zm00001d031806,maize1
Zm00001d002314,maize1
Zm00001d018732,maize1
Zm00001d027489,maize1
Zm00001d034085,maize1
Zm00001d027490,maize1
Zm00001d032311,maize1
Zm00001d022489,maize1
Zm00001d018731,maize1
Zm00001d018325,maize1
Zm00001d031092,maize1
Zm00001d037633,maize1
Zm00001d049006,maize1
Zm00001d049007,maize1
Zm00001d019479,maize1
Zm00001d045119,maize1
Zm00001d021791,maize1
Zm00001d045118,maize1
Zm00001d027373,maize1
Zm00001d021790,maize1
Zm00001d018324,maize1
Zm00001d048614,maize1
Zm00001d018323,maize1
Zm00001d046348,maize1
Zm00001d022026,maize1
Zm00001d028915,maize1
Zm00001d048979,maize1
Zm00001d039526,maize1
Zm00001d021740,maize1
Zm00001d015934,maize1
Zm00001d032781,maize1
Zm00001d037659,maize1
Zm00001d003205,maize1
Zm00001d020021,maize1
Zm00001d021739,maize1
Zm00001d027374,maize1
Zm00001d022022,maize1
Zm00001d018419,maize1
Zm00001d043692,maize1
Zm00001d018418,maize1
Zm00001d021738,maize1
Zm00001d043691,maize1
Zm00001d027375,maize1
Zm00001d002989,maize1
Zm00001d018417,maize1
Zm00001d002993,maize1
Zm00001d031475,maize1
Zm00001d027588,maize1
Zm00001d022400,maize1
Zm00001d035082,maize1
Zm00001d020309,maize1
Zm00001d020702,maize1
Zm00001d023713,maize1
Zm00001d020541,maize1
Zm00001d021655,maize1
Zm00001d031476,maize1
Zm00001d003483,maize1
Zm00001d045130,maize1
Zm00001d021654,maize1
Zm00001d020703,maize1
Zm00001d023863,maize1
Zm00001d002812,maize1
Zm00001d021653,maize1
Zm00001d028981,maize1
Zm00001d022401,maize1
Zm00001d039994,maize1
Zm00001d022107,maize1
Zm00001d027976,maize1
Zm00001d046378,maize1
Zm00001d052676,maize1
Zm00001d024300,maize1
Zm00001d015131,maize1
Zm00001d033625,maize1
Zm00001d049176,maize1
Zm00001d038665,maize1
Zm00001d021652,maize1
Zm00001d001973,maize1
Zm00001d017807,maize1
Zm00001d024009,maize1
Zm00001d023734,maize1
Zm00001d030316,maize1
Zm00001d015852,maize1
Zm00001d017806,maize1
Zm00001d052675,maize1
Zm00001d022106,maize1
Zm00001d019875,maize1
Zm00001d033002,maize1
Zm00001d035023,maize1
Zm00001d046784,maize1
Zm00001d001972,maize1
Zm00001d035140,maize1
Zm00001d028980,maize1
Zm00001d000314,maize1
Zm00001d016207,maize1
Zm00001d015985,maize1
Zm00001d023733,maize1
Zm00001d022403,maize1
Zm00001d034058,maize1
Zm00001d027645,maize1
Zm00001d034010,maize1
Zm00001d037606,maize1
Zm00001d003414,maize1
Zm00001d033986,maize1
Zm00001d034527,maize1
Zm00001d015863,maize1
Zm00001d034174,maize1
Zm00001d003428,maize1
Zm00001d034175,maize1
Zm00001d001898,maize1
Zm00001d046488,maize1
Zm00001d028866,maize1
Zm00001d033985,maize1
Zm00001d034011,maize1
Zm00001d033734,maize1
Zm00001d049026,maize1
Zm00001d016131,maize1
Zm00001d040831,maize1
Zm00001d023504,maize1
Zm00001d033353,maize1
Zm00001d022230,maize1
Zm00001d033354,maize1
Zm00001d029027,maize1
Zm00001d003415,maize1
Zm00001d001899,maize1
Zm00001d021582,maize1
Zm00001d038190,maize1
Zm00001d043451,maize1
Zm00001d015378,maize1
Zm00001d028810,maize1
Zm00001d022405,maize1
Zm00001d038894,maize1
Zm00001d034383,maize1
Zm00001d038525,maize1
Zm00001d032699,maize1
Zm00001d020344,maize1
Zm00001d001900,maize1
Zm00001d043096,maize1
Zm00001d002136,maize1
Zm00001d028809,maize1
Zm00001d001908,maize1
Zm00001d045783,maize1
Zm00001d021533,maize1
Zm00001d029004,maize1
Zm00001d017619,maize1
Zm00001d021977,maize1
Zm00001d021534,maize1
Zm00001d015224,maize1
Zm00001d017620,maize1
Zm00001d015379,maize1
Zm00001d043453,maize1
Zm00001d004055,maize1
Zm00001d015225,maize1
Zm00001d043454,maize1
Zm00001d029084,maize1
Zm00001d033088,maize1
Zm00001d046788,maize1
Zm00001d032923,maize1
Zm00001d002174,maize1
Zm00001d028808,maize1
Zm00001d015227,maize1
Zm00001d015228,maize1
Zm00001d002174,maize1
Zm00001d017621,maize1
Zm00001d029085,maize1
Zm00001d020359,maize1
Zm00001d044385,maize1
Zm00001d038796,maize1
Zm00001d019648,maize1
Zm00001d023658,maize1
Zm00001d023815,maize1
Zm00001d016396,maize1
Zm00001d038328,maize1
Zm00001d038329,maize1
Zm00001d029087,maize1
Zm00001d033091,maize1
Zm00001d044181,maize1
Zm00001d032922,maize1
Zm00001d048857,maize1
Zm00001d034007,maize1
Zm00001d034384,maize1
Zm00001d044182,maize1
Zm00001d040033,maize1
Zm00001d020605,maize1
Zm00001d042601,maize1
Zm00001d028896,maize1
Zm00001d030157,maize1
Zm00001d039279,maize1
Zm00001d033092,maize1
Zm00001d033378,maize1
Zm00001d044533,maize1
Zm00001d016859,maize1
Zm00001d018312,maize1
Zm00001d016553,maize1
Zm00001d016581,maize1
Zm00001d039278,maize1
Zm00001d039066,maize1
Zm00001d042603,maize1
Zm00001d018911,maize1
Zm00001d023655,maize1
Zm00001d016029,maize1
Zm00001d018792,maize1
Zm00001d033093,maize1
Zm00001d018794,maize1
Zm00001d015306,maize1
Zm00001d033094,maize1
Zm00001d039065,maize1
Zm00001d017896,maize1
Zm00001d014890,maize1
Zm00001d037978,maize1
Zm00001d018795,maize1
Zm00001d046630,maize1
Zm00001d017895,maize1
Zm00001d016483,maize1
Zm00001d002243,maize1
Zm00001d027879,maize1
Zm00001d033098,maize1
Zm00001d031581,maize1
Zm00001d028298,maize1
Zm00001d030960,maize1
Zm00001d018144,maize1
Zm00001d022056,maize1
Zm00001d015997,maize1
Zm00001d017894,maize1
Zm00001d027880,maize1
Zm00001d037979,maize1
Zm00001d034547,maize1
Zm00001d003046,maize1
Zm00001d018072,maize1
Zm00001d034649,maize1
Zm00001d030158,maize1
Zm00001d028546,maize1
Zm00001d018796,maize1
Zm00001d003431,maize1
Zm00001d046629,maize1
Zm00001d052476,maize1
Zm00001d052475,maize1
Zm00001d018797,maize1
Zm00001d021453,maize1
Zm00001d030159,maize1
Zm00001d028332,maize1
Zm00001d000008,maize1
Zm00001d052663,maize1
Zm00001d028548,maize1
Zm00001d002244,maize1
Zm00001d016552,maize1
Zm00001d028331,maize1
Zm00001d000023,maize1
Zm00001d035681,maize1
Zm00001d017174,maize1
Zm00001d045027,maize1
Zm00001d021006,maize1
Zm00001d016274,maize1
Zm00001d035680,maize1
Zm00001d035679,maize1
Zm00001d038158,maize1
Zm00001d039326,maize1
Zm00001d042472,maize1
Zm00001d039323,maize1
Zm00001d052612,maize1
Zm00001d052609,maize1
Zm00001d021197,maize1
Zm00001d029089,maize1
Zm00001d052605,maize1
Zm00001d045028,maize1
Zm00001d017036,maize1
Zm00001d034543,maize1
Zm00001d040393,maize1
Zm00001d028154,maize1
Zm00001d042902,maize1
Zm00001d040155,maize1
Zm00001d023833,maize1
Zm00001d015073,maize1
Zm00001d049162,maize1
Zm00001d035604,maize1
Zm00001d029096,maize1
Zm00001d033099,maize1
Zm00001d045029,maize1
Zm00001d027385,maize1
Zm00001d028903,maize1
Zm00001d022307,maize1
Zm00001d038087,maize1
Zm00001d021164,maize1
Zm00001d018521,maize1
Zm00001d040157,maize1
Zm00001d028868,maize1
Zm00001d022206,maize1
Zm00001d017555,maize1
Zm00001d031142,maize1
Zm00001d018522,maize1
Zm00001d046758,maize1
Zm00001d028867,maize1
Zm00001d031079,maize1
Zm00001d038608,maize1
Zm00001d018489,maize1
Zm00001d027387,maize1
Zm00001d029879,maize1
Zm00001d045218,maize1
Zm00001d038606,maize1
Zm00001d018523,maize1
Zm00001d042884,maize1
Zm00001d002531,maize1
Zm00001d045139,maize1
Zm00001d002483,maize1
Zm00001d022306,maize1
Zm00001d038088,maize1
Zm00001d038824,maize1
Zm00001d023892,maize1
Zm00001d033222,maize1
Zm00001d044156,maize1
Zm00001d023582,maize1
Zm00001d028522,maize1
Zm00001d014368,maize1
Zm00001d042885,maize1
Zm00001d043581,maize1
Zm00001d014367,maize1
Zm00001d037762,maize1
Zm00001d020852,maize1
Zm00001d003702,maize1
Zm00001d032649,maize1
Zm00001d003866,maize1
Zm00001d042985,maize1
Zm00001d022193,maize1
Zm00001d017175,maize1
Zm00001d043587,maize1
Zm00001d018524,maize1
Zm00001d014383,maize1
Zm00001d016364,maize1
Zm00001d019563,maize1
Zm00001d038620,maize1
Zm00001d033244,maize1
Zm00001d019950,maize1
Zm00001d046535,maize1
Zm00001d028113,maize1
Zm00001d033798,maize1
Zm00001d018525,maize1
Zm00001d031008,maize1
Zm00001d038622,maize1
Zm00001d017516,maize1
Zm00001d016365,maize1
Zm00001d015553,maize1
Zm00001d028114,maize1
Zm00001d029099,maize1
Zm00001d039519,maize1
Zm00001d028524,maize1
Zm00001d044503,maize1
Zm00001d035474,maize1
Zm00001d031958,maize1
Zm00001d035018,maize1
Zm00001d044502,maize1
Zm00001d027326,maize1
Zm00001d018187,maize1
Zm00001d024795,maize1
Zm00001d046272,maize1
Zm00001d046273,maize1
Zm00001d018971,maize1
Zm00001d031979,maize1
Zm00001d017785,maize1
Zm00001d024778,maize1
Zm00001d003509,maize1
Zm00001d032280,maize1
Zm00001d003161,maize1
Zm00001d018699,maize1
Zm00001d018134,maize1
Zm00001d035057,maize1
Zm00001d028199,maize1
Zm00001d003508,maize1
Zm00001d049251,maize1
Zm00001d035694,maize1
Zm00001d043387,maize1
Zm00001d023810,maize1
Zm00001d003925,maize1
Zm00001d029303,maize1
Zm00001d043621,maize1
Zm00001d032338,maize1
Zm00001d037756,maize1
Zm00001d032331,maize1
Zm00001d016203,maize1
Zm00001d049252,maize1
Zm00001d028851,maize1
Zm00001d043314,maize1
Zm00001d031498,maize1
Zm00001d034828,maize1
Zm00001d031496,maize1
Zm00001d034457,maize1
Zm00001d015141,maize1
Zm00001d031853,maize1
Zm00001d024669,maize1
Zm00001d023413,maize1
Zm00001d044781,maize1
Zm00001d034829,maize1
Zm00001d045104,maize1
Zm00001d045277,maize1
Zm00001d024799,maize1
Zm00001d042033,maize1
Zm00001d043386,maize1
Zm00001d031961,maize1
Zm00001d027890,maize1
Zm00001d038849,maize1
Zm00001d027896,maize1
Zm00001d032102,maize1
Zm00001d034019,maize1
Zm00001d020296,maize1
Zm00001d041950,maize1
Zm00001d033259,maize1
Zm00001d032491,maize1
Zm00001d019518,maize1
Zm00001d035457,maize1
Zm00001d043317,maize1
Zm00001d020297,maize1
Zm00001d041951,maize1
Zm00001d034018,maize1
Zm00001d002537,maize1
Zm00001d028820,maize1
Zm00001d034830,maize1
Zm00001d034832,maize1
Zm00001d038208,maize1
Zm00001d045276,maize1
Zm00001d045094,maize1
Zm00001d033345,maize1
Zm00001d034833,maize1
Zm00001d003602,maize1
Zm00001d004009,maize1
Zm00001d045213,maize1
Zm00001d019311,maize1
Zm00001d000141,maize1
Zm00001d029816,maize1
Zm00001d021221,maize1
Zm00001d022016,maize1
Zm00001d028821,maize1
Zm00001d031850,maize1
Zm00001d033346,maize1
Zm00001d042530,maize1
Zm00001d022182,maize1
Zm00001d014756,maize1
Zm00001d044514,maize1
Zm00001d033859,maize1
Zm00001d031749,maize1
Zm00001d053184,maize1
Zm00001d030751,maize1
Zm00001d003601,maize1
Zm00001d002539,maize1
Zm00001d029038,maize1
Zm00001d015138,maize1
Zm00001d032935,maize1
Zm00001d044904,maize1
Zm00001d027895,maize1
Zm00001d044903,maize1
Zm00001d022184,maize1
Zm00001d038917,maize1
Zm00001d034283,maize1
Zm00001d033347,maize1
Zm00001d045212,maize1
Zm00001d018065,maize1
Zm00001d022185,maize1
Zm00001d032899,maize1
Zm00001d028841,maize1
Zm00001d042234,maize1
Zm00001d022066,maize1
Zm00001d018066,maize1
Zm00001d034651,maize1
Zm00001d030950,maize1
Zm00001d040527,maize1
Zm00001d028840,maize1
Zm00001d044902,maize1
Zm00001d022067,maize1
Zm00001d030947,maize1
Zm00001d027893,maize1
Zm00001d049019,maize1
Zm00001d019194,maize1
Zm00001d003718,maize1
Zm00001d045271,maize1
Zm00001d015362,maize1
Zm00001d045272,maize1
Zm00001d015363,maize1
Zm00001d049018,maize1
Zm00001d040827,maize1
Zm00001d024833,maize1
Zm00001d018361,maize1
Zm00001d018474,maize1
Zm00001d015394,maize1
Zm00001d022428,maize1
Zm00001d018360,maize1
Zm00001d014742,maize1
Zm00001d016733,maize1
Zm00001d037602,maize1
Zm00001d020887,maize1
Zm00001d029627,maize1
Zm00001d018959,maize1
Zm00001d018359,maize1
Zm00001d020886,maize1
Zm00001d017877,maize1
Zm00001d021214,maize1
Zm00001d042921,maize1
Zm00001d039442,maize1
Zm00001d039441,maize1
Zm00001d003621,maize1
Zm00001d029106,maize1
Zm00001d035165,maize1
Zm00001d003457,maize1
Zm00001d016072,maize1
Zm00001d033396,maize1
Zm00001d030971,maize1
Zm00001d018358,maize1
Zm00001d033965,maize1
Zm00001d018859,maize1
Zm00001d016671,maize1
Zm00001d040438,maize1
Zm00001d018355,maize1
Zm00001d027581,maize1
