Feature	CG_Total_C	CG_Methylated_C	CG_Total_Reads	CG_Methylated_Reads	CG_Weighted_mC	CHG_Total_C	CHG_Methylated_C	CHG_Total_Reads	CHG_Methylated_Reads	CHG_Weighted_mC	CHH_Total_C	CHH_Methylated_C	CHH_Total_Reads	CHH_Methylated_Reads	CHH_Weighted_mC	CG_pvalue	CG_qvalue	CHG_pvalue	CHG_qvalue	CHH_pvalue	CHH_qvalue	Classification
p5.00_sc00105_p0071	14.0	6.0	96.0	24.0	0.25	30.0	0.0	192.0	1.0	0.005208333333333333	101.0	0.0	625.0	1.0	0.0016			1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00105_p0070	39.0	14.0	251.0	68.0	0.27091633466135456	76.0	0.0	484.0	2.0	0.004132231404958678	222.0	0.0	1337.0	2.0	0.0014958863126402393	0.19083664718852114	0.5962553254645929	1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00105_p0069	14.0	0.0	85.0	1.0	0.011764705882352941	21.0	0.0	109.0	0.0	0.0	31.0	0.0	197.0	2.0	0.01015228426395939			1.0	1.0	1.0	1.0	Unmethylated
p5.00_sc00105_p0068	11.0	0.0	45.0	0.0	0.0	19.0	0.0	99.0	1.0	0.010101010101010102	50.0	0.0	306.0	0.0	0.0					1.0	1.0	Unmethylated
p5.00_sc00105_p0067	7.0	0.0	69.0	0.0	0.0	11.0	0.0	58.0	0.0	0.0	20.0	0.0	196.0	0.0	0.0					1.0	1.0	Unmethylated
p5.00_sc00105_p0066	12.0	4.0	63.0	27.0	0.42857142857142855	22.0	0.0	144.0	9.0	0.0625	52.0	0.0	305.0	1.0	0.003278688524590164			1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00105_p0065	9.0	7.0	49.0	33.0	0.6734693877551021	23.0	0.0	131.0	2.0	0.015267175572519085	83.0	0.0	565.0	1.0	0.001769911504424779			1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00105_p0064	15.0	4.0	68.0	8.0	0.1176470588235294	7.0	0.0	64.0	0.0	0.0	44.0	0.0	288.0	1.0	0.003472222222222222					1.0	1.0	Unclassified
p5.00_sc00105_p0063	22.0	0.0	88.0	5.0	0.05681818181818181	28.0	0.0	113.0	0.0	0.0	47.0	0.0	244.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	Unmethylated
p5.00_sc00105_p0062	8.0	0.0	183.0	0.0	0.0	5.0	0.0	121.0	0.0	0.0	13.0	0.0	280.0	2.0	0.0071428571428571435							Unmethylated
p5.00_sc00105_p0061	12.0	5.0	120.0	28.0	0.2333333333333333	14.0	0.0	137.0	1.0	0.007299270072992701	54.0	0.0	435.0	1.0	0.002298850574712644					1.0	1.0	Unclassified
p5.00_sc00105_p0060	34.0	0.0	230.0	0.0	0.0	43.0	0.0	261.0	1.0	0.0038314176245210726	123.0	0.0	778.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	Unmethylated
p5.00_sc00105_p0059	18.0	5.0	93.0	28.0	0.3010752688172043	29.0	0.0	178.0	1.0	0.005617977528089888	64.0	0.0	458.0	0.0	0.0			1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00105_p0058	10.0	0.0	44.0	4.0	0.09090909090909093	7.0	0.0	43.0	0.0	0.0	16.0	0.0	110.0	0.0	0.0							Unmethylated
p5.00_sc00105_p0057	16.0	0.0	141.0	0.0	0.0	19.0	0.0	159.0	1.0	0.006289308176100629	50.0	0.0	420.0	2.0	0.0047619047619047615					1.0	1.0	Unmethylated
p5.00_sc00105_p0056	40.0	0.0	254.0	1.0	0.003937007874015748	32.0	0.0	186.0	1.0	0.005376344086021507	70.0	0.0	499.0	2.0	0.004008016032064128	1.0	1.0	1.0	1.0	1.0	1.0	Unmethylated
p5.00_sc00105_p0055	3.0	1.0	84.0	3.0	0.03571428571428571	6.0	0.0	112.0	0.0	0.0	12.0	0.0	294.0	0.0	0.0							Unmethylated
p5.00_sc00105_p0054	6.0	0.0	25.0	0.0	0.0	9.0	0.0	38.0	0.0	0.0	34.0	0.0	169.0	0.0	0.0					1.0	1.0	Unmethylated
p5.00_sc00105_p0053	35.0	20.0	214.0	93.0	0.4345794392523365	61.0	0.0	373.0	1.0	0.0026809651474530827	203.0	0.0	1307.0	2.0	0.001530221882172915	0.00033767261502985584	0.0017317254054946432	1.0	1.0	1.0	1.0	gbM
p5.00_sc00105_p0052	15.0	3.0	78.0	10.0	0.1282051282051282	18.0	1.0	89.0	3.0	0.033707865168539325	51.0	0.0	236.0	0.0	0.0					1.0	1.0	Unclassified
p5.00_sc00105_p0051	23.0	0.0	113.0	1.0	0.008849557522123894	31.0	0.0	146.0	0.0	0.0	69.0	0.0	387.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	Unmethylated
p5.00_sc00105_p0050	18.0	18.0	207.0	195.0	0.9420289855072465	10.0	9.0	129.0	99.0	0.7674418604651163	25.0	1.0	265.0	6.0	0.022641509433962263					0.2498063839274676	1.0	Unclassified
p5.00_sc00105_p0049																						NA
p5.00_sc00105_p0048	10.0	0.0	244.0	1.0	0.004098360655737704	6.0	0.0	186.0	1.0	0.005376344086021507	18.0	0.0	260.0	0.0	0.0							Unmethylated
p5.00_sc00105_p0047	37.0	0.0	217.0	8.0	0.03686635944700462	27.0	0.0	197.0	0.0	0.0	114.0	0.0	813.0	4.0	0.004920049200492005	1.0	1.0	1.0	1.0	1.0	1.0	Unmethylated
p5.00_sc00105_p0046	5.0	5.0	28.0	27.0	0.9642857142857144	8.0	0.0	55.0	1.0	0.01818181818181818	44.0	0.0	288.0	0.0	0.0					1.0	1.0	Unclassified
p5.00_sc00105_p0044	70.0	0.0	464.0	4.0	0.008620689655172414	105.0	0.0	662.0	2.0	0.0030211480362537764	306.0	0.0	1963.0	2.0	0.0010188487009679065	1.0	1.0	1.0	1.0	1.0	1.0	Unmethylated
p5.00_sc00105_p0045	12.0	0.0	91.0	3.0	0.03296703296703297	14.0	0.0	122.0	1.0	0.008196721311475409	51.0	0.0	408.0	0.0	0.0					1.0	1.0	Unmethylated
p5.00_sc00105_p0043	57.0	15.0	414.0	104.0	0.25120772946859904	106.0	0.0	820.0	3.0	0.003658536585365854	288.0	0.0	2192.0	6.0	0.002737226277372263	0.6809872705589521	1.0	1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00105_p0042	50.0	3.0	289.0	10.0	0.034602076124567484	88.0	0.0	553.0	0.0	0.0	238.0	0.0	1518.0	5.0	0.0032938076416337285	0.99998773715849	1.0	1.0	1.0	1.0	1.0	Unmethylated
p5.00_sc00105_p0041	61.0	0.0	394.0	1.0	0.0025380710659898475	30.0	0.0	203.0	3.0	0.014778325123152709	32.0	0.0	335.0	1.0	0.0029850746268656717	1.0	1.0	1.0	1.0	1.0	1.0	Unmethylated
p5.00_sc00105_p0040	2.0	0.0	41.0	0.0	0.0	1.0	0.0	32.0	0.0	0.0	3.0	0.0	63.0	0.0	0.0							NA
p5.00_sc00105_p0039	2.0	0.0	134.0	0.0	0.0	4.0	0.0	106.0	0.0	0.0	14.0	0.0	301.0	0.0	0.0							Unmethylated
p5.00_sc00105_p0038	36.0	0.0	197.0	0.0	0.0	20.0	0.0	109.0	0.0	0.0	40.0	0.0	267.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	Unmethylated
p5.00_sc00105_p0037	33.0	11.0	215.0	52.0	0.2418604651162791	30.0	0.0	164.0	1.0	0.006097560975609756	75.0	0.0	431.0	1.0	0.002320185614849188	0.3213432019807402	0.9387722803390649	1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00105_p0036	15.0	11.0	77.0	50.0	0.6493506493506493	23.0	0.0	108.0	0.0	0.0	72.0	0.0	414.0	2.0	0.004830917874396135			1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00105_p0035	18.0	2.0	141.0	28.0	0.19858156028368795	27.0	0.0	185.0	0.0	0.0	63.0	0.0	524.0	1.0	0.0019083969465648848			1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00105_p0034	37.0	0.0	193.0	0.0	0.0	63.0	0.0	303.0	0.0	0.0	151.0	0.0	839.0	2.0	0.0023837902264600714	1.0	1.0	1.0	1.0	1.0	1.0	Unmethylated
p5.00_sc00105_p0033	4.0	2.0	56.0	10.0	0.17857142857142858	6.0	0.0	49.0	0.0	0.0	18.0	0.0	124.0	1.0	0.008064516129032258							Unclassified
p5.00_sc00105_p0032	23.0	2.0	106.0	16.0	0.1509433962264151	34.0	0.0	184.0	1.0	0.005434782608695652	72.0	0.0	447.0	2.0	0.0044742729306487695	0.9952745195231852	1.0	1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00105_p0031	23.0	2.0	106.0	16.0	0.1509433962264151	34.0	0.0	184.0	1.0	0.005434782608695652	71.0	0.0	443.0	2.0	0.004514672686230248	0.9952745195231852	1.0	1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00105_p0030	14.0	2.0	81.0	9.0	0.1111111111111111	31.0	0.0	172.0	0.0	0.0	69.0	0.0	416.0	1.0	0.002403846153846154			1.0	1.0	1.0	1.0	Unmethylated
p5.00_sc00105_p0029	22.0	1.0	159.0	4.0	0.025157232704402517	13.0	0.0	93.0	0.0	0.0	35.0	0.0	246.0	1.0	0.0040650406504065045	0.9993470170995624	1.0			1.0	1.0	Unmethylated
p5.00_sc00105_p0028	5.0	0.0	60.0	0.0	0.0	2.0	0.0	33.0	0.0	0.0	1.0	0.0	74.0	0.0	0.0							NA
p5.00_sc00105_p0027	7.0	5.0	48.0	22.0	0.4583333333333333	35.0	0.0	197.0	1.0	0.005076142131979695	96.0	0.0	553.0	3.0	0.0054249547920434			1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00105_p0026	3.0	0.0	81.0	33.0	0.4074074074074074	5.0	0.0	73.0	22.0	0.3013698630136986	28.0	0.0	342.0	13.0	0.038011695906432746					1.0	1.0	Unmethylated
p5.00_sc00105_p0025	28.0	23.0	173.0	122.0	0.7052023121387283	76.0	0.0	409.0	2.0	0.004889975550122249	233.0	0.0	1330.0	4.0	0.003007518796992481	5.170117996462257e-09	4.9829583976172814e-08	1.0	1.0	1.0	1.0	gbM
p5.00_sc00105_p0024	15.0	10.0	101.0	59.0	0.5841584158415841	45.0	0.0	295.0	7.0	0.02372881355932204	135.0	1.0	955.0	6.0	0.006282722513089005			1.0	1.0	0.7881950204408777	1.0	Unclassified
p5.00_sc00105_p0023	9.0	1.0	69.0	6.0	0.08695652173913042	20.0	0.0	126.0	1.0	0.007936507936507936	36.0	0.0	252.0	0.0	0.0			1.0	1.0	1.0	1.0	Unmethylated
p5.00_sc00105_p0022	14.0	0.0	111.0	0.0	0.0	7.0	0.0	83.0	0.0	0.0	36.0	0.0	302.0	1.0	0.0033112582781456954					1.0	1.0	Unmethylated
p5.00_sc00105_p0021	7.0	5.0	86.0	28.0	0.32558139534883723	9.0	0.0	94.0	1.0	0.010638297872340424	24.0	0.0	271.0	1.0	0.003690036900369004					1.0	1.0	Unclassified
p5.00_sc00105_p0020	5.0	3.0	89.0	27.0	0.30337078651685395	13.0	0.0	101.0	1.0	0.0099009900990099	33.0	0.0	283.0	0.0	0.0					1.0	1.0	Unclassified
p5.00_sc00105_p0019	24.0	0.0	268.0	0.0	0.0	8.0	0.0	140.0	0.0	0.0	32.0	0.0	343.0	1.0	0.002915451895043732	1.0	1.0			1.0	1.0	Unmethylated
p5.00_sc00105_p0018	5.0	2.0	34.0	11.0	0.3235294117647059	15.0	0.0	87.0	1.0	0.011494252873563218	42.0	0.0	215.0	0.0	0.0					1.0	1.0	Unclassified
p5.00_sc00105_p0017	69.0	49.0	463.0	299.0	0.6457883369330454	155.0	0.0	995.0	10.0	0.010050251256281407	549.0	1.0	3350.0	18.0	0.00537313432835821	2.603884106974409e-13	5.012810737221504e-12	1.0	1.0	0.9981852906540496	1.0	gbM
p5.00_sc00105_p0016	8.0	8.0	55.0	46.0	0.8363636363636363	25.0	0.0	203.0	3.0	0.014778325123152709	75.0	0.0	610.0	2.0	0.003278688524590164			1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00105_p0015	15.0	0.0	87.0	0.0	0.0	4.0	0.0	41.0	0.0	0.0	6.0	0.0	62.0	0.0	0.0							Unmethylated
p5.00_sc00105_p0014	1.0	0.0	9.0	0.0	0.0	1.0	0.0	9.0	0.0	0.0	5.0	0.0	45.0	0.0	0.0							NA
p5.00_sc00105_p0013	23.0	4.0	140.0	45.0	0.32142857142857145	29.0	0.0	237.0	4.0	0.016877637130801686	39.0	0.0	560.0	1.0	0.0017857142857142854	0.9254249945865674	1.0	1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00105_p0012	24.0	19.0	145.0	117.0	0.8068965517241379	58.0	0.0	405.0	1.0	0.0024691358024691358	136.0	0.0	1030.0	5.0	0.0048543689320388345	3.522063012724269e-07	2.673776450913429e-06	1.0	1.0	1.0	1.0	gbM
p5.00_sc00105_p0011	39.0	23.0	210.0	111.0	0.5285714285714286	95.0	0.0	484.0	3.0	0.006198347107438018	259.0	0.0	1397.0	5.0	0.0035790980672870437	6.25711053070521e-05	0.0003553584407302172	1.0	1.0	1.0	1.0	gbM
p5.00_sc00105_p0010	21.0	0.0	152.0	0.0	0.0	27.0	0.0	191.0	1.0	0.005235602094240838	62.0	0.0	647.0	9.0	0.013910355486862442	1.0	1.0	1.0	1.0	1.0	1.0	Unmethylated
p5.00_sc00105_p0009	20.0	1.0	150.0	2.0	0.013333333333333334	18.0	0.0	132.0	0.0	0.0	76.0	0.0	479.0	1.0	0.0020876826722338203	0.9987280905628518	1.0			1.0	1.0	Unmethylated
p5.00_sc00105_p0008	4.0	4.0	33.0	28.0	0.8484848484848485	12.0	0.0	81.0	0.0	0.0	44.0	0.0	310.0	1.0	0.0032258064516129032					1.0	1.0	Unclassified
p5.00_sc00105_p0007	14.0	2.0	87.0	14.0	0.16091954022988506	12.0	0.0	77.0	1.0	0.012987012987012988	30.0	0.0	196.0	1.0	0.005102040816326529					1.0	1.0	Unclassified
p5.00_sc00105_p0006	9.0	0.0	74.0	0.0	0.0	20.0	0.0	124.0	0.0	0.0	59.0	0.0	402.0	0.0	0.0			1.0	1.0	1.0	1.0	Unmethylated
p5.00_sc00105_p0005	72.0	0.0	427.0	0.0	0.0	38.0	0.0	236.0	0.0	0.0	56.0	0.0	412.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	Unmethylated
p5.00_sc00105_p0004						6.0	0.0	65.0	20.0	0.3076923076923077	26.0	0.0	243.0	2.0	0.00823045267489712					1.0	1.0	NA
p5.00_sc00105_p0003	29.0	1.0	205.0	39.0	0.1902439024390244	30.0	0.0	201.0	26.0	0.12935323383084574	64.0	0.0	503.0	5.0	0.009940357852882704	0.9999366915799835	1.0	1.0	1.0	1.0	1.0	Unmethylated
p5.00_sc00105_p0002	28.0	4.0	185.0	11.0	0.05945945945945946	64.0	0.0	371.0	1.0	0.0026954177897574125	106.0	0.0	713.0	2.0	0.002805049088359046	0.9757769006988132	1.0	1.0	1.0	1.0	1.0	Unmethylated
p5.00_sc00105_p0001	10.0	6.0	79.0	40.0	0.5063291139240507	21.0	0.0	173.0	0.0	0.0	96.0	0.0	614.0	0.0	0.0			1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00028_p0001	14.0	1.0	163.0	11.0	0.06748466257668713	19.0	0.0	203.0	1.0	0.0049261083743842365	60.0	0.0	749.0	0.0	0.0					1.0	1.0	Unmethylated
p5.00_sc00028_p0002	9.0	0.0	95.0	2.0	0.021052631578947368	9.0	0.0	90.0	0.0	0.0	19.0	0.0	273.0	0.0	0.0							Unmethylated
p5.00_sc00028_p0003	1.0	0.0	15.0	0.0	0.0	3.0	0.0	37.0	0.0	0.0	10.0	0.0	95.0	0.0	0.0							NA
p5.00_sc00028_p0004	3.0	2.0	21.0	7.0	0.3333333333333333	23.0	0.0	124.0	1.0	0.008064516129032258	37.0	0.0	267.0	1.0	0.003745318352059925			1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00028_p0005	9.0	3.0	47.0	12.0	0.2553191489361702	18.0	0.0	80.0	0.0	0.0	37.0	0.0	208.0	0.0	0.0					1.0	1.0	Unclassified
p5.00_sc00028_p0006	19.0	4.0	151.0	33.0	0.2185430463576159	14.0	3.0	116.0	20.0	0.1724137931034483	45.0	0.0	363.0	1.0	0.0027548209366391185					1.0	1.0	Unclassified
p5.00_sc00028_p0007						3.0	0.0	30.0	0.0	0.0	33.0	0.0	229.0	0.0	0.0					1.0	1.0	NA
p5.00_sc00028_p0008	18.0	1.0	137.0	4.0	0.0291970802919708	24.0	0.0	154.0	1.0	0.006493506493506494	46.0	0.0	389.0	3.0	0.007712082262210797			1.0	1.0	1.0	1.0	Unmethylated
p5.00_sc00028_p0009	11.0	11.0	74.0	63.0	0.8513513513513513	35.0	0.0	240.0	3.0	0.0125	98.0	0.0	770.0	5.0	0.006493506493506494			1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00028_p0010	2.0	0.0	52.0	0.0	0.0	1.0	0.0	35.0	0.0	0.0	16.0	0.0	171.0	0.0	0.0							NA
p5.00_sc00028_p0011	20.0	0.0	148.0	0.0	0.0	16.0	0.0	105.0	0.0	0.0	60.0	0.0	387.0	0.0	0.0	1.0	1.0			1.0	1.0	Unmethylated
p5.00_sc00028_p0012	2.0	1.0	17.0	5.0	0.29411764705882354	8.0	0.0	52.0	0.0	0.0	15.0	0.0	117.0	0.0	0.0							Unmethylated
p5.00_sc00028_p0013	36.0	29.0	244.0	131.0	0.5368852459016393	83.0	0.0	585.0	0.0	0.0	205.0	1.0	1367.0	3.0	0.0021945866861741038	1.183073718047872e-10	1.4953733123069735e-09	1.0	1.0	0.9052843845243894	1.0	gbM
p5.00_sc00028_p0014	67.0	18.0	375.0	98.0	0.2613333333333333	94.0	0.0	589.0	5.0	0.008488964346349746	291.0	0.0	1813.0	3.0	0.001654715940430226	0.6509371762205727	1.0	1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00028_p0015	61.0	10.0	349.0	57.0	0.16332378223495705	77.0	0.0	469.0	3.0	0.006396588486140725	199.0	0.0	1342.0	2.0	0.0014903129657228018	0.989920575614594	1.0	1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00028_p0016	5.0	4.0	33.0	24.0	0.7272727272727273	15.0	0.0	105.0	0.0	0.0	43.0	0.0	310.0	0.0	0.0					1.0	1.0	Unclassified
p5.00_sc00028_p0017	5.0	0.0	20.0	0.0	0.0	14.0	0.0	68.0	0.0	0.0	18.0	0.0	121.0	1.0	0.008264462809917356							Unmethylated
p5.00_sc00028_p0018	6.0	1.0	32.0	5.0	0.15625	23.0	0.0	172.0	0.0	0.0	60.0	0.0	404.0	1.0	0.0024752475247524753			1.0	1.0	1.0	1.0	Unmethylated
p5.00_sc00028_p0019	7.0	3.0	51.0	25.0	0.4901960784313725	17.0	0.0	147.0	3.0	0.020408163265306117	50.0	0.0	446.0	2.0	0.004484304932735426					1.0	1.0	Unclassified
p5.00_sc00028_p0020	59.0	7.0	280.0	47.0	0.16785714285714284	56.0	0.0	296.0	1.0	0.0033783783783783786	138.0	0.0	815.0	7.0	0.008588957055214725	0.999325602046348	1.0	1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00028_p0021	13.0	1.0	96.0	3.0	0.03125	11.0	1.0	73.0	3.0	0.0410958904109589	18.0	0.0	125.0	1.0	0.008							Unclassified
p5.00_sc00028_p0022						7.0	0.0	46.0	4.0	0.08695652173913042	14.0	0.0	121.0	2.0	0.016528925619834708							NA
p5.00_sc00028_p0023	20.0	5.0	88.0	25.0	0.2840909090909091	13.0	1.0	58.0	2.0	0.03448275862068965	57.0	0.0	251.0	4.0	0.01593625498007968	0.7100186915407805	1.0			1.0	1.0	Unclassified
p5.00_sc00028_p0024	9.0	3.0	44.0	16.0	0.3636363636363637	18.0	1.0	93.0	3.0	0.03225806451612903	51.0	1.0	242.0	7.0	0.028925619834710745					0.4436428640260857	1.0	Unclassified
p5.00_sc00028_p0025	9.0	1.0	63.0	8.0	0.12698412698412698	28.0	0.0	151.0	2.0	0.01324503311258278	68.0	0.0	374.0	2.0	0.0053475935828877			1.0	1.0	1.0	1.0	Unmethylated
p5.00_sc00028_p0026	8.0	0.0	48.0	0.0	0.0	13.0	0.0	90.0	0.0	0.0	37.0	0.0	223.0	0.0	0.0					1.0	1.0	Unmethylated
p5.00_sc00028_p0027	8.0	3.0	71.0	30.0	0.4225352112676056	29.0	0.0	157.0	1.0	0.006369426751592357	70.0	0.0	543.0	0.0	0.0			1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00028_p0028	22.0	0.0	138.0	1.0	0.007246376811594203	23.0	0.0	145.0	0.0	0.0	69.0	0.0	506.0	4.0	0.007905138339920948	1.0	1.0	1.0	1.0	1.0	1.0	Unmethylated
p5.00_sc00028_p0029	15.0	7.0	87.0	42.0	0.4827586206896552	31.0	0.0	241.0	1.0	0.004149377593360996	94.0	0.0	685.0	0.0	0.0			1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00028_p0030	2.0	2.0	23.0	13.0	0.5652173913043478	6.0	0.0	58.0	0.0	0.0	20.0	0.0	195.0	1.0	0.005128205128205128					1.0	1.0	Unclassified
p5.00_sc00028_p0031	20.0	0.0	102.0	0.0	0.0	30.0	0.0	142.0	1.0	0.007042253521126761	59.0	0.0	318.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	Unmethylated
p5.00_sc00028_p0032	9.0	0.0	67.0	0.0	0.0	12.0	0.0	84.0	0.0	0.0	28.0	0.0	223.0	0.0	0.0					1.0	1.0	Unmethylated
p5.00_sc00028_p0033	8.0	0.0	61.0	3.0	0.04918032786885247	4.0	0.0	36.0	0.0	0.0	9.0	0.0	167.0	13.0	0.07784431137724551							Unmethylated
p5.00_sc00028_p0034	8.0	0.0	89.0	0.0	0.0	11.0	0.0	82.0	0.0	0.0	34.0	0.0	250.0	1.0	0.004					1.0	1.0	Unmethylated
p5.00_sc00028_p0035	13.0	9.0	99.0	49.0	0.494949494949495	26.0	0.0	186.0	1.0	0.005376344086021507	72.0	1.0	530.0	4.0	0.007547169811320755			1.0	1.0	0.5629820367487559	1.0	Unclassified
p5.00_sc00028_p0036	5.0	0.0	58.0	0.0	0.0	16.0	0.0	149.0	0.0	0.0	41.0	0.0	376.0	0.0	0.0					1.0	1.0	Unmethylated
p5.00_sc00028_p0037	16.0	4.0	83.0	18.0	0.21686746987951808	19.0	0.0	115.0	0.0	0.0	25.0	0.0	209.0	1.0	0.004784688995215311					1.0	1.0	Unclassified
p5.00_sc00028_p0038	11.0	0.0	116.0	6.0	0.05172413793103448	13.0	0.0	120.0	0.0	0.0	35.0	0.0	404.0	0.0	0.0					1.0	1.0	Unmethylated
p5.00_sc00028_p0039	9.0	1.0	65.0	4.0	0.061538461538461535	11.0	0.0	58.0	0.0	0.0	22.0	0.0	132.0	0.0	0.0					1.0	1.0	Unmethylated
p5.00_sc00028_p0040	36.0	33.0	212.0	173.0	0.8160377358490566	118.0	1.0	708.0	7.0	0.009887005649717515	340.0	0.0	2111.0	7.0	0.0033159639981051635	2.3350895638042028e-15	6.666103591270707e-14	0.9988256419548852	1.0	1.0	1.0	gbM
p5.00_sc00028_p0041	29.0	22.0	170.0	120.0	0.7058823529411765	61.0	0.0	370.0	3.0	0.008108108108108109	176.0	0.0	1035.0	2.0	0.0019323671497584536	1.5490197853770776e-07	1.242525699637938e-06	1.0	1.0	1.0	1.0	gbM
p5.00_sc00028_p0042	65.0	7.0	371.0	52.0	0.14016172506738545	114.0	0.0	617.0	0.0	0.0	184.0	0.0	1178.0	3.0	0.0025466893039049238	0.9998381233670302	1.0	1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00028_p0043						12.0	0.0	57.0	0.0	0.0	11.0	0.0	110.0	0.0	0.0							NA
p5.00_sc00028_p0044	25.0	9.0	121.0	34.0	0.2809917355371901	43.0	0.0	198.0	0.0	0.0	117.0	0.0	581.0	1.0	0.0017211703958691911	0.25927023560251555	0.7820815302947717	1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00028_p0045	9.0	0.0	123.0	2.0	0.016260162601626018	8.0	0.0	135.0	0.0	0.0	18.0	0.0	240.0	0.0	0.0							Unmethylated
p5.00_sc00028_p0046	41.0	15.0	188.0	86.0	0.4574468085106383	47.0	0.0	243.0	6.0	0.02469135802469136	125.0	0.0	695.0	4.0	0.005755395683453238	0.15914049981121084	0.5110465665451545	1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00028_p0047	1.0	1.0	22.0	9.0	0.4090909090909091	14.0	0.0	84.0	1.0	0.011904761904761904	30.0	0.0	224.0	0.0	0.0					1.0	1.0	Unmethylated
p5.00_sc00028_p0048	47.0	29.0	314.0	141.0	0.4490445859872612	123.0	0.0	747.0	2.0	0.002677376171352075	297.0	2.0	1944.0	7.0	0.00360082304526749	1.9575794270141066e-06	1.3723161846892544e-05	1.0	1.0	0.8541572961338711	1.0	gbM
