gene:Feature	CG_Total_C	CG_Methylated_C	CG_Total_Reads	CG_Methylated_Reads	CG_Weighted_mC	CHG_Total_C	CHG_Methylated_C	CHG_Total_Reads	CHG_Methylated_Reads	CHG_Weighted_mC	CHH_Total_C	CHH_Methylated_C	CHH_Total_Reads	CHH_Methylated_Reads	CHH_Weighted_mC	CG_pvalue	CG_qvalue	CHG_pvalue	CHG_qvalue	CHH_pvalue	CHH_qvalue	Classification
gene:BVRB_8g187770	23.0	23.0	153.0	150.0	0.9803921568627452	9.0	9.0	69.0	52.0	0.7536231884057971	36.0	6.0	274.0	36.0	0.13138686131386862	2.5605657779612635e-13	9.54495774500542e-13			3.2372782990545587e-06	1.65657985409763e-05	TE-like
gene:BVRB_8g183790																						NA
gene:BVRB_8g183840	25.0	1.0	133.0	3.0	0.022556390977443608	21.0	0.0	114.0	0.0	0.0	59.0	0.0	368.0	2.0	0.005434782608695652	0.9997598015298154	1.0	1.0	1.0	1.0	1.0	Unmethylated
gene:BVRB_8g184830	4.0	4.0	28.0	25.0	0.8928571428571429	5.0	0.0	29.0	0.0	0.0	12.0	0.0	84.0	0.0	0.0							Unclassified
gene:BVRB_8g197440	42.0	13.0	667.0	135.0	0.2023988005997001	36.0	0.0	574.0	1.0	0.0017421602787456446	50.0	0.0	830.0	1.0	0.0012048192771084338	0.41033806204854906	0.6363578604259199	1.0	1.0	1.0	1.0	Unclassified
gene:BVRB_8g183490																						NA
gene:BVRB_8g181890	6.0	3.0	41.0	8.0	0.1951219512195122	2.0	0.0	19.0	2.0	0.10526315789473684	19.0	0.0	125.0	3.0	0.024							Unclassified
gene:BVRB_8g192880						12.0	0.0	62.0	0.0	0.0	20.0	0.0	123.0	0.0	0.0					1.0	1.0	NA
gene:BVRB_8g197070	5.0	3.0	20.0	12.0	0.6	3.0	0.0	33.0	5.0	0.15151515151515152	19.0	0.0	133.0	1.0	0.0075187969924812035							Unclassified
gene:BVRB_8g195230	1.0	0.0	12.0	0.0	0.0						2.0	0.0	24.0	0.0	0.0							NA
gene:BVRB_8g183040	3.0	0.0	30.0	0.0	0.0	5.0	0.0	35.0	0.0	0.0	16.0	0.0	129.0	0.0	0.0							Unmethylated
gene:BVRB_8g185630	4.0	4.0	34.0	28.0	0.8235294117647058	4.0	0.0	35.0	1.0	0.028571428571428567	11.0	0.0	85.0	0.0	0.0							NA
gene:BVRB_8g195150	6.0	6.0	41.0	40.0	0.975609756097561	6.0	0.0	58.0	0.0	0.0	10.0	0.0	117.0	0.0	0.0							Unclassified
gene:BVRB_8g187000	13.0	0.0	100.0	1.0	0.01	14.0	0.0	126.0	0.0	0.0	21.0	0.0	159.0	0.0	0.0					1.0	1.0	Unmethylated
gene:BVRB_8g197010																						NA
gene:BVRB_8g186020	184.0	184.0	2777.0	2694.0	0.970111631256752	183.0	182.0	2787.0	2549.0	0.9146035163257984	668.0	197.0	9461.0	1412.0	0.14924426593383364	1.8479384192188745e-101	9.333936955474534e-99	6.379890830390954e-227	1.7339433730771242e-224	3.8124417962870265e-211	1.005288574048391e-208	TE-like
gene:BVRB_8g187140	12.0	12.0	84.0	84.0	1.0	22.0	22.0	146.0	128.0	0.8767123287671232	70.0	17.0	515.0	84.0	0.16310679611650486			2.4390819701137333e-28	1.4117316106649027e-27	4.308201305998997e-18	3.541362540530227e-17	TE-like
gene:BVRB_8g186120	1.0	0.0	5.0	1.0	0.2	2.0	0.0	15.0	0.0	0.0	7.0	0.0	55.0	0.0	0.0							NA
gene:BVRB_8g182650	8.0	1.0	62.0	20.0	0.3225806451612903	11.0	0.0	92.0	0.0	0.0	24.0	0.0	211.0	0.0	0.0					1.0	1.0	Unmethylated
gene:BVRB_8g192010	28.0	11.0	233.0	62.0	0.2660944206008584	18.0	0.0	138.0	1.0	0.007246376811594203	39.0	0.0	317.0	1.0	0.003154574132492113	0.14188371152705212	0.2352423285434903			1.0	1.0	Unclassified
gene:BVRB_8g197270	6.0	5.0	57.0	49.0	0.8596491228070176	16.0	0.0	100.0	0.0	0.0	29.0	0.0	230.0	1.0	0.004347826086956522					1.0	1.0	Unclassified
gene:BVRB_8g192470	9.0	0.0	59.0	0.0	0.0	16.0	0.0	98.0	1.0	0.010204081632653059	30.0	0.0	186.0	0.0	0.0					1.0	1.0	Unmethylated
gene:BVRB_8g195620																						NA
gene:BVRB_8g181260	11.0	1.0	84.0	3.0	0.03571428571428571	10.0	0.0	88.0	0.0	0.0	22.0	0.0	177.0	0.0	0.0					1.0	1.0	Unmethylated
gene:BVRB_8g191770	33.0	10.0	191.0	41.0	0.21465968586387435	18.0	0.0	118.0	0.0	0.0	57.0	0.0	338.0	1.0	0.002958579881656805	0.4665263785876546	0.7145011334888549			1.0	1.0	Unclassified
gene:BVRB_8g194490																						NA
gene:BVRB_8g195330																						NA
gene:BVRB_8g193560	8.0	3.0	38.0	13.0	0.34210526315789475	7.0	0.0	30.0	0.0	0.0	26.0	0.0	183.0	2.0	0.01092896174863388					1.0	1.0	Unclassified
gene:BVRB_8g186290	2.0	0.0	21.0	0.0	0.0	5.0	0.0	29.0	0.0	0.0	13.0	0.0	105.0	0.0	0.0							Unmethylated
gene:BVRB_8g196390	17.0	17.0	146.0	140.0	0.9589041095890408	23.0	1.0	213.0	2.0	0.009389671361502348	55.0	0.0	465.0	1.0	0.002150537634408602			0.7315524622935575	1.0	1.0	1.0	Unclassified
gene:BVRB_8g194330	7.0	7.0	53.0	46.0	0.8679245283018868	13.0	10.0	78.0	41.0	0.5256410256410257	51.0	2.0	308.0	20.0	0.06493506493506493					0.11554325730062467	0.4700017314515429	Unclassified
gene:BVRB_8g189340	7.0	4.0	73.0	45.0	0.6164383561643836	15.0	3.0	160.0	15.0	0.09375	30.0	1.0	333.0	5.0	0.015015015015015015					0.29171501224734764	1.0	Unclassified
gene:BVRB_8g182840						1.0	0.0	22.0	0.0	0.0	1.0	0.0	92.0	0.0	0.0							NA
gene:BVRB_8g190030	24.0	21.0	458.0	362.0	0.7903930131004366	15.0	11.0	175.0	104.0	0.5942857142857143	26.0	10.0	406.0	52.0	0.12807881773399016	2.5046095913114776e-09	6.5718353484230005e-09			1.7123176707836762e-13	1.1802792432956885e-12	TE-like
gene:BVRB_8g189020	27.0	0.0	343.0	0.0	0.0	19.0	0.0	287.0	0.0	0.0	54.0	0.0	635.0	2.0	0.0031496062992125984	1.0	1.0			1.0	1.0	Unmethylated
gene:BVRB_8g188420	9.0	2.0	40.0	11.0	0.275	8.0	0.0	34.0	0.0	0.0	19.0	0.0	72.0	0.0	0.0							Unclassified
gene:BVRB_8g195820	1.0	1.0	4.0	4.0	1.0	1.0	0.0	4.0	0.0	0.0	4.0	0.0	15.0	0.0	0.0							NA
gene:BVRB_8g184930																						NA
gene:BVRB_8g191960	12.0	8.0	80.0	50.0	0.625	10.0	0.0	69.0	1.0	0.014492753623188406	15.0	0.0	94.0	0.0	0.0							Unclassified
gene:BVRB_8g192780						2.0	0.0	9.0	0.0	0.0	2.0	0.0	30.0	0.0	0.0							NA
gene:BVRB_8g183450	6.0	5.0	73.0	40.0	0.547945205479452	8.0	0.0	73.0	2.0	0.0273972602739726	28.0	0.0	212.0	3.0	0.014150943396226415					1.0	1.0	Unclassified
gene:BVRB_8g181000	13.0	2.0	76.0	21.0	0.27631578947368424	8.0	0.0	54.0	0.0	0.0	22.0	0.0	141.0	1.0	0.007092198581560284					1.0	1.0	Unclassified
gene:BVRB_8g193670	11.0	9.0	90.0	69.0	0.7666666666666667	23.0	0.0	187.0	1.0	0.0053475935828877	40.0	0.0	382.0	3.0	0.007853403141361256			1.0	1.0	1.0	1.0	Unclassified
gene:BVRB_8g186280	9.0	7.0	85.0	50.0	0.5882352941176471	23.0	0.0	306.0	2.0	0.006535947712418301	51.0	0.0	679.0	1.0	0.0014727540500736375			1.0	1.0	1.0	1.0	Unclassified
gene:BVRB_8g191010																						NA
gene:BVRB_8g196860	2.0	1.0	20.0	12.0	0.6	7.0	7.0	49.0	34.0	0.6938775510204082	32.0	4.0	230.0	27.0	0.11739130434782608					0.00047539189165316935	0.0022129007126866817	TE-like
gene:BVRB_8g183030	16.0	0.0	617.0	0.0	0.0	12.0	0.0	379.0	0.0	0.0	23.0	0.0	731.0	3.0	0.004103967168262654					1.0	1.0	Unmethylated
gene:BVRB_8g187830	37.0	37.0	781.0	768.0	0.9833546734955184	16.0	16.0	289.0	270.0	0.9342560553633218	111.0	24.0	1749.0	169.0	0.09662664379645512	5.544275057407344e-21	4.275440200757937e-20			1.2801148881608993e-23	1.2856598219557712e-22	TE-like
gene:BVRB_8g185020	8.0	2.0	53.0	8.0	0.1509433962264151	6.0	0.0	50.0	1.0	0.02	17.0	0.0	188.0	0.0	0.0							Unclassified
gene:BVRB_8g189990	33.0	11.0	400.0	262.0	0.655	29.0	7.0	279.0	131.0	0.4695340501792114	64.0	4.0	895.0	50.0	0.05586592178770949	0.3213432019807402	0.5076961254941253	0.0008621489123145046	0.0033083442915150204	0.006292580055550494	0.02771785672684017	TE-like
gene:BVRB_8g191820	41.0	22.0	798.0	379.0	0.474937343358396	27.0	9.0	519.0	79.0	0.15221579961464354	94.0	11.0	1373.0	65.0	0.04734158776402039	0.0005719533149105429	0.0011391704233490348	9.453005720964115e-06	3.787867869342737e-05	1.2577350401585867e-08	7.082923291479343e-08	TE-like
gene:BVRB_8g189100	9.0	5.0	77.0	34.0	0.4415584415584416	7.0	0.0	70.0	1.0	0.014285714285714284	22.0	0.0	172.0	0.0	0.0					1.0	1.0	Unclassified
gene:BVRB_8g192750	14.0	0.0	318.0	1.0	0.0031446540880503146	17.0	0.0	327.0	0.0	0.0	47.0	0.0	751.0	1.0	0.0013315579227696404					1.0	1.0	Unmethylated
gene:BVRB_8g188500	28.0	28.0	212.0	202.0	0.9528301886792452	29.0	24.0	309.0	230.0	0.7443365695792881	118.0	37.0	1092.0	250.0	0.2289377289377289	4.688324486085012e-16	2.3035726633478014e-15	6.80130920165121e-26	3.677766766394612e-25	3.344966521632155e-42	5.636981175803158e-41	TE-like
gene:BVRB_8g197520																						NA
gene:BVRB_8g181600	17.0	17.0	237.0	225.0	0.9493670886075948	36.0	0.0	550.0	2.0	0.003636363636363637	85.0	0.0	1248.0	3.0	0.002403846153846154			1.0	1.0	1.0	1.0	Unclassified
gene:BVRB_8g181520	17.0	11.0	161.0	110.0	0.6832298136645962	12.0	7.0	124.0	65.0	0.5241935483870968	67.0	29.0	742.0	170.0	0.22911051212938005					2.501100486919115e-38	3.839588966676742e-37	TE-like
gene:BVRB_8g192020	4.0	1.0	27.0	4.0	0.14814814814814814	6.0	0.0	41.0	0.0	0.0	15.0	0.0	137.0	0.0	0.0							Unmethylated
gene:BVRB_8g187920	10.0	0.0	88.0	0.0	0.0	8.0	0.0	88.0	0.0	0.0	21.0	0.0	194.0	0.0	0.0					1.0	1.0	Unmethylated
gene:BVRB_8g191720	4.0	0.0	60.0	0.0	0.0	6.0	0.0	93.0	0.0	0.0	6.0	0.0	129.0	0.0	0.0							NA
gene:BVRB_8g192710	16.0	1.0	114.0	16.0	0.14035087719298245	10.0	0.0	106.0	1.0	0.009433962264150943	31.0	0.0	362.0	0.0	0.0					1.0	1.0	Unmethylated
gene:BVRB_8g195110	21.0	20.0	659.0	594.0	0.9013657056145676	27.0	0.0	709.0	4.0	0.0056417489421720715	55.0	0.0	1184.0	3.0	0.002533783783783784	1.7229601772056425e-10	4.78168783245368e-10	1.0	1.0	1.0	1.0	gbM
gene:BVRB_8g194180																						NA
gene:BVRB_8g193830	6.0	0.0	25.0	0.0	0.0	4.0	0.0	35.0	0.0	0.0	32.0	0.0	237.0	0.0	0.0					1.0	1.0	Unmethylated
gene:BVRB_8g189970	7.0	7.0	53.0	52.0	0.981132075471698	13.0	0.0	98.0	0.0	0.0	17.0	0.0	237.0	1.0	0.004219409282700422							Unclassified
gene:BVRB_8g190910																						NA
gene:BVRB_8g192290	47.0	0.0	1702.0	4.0	0.002350176263219741	15.0	0.0	473.0	1.0	0.0021141649048625802	48.0	0.0	1611.0	1.0	0.0006207324643078832	1.0	1.0			1.0	1.0	Unmethylated
gene:BVRB_8g189590	31.0	4.0	435.0	48.0	0.1103448275862069	41.0	0.0	462.0	1.0	0.0021645021645021645	107.0	0.0	1323.0	2.0	0.0015117157974300832	0.9881544905775012	1.0	1.0	1.0	1.0	1.0	Unclassified
gene:BVRB_8g196460	8.0	5.0	86.0	48.0	0.5581395348837209	14.0	0.0	169.0	1.0	0.005917159763313609	32.0	0.0	377.0	2.0	0.005305039787798408					1.0	1.0	Unclassified
gene:BVRB_8g194540	16.0	10.0	350.0	97.0	0.27714285714285714	21.0	0.0	292.0	0.0	0.0	51.0	0.0	1012.0	3.0	0.0029644268774703555			1.0	1.0	1.0	1.0	Unclassified
gene:BVRB_8g183810	17.0	0.0	132.0	2.0	0.015151515151515154	18.0	0.0	104.0	0.0	0.0	67.0	0.0	490.0	3.0	0.0061224489795918356					1.0	1.0	Unmethylated
gene:BVRB_8g184430						3.0	0.0	23.0	0.0	0.0	3.0	0.0	21.0	0.0	0.0							NA
gene:BVRB_8g193510	2.0	2.0	6.0	5.0	0.8333333333333334	1.0	1.0	7.0	6.0	0.8571428571428571	2.0	0.0	31.0	19.0	0.6129032258064516							NA
gene:BVRB_8g197590	28.0	2.0	492.0	12.0	0.024390243902439025	22.0	1.0	326.0	2.0	0.006134969325153374	66.0	2.0	766.0	13.0	0.016971279373368148	0.9989328067936352	1.0	0.7157557921043365	1.0	0.1744301501625341	0.7016861081022311	Unmethylated
gene:BVRB_8g182410	11.0	7.0	66.0	41.0	0.6212121212121212	16.0	0.0	142.0	3.0	0.02112676056338028	39.0	0.0	315.0	6.0	0.01904761904761905					1.0	1.0	Unclassified
gene:BVRB_8g192350	9.0	6.0	49.0	34.0	0.6938775510204082	21.0	0.0	171.0	2.0	0.011695906432748536	51.0	0.0	343.0	0.0	0.0			1.0	1.0	1.0	1.0	Unclassified
gene:BVRB_8g189750	24.0	20.0	255.0	230.0	0.9019607843137256	42.0	0.0	347.0	0.0	0.0	72.0	0.0	745.0	4.0	0.0053691275167785215	3.3981219445201747e-08	8.372640947205562e-08	1.0	1.0	1.0	1.0	gbM
gene:BVRB_8g185740	7.0	5.0	162.0	134.0	0.8271604938271605	14.0	0.0	201.0	2.0	0.009950248756218905	39.0	0.0	617.0	2.0	0.0032414910858995136					1.0	1.0	Unclassified
gene:BVRB_8g183190																						NA
gene:BVRB_8g191920	21.0	1.0	143.0	12.0	0.08391608391608392	8.0	0.0	64.0	0.0	0.0	24.0	0.0	204.0	1.0	0.004901960784313725	0.999088663007794	1.0			1.0	1.0	Unmethylated
gene:BVRB_8g195750	5.0	1.0	70.0	5.0	0.07142857142857142	4.0	0.0	26.0	1.0	0.038461538461538464	20.0	0.0	156.0	0.0	0.0					1.0	1.0	Unmethylated
gene:BVRB_8g191000	8.0	1.0	46.0	3.0	0.06521739130434782	4.0	0.0	25.0	0.0	0.0	23.0	0.0	148.0	0.0	0.0					1.0	1.0	Unmethylated
gene:BVRB_8g188240	13.0	13.0	243.0	227.0	0.934156378600823	36.0	31.0	572.0	517.0	0.9038461538461541	102.0	36.0	1608.0	415.0	0.25808457711442784			3.5258684482034144e-34	2.5246510503687907e-33	2.800362622890188e-43	4.8655396062825905e-42	TE-like
gene:BVRB_8g184970	14.0	14.0	448.0	438.0	0.9776785714285714	6.0	6.0	151.0	144.0	0.9536423841059604	54.0	24.0	1172.0	221.0	0.1885665529010239					2.496629253540841e-32	3.3111114597255656e-31	TE-like
gene:BVRB_8g185160	20.0	14.0	512.0	404.0	0.7890625	13.0	9.0	254.0	164.0	0.6456692913385826	41.0	11.0	833.0	62.0	0.0744297719087635	0.00013397653952716712	0.0002743070535677832			1.0034523290826742e-12	6.6969860652624325e-12	TE-like
gene:BVRB_8g193230																						NA
gene:BVRB_8g184060	8.0	5.0	67.0	36.0	0.5373134328358209	5.0	4.0	41.0	22.0	0.5365853658536586	28.0	3.0	276.0	16.0	0.05797101449275361					0.003951701702885918	0.01766704936848731	TE-like
gene:BVRB_8g188340											4.0	0.0	109.0	0.0	0.0							NA
gene:BVRB_8g198090																						NA
gene:BVRB_8g186760						4.0	2.0	44.0	4.0	0.09090909090909093	15.0	0.0	146.0	1.0	0.00684931506849315							NA
gene:BVRB_8g190250	21.0	6.0	185.0	58.0	0.31351351351351353	37.0	0.0	300.0	5.0	0.016666666666666666	65.0	0.0	592.0	3.0	0.005067567567567568	0.5730281959477346	0.8616747298993771	1.0	1.0	1.0	1.0	Unclassified
gene:BVRB_8g182860	18.0	17.0	624.0	189.0	0.30288461538461536	6.0	6.0	279.0	70.0	0.25089605734767023	39.0	7.0	1071.0	49.0	0.0457516339869281					2.846128318140666e-07	1.5194415888192012e-06	TE-like
gene:BVRB_8g182540																						NA
gene:BVRB_8g194210	4.0	0.0	32.0	0.0	0.0	2.0	0.0	14.0	0.0	0.0	9.0	0.0	67.0	0.0	0.0							NA
gene:BVRB_8g192890	13.0	1.0	82.0	3.0	0.036585365853658534	6.0	0.0	49.0	0.0	0.0	48.0	0.0	319.0	2.0	0.006269592476489028					1.0	1.0	Unmethylated
gene:BVRB_8g186980	9.0	5.0	64.0	36.0	0.5625	24.0	8.0	126.0	33.0	0.2619047619047619	51.0	4.0	305.0	25.0	0.08196721311475409			2.987822338542965e-05	0.00011865868766348203	0.0027817274680358287	0.012544825952429856	TE-like
gene:BVRB_8g197240	10.0	6.0	87.0	59.0	0.6781609195402298	12.0	0.0	96.0	0.0	0.0	25.0	0.0	183.0	0.0	0.0					1.0	1.0	Unclassified
gene:BVRB_8g192560	4.0	0.0	23.0	1.0	0.043478260869565216						6.0	0.0	79.0	0.0	0.0							NA
gene:BVRB_8g184670						2.0	0.0	23.0	0.0	0.0	13.0	0.0	90.0	0.0	0.0							NA
gene:BVRB_8g186570	31.0	0.0	468.0	4.0	0.008547008547008548	24.0	0.0	283.0	0.0	0.0	55.0	0.0	585.0	2.0	0.0034188034188034192	1.0	1.0	1.0	1.0	1.0	1.0	Unmethylated
gene:BVRB_8g189690	45.0	45.0	580.0	561.0	0.9672413793103448	54.0	51.0	719.0	637.0	0.8859527121001392	273.0	98.0	3279.0	685.0	0.20890515401036905	2.3127864198324077e-25	2.3987441902614973e-24	2.0420696604884702e-60	3.1058339288840455e-59	8.50916733068755e-116	5.554916614712921e-114	TE-like
gene:BVRB_8g196290											2.0	0.0	32.0	0.0	0.0							NA
gene:BVRB_8g183660	26.0	18.0	200.0	93.0	0.465	29.0	0.0	223.0	0.0	0.0	68.0	0.0	500.0	1.0	0.002	1.8099201055635706e-05	3.8968058197790266e-05	1.0	1.0	1.0	1.0	gbM
gene:BVRB_8g194200	2.0	2.0	8.0	8.0	1.0	3.0	2.0	16.0	6.0	0.375	4.0	0.0	22.0	0.0	0.0							NA
gene:BVRB_8g183330	4.0	3.0	58.0	37.0	0.6379310344827587	13.0	0.0	146.0	1.0	0.00684931506849315	20.0	0.0	258.0	1.0	0.0038759689922480615					1.0	1.0	Unclassified
gene:BVRB_8g183860	13.0	0.0	109.0	0.0	0.0	10.0	0.0	103.0	0.0	0.0	34.0	0.0	215.0	2.0	0.009302325581395349					1.0	1.0	Unmethylated
gene:BVRB_8g190010	4.0	0.0	27.0	2.0	0.07407407407407407	6.0	0.0	43.0	4.0	0.09302325581395347	24.0	0.0	169.0	8.0	0.04733727810650888					1.0	1.0	Unmethylated
gene:BVRB_8g182140	8.0	1.0	136.0	7.0	0.05147058823529412	8.0	0.0	124.0	0.0	0.0	27.0	0.0	382.0	0.0	0.0					1.0	1.0	Unmethylated
gene:BVRB_8g194860																						NA
gene:BVRB_8g196870											2.0	0.0	7.0	2.0	0.2857142857142857							NA
gene:BVRB_8g197670																						NA
gene:BVRB_8g182720	1.0	1.0	24.0	23.0	0.9583333333333334	3.0	3.0	87.0	70.0	0.8045977011494253	9.0	6.0	261.0	109.0	0.41762452107279696							NA
gene:BVRB_8g197230	6.0	4.0	68.0	22.0	0.3235294117647059	9.0	0.0	76.0	2.0	0.02631578947368421	28.0	0.0	271.0	1.0	0.003690036900369004					1.0	1.0	Unclassified
gene:BVRB_8g190930	2.0	2.0	19.0	19.0	1.0	5.0	0.0	42.0	0.0	0.0	6.0	0.0	119.0	0.0	0.0							NA
gene:BVRB_8g185120	51.0	44.0	347.0	254.0	0.7319884726224783	39.0	32.0	242.0	139.0	0.5743801652892562	168.0	37.0	1190.0	156.0	0.13109243697478992	9.751392628505388e-18	5.767480581566828e-17	7.154289645481994e-34	5.1110245227323355e-33	7.056371044015133e-36	1.019270438237546e-34	TE-like
gene:BVRB_8g183650	46.0	20.0	958.0	228.0	0.23799582463465555	30.0	0.0	575.0	0.0	0.0	86.0	1.0	1604.0	6.0	0.0037406483790523685	0.020099668933203342	0.03603955547802984	1.0	1.0	0.6279542288142057	1.0	gbM
gene:BVRB_8g190280	4.0	4.0	25.0	24.0	0.96	2.0	0.0	26.0	0.0	0.0	7.0	0.0	82.0	1.0	0.012195121951219513							NA
gene:BVRB_8g187010	50.0	50.0	716.0	694.0	0.9692737430167596	33.0	33.0	481.0	403.0	0.8378378378378378	58.0	19.0	554.0	91.0	0.16425992779783394	4.234647395708968e-28	5.3877088150443324e-27	3.809251031393839e-42	3.5539743577974454e-41	7.858467050417004e-23	7.702672368367923e-22	TE-like
gene:BVRB_8g188560	10.0	8.0	81.0	59.0	0.7283950617283951	21.0	0.0	170.0	0.0	0.0	52.0	0.0	403.0	0.0	0.0			1.0	1.0	1.0	1.0	Unclassified
gene:BVRB_8g193440	13.0	13.0	113.0	107.0	0.9469026548672568	12.0	0.0	121.0	0.0	0.0	29.0	0.0	316.0	0.0	0.0					1.0	1.0	Unclassified
gene:BVRB_8g198810	2.0	2.0	12.0	12.0	1.0	7.0	0.0	48.0	0.0	0.0	11.0	0.0	104.0	0.0	0.0							Unclassified
gene:BVRB_8g192570	5.0	1.0	42.0	23.0	0.5476190476190477	4.0	0.0	41.0	0.0	0.0	9.0	0.0	142.0	0.0	0.0							NA
gene:BVRB_8g193050	7.0	7.0	59.0	39.0	0.6610169491525424	4.0	2.0	60.0	10.0	0.16666666666666666	15.0	0.0	321.0	7.0	0.02180685358255452							Unclassified
gene:BVRB_8g189160	48.0	48.0	415.0	405.0	0.9759036144578314	34.0	34.0	325.0	294.0	0.9046153846153846	75.0	23.0	824.0	163.0	0.19781553398058246	5.2691985522772184e-27	6.321786671627607e-26	2.1169642349569488e-43	2.074160412651393e-42	1.4550392270566986e-26	1.6104829239060479e-25	TE-like
gene:BVRB_8g187890	119.0	119.0	2299.0	2243.0	0.9756415832970856	134.0	133.0	2563.0	2321.0	0.9055793991416308	310.0	117.0	5365.0	930.0	0.1733457595526561	7.109270917713086e-66	6.191194380235998e-64	1.4814792576382165e-165	1.543454473249415e-163	5.52302108601962e-141	5.669739508762737e-139	TE-like
gene:BVRB_8g189110	4.0	4.0	31.0	31.0	1.0	5.0	5.0	38.0	36.0	0.9473684210526316	20.0	7.0	155.0	24.0	0.15483870967741936					1.7351436990019005e-09	1.0162984522725417e-08	TE-like
gene:BVRB_8g191350																						NA
gene:BVRB_8g184960	15.0	1.0	152.0	4.0	0.02631578947368421	18.0	0.0	160.0	0.0	0.0	44.0	0.0	460.0	4.0	0.008695652173913044					1.0	1.0	Unmethylated
gene:BVRB_8g192790	23.0	18.0	166.0	124.0	0.7469879518072289	47.0	0.0	344.0	1.0	0.0029069767441860465	104.0	0.0	855.0	2.0	0.0023391812865497076	9.88947910195892e-07	2.265385893151678e-06	1.0	1.0	1.0	1.0	gbM
gene:BVRB_8g196620	25.0	20.0	239.0	197.0	0.8242677824267782	28.0	0.0	205.0	2.0	0.00975609756097561	99.0	0.0	736.0	2.0	0.002717391304347826	1.2419455731745094e-07	2.9702022206933945e-07	1.0	1.0	1.0	1.0	gbM
gene:BVRB_8g189850	2.0	1.0	10.0	5.0	0.5	3.0	0.0	23.0	0.0	0.0	6.0	0.0	67.0	0.0	0.0							NA
gene:BVRB_8g197220	10.0	4.0	183.0	44.0	0.2404371584699453	10.0	0.0	260.0	0.0	0.0	61.0	0.0	1095.0	0.0	0.0					1.0	1.0	Unclassified
gene:BVRB_8g181820	2.0	0.0	19.0	6.0	0.3157894736842105	2.0	0.0	47.0	1.0	0.02127659574468085	5.0	0.0	106.0	1.0	0.009433962264150943							NA
gene:BVRB_8g181040	3.0	2.0	33.0	22.0	0.6666666666666666	6.0	0.0	63.0	0.0	0.0	7.0	0.0	157.0	1.0	0.006369426751592357							NA
gene:BVRB_8g192610	24.0	0.0	325.0	0.0	0.0	9.0	0.0	140.0	0.0	0.0	31.0	0.0	376.0	0.0	0.0	1.0	1.0			1.0	1.0	Unmethylated
