Transposed,Parent,speciesCount,Atrichopoda,Nnucifera,Acoerulea,Spolyrhiza,Closest
AT1G05010,AT1G12010,1,0,2,2,0,Esalsugineum_Thhalv10008207m.g
AT1G05080,AT1G26890,3,0,0,0,0,Alyrata_AL1G14840
AT1G05280,AT1G01570,2,1,3,3,1,Alyrata_AL1G15060
AT1G05380,AT4G14920,1,0,0,0,0,Alyrata_AL1G15210
AT1G05450,AT3G22620,1,0,0,0,0,Boleracea_Bo5g005630
AT1G05450,AT3G22620,1,0,0,0,0,Brapa_Brara.J00369
AT1G05450,AT3G22620,1,0,0,0,0,Boleracea_Bo8g115060
AT1G05450,AT3G22620,1,0,0,0,0,Brapa_Brara.I05447
AT1G05450,AT3G22620,1,0,0,0,0,Esalsugineum_Thhalv10008963m.g
AT1G05450,AT3G22620,1,0,0,0,0,Crubella_Carub.0001s0478
AT1G05490,AT3G24340,1,0,0,0,0,Alyrata_AL1G15330
AT1G05520,AT3G23660,1,0,0,0,0,Alyrata_AL1G15360
AT1G05690,AT5G67480,1,1,2,0,0,Alyrata_AL1G15600
AT1G05700,AT4G29990,1,0,0,0,0,Boleracea_Bo5g006920
AT1G05700,AT4G29990,1,0,0,0,0,Brapa_Brara.J00394
AT1G05820,AT1G63690,2,1,1,1,1,Alyrata_AL1G15750
AT1G05990,AT2G43290,1,0,1,0,1,Esalsugineum_Thhalv10009546m.g
AT1G06230,AT1G73150,1,0,0,1,0,Alyrata_AL1G16220
AT1G06250,AT2G31100,1,0,0,0,0,Alyrata_AL1G16240
AT1G06260,AT5G45890,6,10,2,1,1,Alyrata_AL1G16260
AT1G06340,AT3G06520,10,1,2,19,1,Alyrata_AL1G16350
AT1G06380,AT2G42650,1,0,0,0,0,Alyrata_AL1G16390
AT1G06400,AT5G45750,2,1,2,2,1,Alyrata_AL1G16410
AT1G06410,AT1G70290,1,1,1,1,3,Alyrata_AL1G16420
AT1G06490,AT1G05570,2,1,1,1,1,Alyrata_AL1G16510
AT1G06630,AT2G42730,17,0,0,0,0,Alyrata_AL5G42230
AT1G06630,AT2G42730,17,0,0,0,0,Crubella_Carub.0005s2678
AT1G06840,AT5G01950,1,0,1,2,0,Alyrata_AL1G16850
AT1G06850,AT2G40620,1,0,2,2,0,Alyrata_AL1G16860
AT1G06850,AT2G40620,1,0,2,2,0,Crubella_Carub.0001s0616
AT1G07050,AT4G25990,2,1,3,2,1,Alyrata_AL1G17160
AT1G07070,AT3G55750,2,0,0,0,0,Alyrata_AL1G17190
AT1G07310,AT5G23950,1,0,1,2,1,Alyrata_AL1G17460
AT1G07340,AT3G05960,1,0,0,0,0,Alyrata_AL1G17490
AT1G07350,AT4G35785,1,1,2,1,1,Boleracea_Bo5g008160
AT1G07350,AT4G35785,1,1,2,1,1,Esalsugineum_Thhalv10008061m.g
AT1G07350,AT4G35785,1,1,2,1,1,Brapa_Brara.J00512
AT1G07650,AT3G14840,1,0,1,1,1,Alyrata_AL1G17840
AT1G07747,AT5G38160,8,0,0,0,0,Alyrata_AL1G18020
AT1G07850,AT4G23490,1,0,2,1,0,Alyrata_AL1G18130
AT1G07880,AT4G01370,1,1,2,1,0,Alyrata_AL1G18160
AT1G08170,AT2G28720,1,0,1,1,1,Alyrata_AL1G18580
AT1G08170,AT2G28720,1,0,1,1,1,Crubella_Carub.0001s0753
AT1G08250,AT5G22630,2,0,0,0,0,Crubella_Carub.0001s0760
AT1G08290,AT1G51220,2,1,4,3,2,Crubella_Carub.0001s0764
AT1G08310,AT3G44510,1,0,0,0,0,Alyrata_AL1G18720
AT1G08340,AT3G11490,2,0,2,1,0,Alyrata_AL1G18750
AT1G08350,AT1G14670,1,1,2,2,0,Alyrata_AL1G18760
AT1G08420,AT4G03080,2,1,2,2,2,Alyrata_AL1G18830
AT1G08470,AT5G22020,1,0,0,0,0,Alyrata_AL1G18900
AT1G08530,AT5G09995,1,1,1,1,1,Alyrata_AL1G18960
AT1G08620,AT4G20400,2,1,1,2,1,Alyrata_AL1G19050
AT1G08670,AT3G46540,1,0,0,0,0,Alyrata_AL1G19120
AT1G08770,AT1G55190,2,1,2,2,1,Alyrata_AL1G19200
AT1G08790,AT5G28690,1,0,0,0,0,Alyrata_AL1G19220
AT1G08810,AT5G62470,2,1,1,2,5,Alyrata_AL1G19240
AT1G08820,AT3G60600,3,1,4,4,2,Alyrata_AL1G19250
AT1G08830,AT5G18100,1,1,2,2,2,Crubella_Carub.0001s0818
AT1G08860,AT5G61910,1,0,2,3,1,Alyrata_AL1G19290
AT1G09080,AT3G12580,1,1,1,0,0,Crubella_Carub.0001s0840
AT1G09090,AT5G51060,1,0,2,1,1,Alyrata_AL1G19540
AT1G09140,AT1G02840,1,0,0,0,0,Crubella_Carub.0001s0843
AT1G09140,AT1G02840,1,0,0,0,0,Esalsugineum_Thhalv10008203m.g
AT1G09157,AT5G39650,1,0,0,0,0,Crubella_Carub.0007s3630
AT1G09157,AT5G39650,1,0,0,0,0,Alyrata_AL1G19610
AT1G09157,AT5G39650,1,0,0,0,0,Alyrata_AL7G50660
AT1G09160,AT1G68410,1,1,2,1,2,Alyrata_AL1G19620
AT1G09200,AT5G10390,1,0,0,2,0,Graimondii_Gorai.004G277200
AT1G09200,AT5G10390,1,0,0,2,0,Sitalica_Seita.7G095500
AT1G09200,AT5G10390,1,0,0,2,0,Esalsugineum_Thhalv10014731m.g
AT1G09200,AT5G10390,1,0,0,2,0,Stuberosum_PGSC0003DMG401006333
AT1G09200,AT5G10390,1,0,0,2,0,Cannuum_CA01g17440
AT1G09200,AT5G10390,1,0,0,2,0,Acoerulea_Aqcoe1G063900
AT1G09200,AT5G10390,1,0,0,2,0,Acoerulea_Aqcoe1G247500
AT1G09200,AT5G10390,1,0,0,2,0,Osativa_LOC_Os06g06510
AT1G09200,AT5G10390,1,0,0,2,0,Sviridis_Sevir.4G064001
AT1G09270,AT3G06720,2,0,2,0,0,Alyrata_AL1G19760
AT1G09320,AT3G06520,1,0,1,4,0,Alyrata_AL1G19810
AT1G09400,AT2G06050,5,7,2,7,5,Alyrata_AL1G19910
AT1G09430,AT1G60810,1,1,2,0,0,Alyrata_AL1G19950
AT1G09560,AT3G62020,2,0,0,1,0,Esalsugineum_Thhalv10008725m.g
AT1G09560,AT3G62020,2,0,0,1,0,Crubella_Carub.0001s0890
AT1G09560,AT3G62020,2,0,0,1,0,Alyrata_AL1G20080
AT1G09560,AT3G62020,2,0,0,1,0,Crubella_Carub.0001s3815
AT1G09560,AT3G62020,2,0,0,1,0,Boleracea_Bo8g058650
AT1G09560,AT3G62020,2,0,0,1,0,Brapa_Brara.H02813
AT1G09560,AT3G62020,2,0,0,1,0,Brapa_Brara.I05265
AT1G09560,AT3G62020,2,0,0,1,0,Boleracea_Bo8g111070
AT1G09560,AT3G62020,2,0,0,1,0,Boleracea_Bo5g009980
AT1G09560,AT3G62020,2,0,0,1,0,Brapa_Brara.F00611
AT1G09560,AT3G62020,2,0,0,1,0,Alyrata_AL1G55810
AT1G09610,AT1G33800,1,0,0,0,0,Alyrata_AL1G20140
AT1G09630,AT1G07410,1,2,1,1,2,Alyrata_AL1G20170
AT1G09650,AT1G13200,7,0,0,0,0,Esalsugineum_Thhalv10009873m.g
AT1G09650,AT1G13200,7,0,0,0,0,Esalsugineum_Thhalv10007821m.g
AT1G09650,AT1G13200,7,0,0,0,0,Esalsugineum_Thhalv10026946m.g
AT1G09650,AT1G13200,7,0,0,0,0,Alyrata_AL1G20200
AT1G09650,AT1G13200,7,0,0,0,0,Crubella_Carub.0006s1692
AT1G09650,AT1G13200,7,0,0,0,0,Esalsugineum_Thhalv10012265m.g
AT1G09650,AT1G13200,7,0,0,0,0,Crubella_Carub.0001s1404
AT1G09650,AT1G13200,7,0,0,0,0,Alyrata_AL5G25310
AT1G09660,AT2G38610,1,1,1,1,1,Alyrata_AL1G20210
AT1G09720,AT2G22560,2,0,0,0,0,Alyrata_AL1G20270
AT1G09812,AT1G11120,2,1,0,0,0,Alyrata_AL1G20400
AT1G09840,AT5G14640,2,1,1,0,0,Alyrata_AL1G20440
AT1G10020,AT4G29310,1,1,2,1,1,Alyrata_AL1G20720
AT1G10040,AT5G51180,1,1,2,1,1,Alyrata_AL1G20740
AT1G10230,AT1G75950,15,0,11,28,0,Alyrata_AL1G20940
AT1G10590,AT1G23750,4,0,2,0,3,Alyrata_AL1G21440
AT1G10620,AT1G23540,1,0,0,0,0,Alyrata_AL1G21470
AT1G10630,AT1G23490,1,0,0,0,0,Macuminata_GSMUA_Achr6G08570_001
AT1G10720,AT3G49800,1,0,2,0,0,Alyrata_AL1G21604
AT1G10750,AT1G23340,1,1,2,1,1,Esalsugineum_Thhalv10007533m.g
AT1G10750,AT1G23340,1,1,2,1,1,Boleracea_Bo8g109290
AT1G10750,AT1G23340,1,1,2,1,1,Boleracea_Bo8g059640
AT1G10750,AT1G23340,1,1,2,1,1,Brapa_Brara.I05186
AT1G10760,AT4G24450,1,1,1,1,1,Alyrata_AL1G21690
AT1G10790,AT3G56590,1,1,2,1,1,Alyrata_AL1G21720
AT1G10880,AT5G16170,1,0,0,1,0,Crubella_Carub.0001s1044
AT1G11145,AT5G01120,1,0,0,0,0,Alyrata_AL1G22140
AT1G11270,AT1G13200,7,0,0,0,0,Alyrata_AL1G22350
AT1G11290,AT4G13650,5,1,4,5,5,Alyrata_AL1G22370
AT1G11360,AT5G54430,1,0,0,0,0,Alyrata_AL1G22450
AT1G11360,AT5G54430,1,0,0,0,0,Crubella_Carub.0001s1098
AT1G11420,AT2G47230,1,0,0,0,0,Alyrata_AL1G22510
AT1G11440,AT3G29075,1,1,1,1,1,Alyrata_AL1G22530
AT1G11570,AT1G27310,1,1,1,1,1,Crubella_Carub.0001s1118
AT1G11580,AT5G53370,1,2,1,1,1,Alyrata_AL1G22690
AT1G11600,AT5G04630,1,1,1,1,1,Alyrata_AL1G22730
AT1G11610,AT1G13080,16,7,3,28,1,Crubella_Carub.0004s1194
AT1G11650,AT5G54900,1,0,0,0,0,Alyrata_AL1G22780
AT1G11730,AT1G05170,5,4,4,3,5,Alyrata_AL1G22880
AT1G11765,AT5G04347,3,0,0,0,0,Alyrata_AL1G22950
AT1G11770,AT1G30700,5,1,0,0,1,Alyrata_AL1G22960
AT1G11820,AT2G01630,1,1,2,1,0,Alyrata_AL1G23000
AT1G12150,AT5G55860,1,0,0,0,0,Alyrata_AL1G23420
AT1G12300,AT1G12775,0,0,0,0,0,Unknown
AT1G12450,AT4G22850,1,0,0,0,0,Alyrata_AL1G23790
AT1G12490,AT1G13200,7,0,0,0,0,Esalsugineum_Thhalv10009591m.g
AT1G12540,AT5G51780,1,0,0,2,0,Brapa_Brara.I05110
AT1G12760,AT1G63170,1,0,0,0,0,Alyrata_AL1G24350
AT1G12940,AT5G60770,2,1,2,2,2,Alyrata_AL1G24580
AT1G12960,AT1G23290,1,0,0,0,0,Macuminata_GSMUA_Achr6G06280_001
AT1G12960,AT1G23290,1,0,0,0,0,Macuminata_GSMUA_Achr1G21900_001
AT1G12960,AT1G23290,1,0,0,0,0,Macuminata_GSMUA_Achr8G30580_001
AT1G12990,AT1G67880,1,0,0,0,0,Crubella_Carub.0001s1275
AT1G13000,AT1G67850,1,0,0,0,0,Alyrata_AL1G24650
AT1G13250,AT3G06260,1,1,2,2,1,Crubella_Carub.0001s1298
AT1G13290,AT3G57670,2,1,4,3,2,Alyrata_AL1G25000
AT1G13370,AT1G75600,1,0,0,0,0,Alyrata_AL2G35590
AT1G13370,AT1G75600,1,0,0,0,0,Alyrata_AL6G41640
AT1G13440,AT1G79530,2,2,3,2,2,Athaliana_AT3G04120
AT1G13610,AT3G01690,6,3,6,3,3,Alyrata_AL1G25394
AT1G13710,AT3G61880,3,4,5,3,3,Alyrata_AL1G25500
AT1G13750,AT5G50400,1,0,1,1,1,Alyrata_AL1G25540
AT1G13780,AT1G78750,9,0,0,0,0,Alyrata_AL1G25580
AT1G13890,AT5G61210,1,0,1,1,0,Alyrata_AL1G25720
AT1G13910,AT5G61240,1,0,2,0,0,Alyrata_AL1G25740
AT1G13970,AT3G29180,1,0,0,0,0,Alyrata_AL1G25810
AT1G14315,AT1G13200,7,0,0,0,0,Boleracea_Bo8g066040
AT1G14315,AT1G13200,7,0,0,0,0,Brapa_Brara.H02574
AT1G14430,AT1G19900,4,4,3,3,2,Alyrata_AL1G26320
AT1G14520,AT2G19800,1,1,2,3,1,Alyrata_AL1G26490
AT1G14830,AT3G60190,1,0,1,1,1,Esalsugineum_Thhalv10007102m.g
AT1G14830,AT3G60190,1,0,1,1,1,Alyrata_AL1G26850
AT1G14830,AT3G60190,1,0,1,1,1,Crubella_Carub.0001s1462
AT1G15015,AT1G13200,2,0,0,0,0,Esalsugineum_Thhalv10028312m.g
AT1G15040,AT5G38200,1,0,0,0,0,Alyrata_AL1G27110
AT1G15210,AT3G16340,2,0,0,0,0,Alyrata_AL1G27290
AT1G15290,AT1G01320,2,1,3,2,2,Alyrata_AL1G27380
AT1G15360,AT5G11190,1,0,0,0,0,Crubella_Carub.0001s1513
AT1G15510,AT4G13650,5,1,4,5,5,Alyrata_AL1G27630
AT1G15530,AT3G53810,7,10,6,5,2,Crubella_Carub.0001s1531
AT1G15720,AT5G58340,1,0,0,0,0,Alyrata_AL1G27830
AT1G15890,AT1G12210,4,0,0,0,0,Boleracea_Bo5g021420
AT1G15890,AT1G12210,4,0,0,0,0,Brapa_Brara.F01102
AT1G15990,AT4G30560,2,0,0,2,0,Alyrata_AL1G28150
AT1G16030,AT3G12580,1,0,3,1,0,Crubella_Carub.0001s1584
AT1G16180,AT3G06170,1,1,2,1,1,Crubella_Carub.0001s1594
AT1G16260,AT1G79670,1,0,3,0,0,Crubella_Carub.0001s1600
AT1G16560,AT5G62130,1,0,1,0,2,Alyrata_AL6G51090
AT1G16560,AT5G62130,1,0,1,0,2,Alyrata_AL1G28730
AT1G16670,AT1G53420,5,5,13,2,8,Alyrata_AL1G28830
AT1G16920,AT4G18800,2,1,2,2,1,Crubella_Carub.0001s1666
AT1G16920,AT4G18800,2,1,2,2,1,Alyrata_AL1G29110
AT1G16960,AT5G45740,2,0,2,2,2,Alyrata_AL1G29140
AT1G17030,AT2G47010,1,3,5,1,1,Alyrata_AL1G29190
AT1G17080,AT1G53560,1,0,0,0,0,Alyrata_AL1G29250
AT1G17260,AT3G47950,1,1,1,1,1,Alyrata_AL1G29500
AT1G17370,AT3G14100,1,0,0,0,0,Alyrata_AL1G29640
AT1G17580,AT1G08730,11,3,8,6,5,Alyrata_AL1G29890
AT1G17700,AT1G55190,1,0,0,0,0,Alyrata_AL1G30050
AT1G17720,AT1G51690,1,0,0,0,0,Alyrata_AL1G30070
AT1G17910,AT1G79670,6,0,0,0,0,Alyrata_AL1G30260
AT1G17980,AT4G32850,1,1,2,3,1,Alyrata_AL1G30340
AT1G18080,AT1G48630,1,0,0,0,0,Alyrata_AL1G30460
AT1G18390,AT5G38210,1,0,2,2,0,Crubella_Carub.0001s1801
AT1G18420,AT3G18440,1,0,0,0,0,Alyrata_AL1G30850
AT1G18480,AT1G07010,1,3,1,1,1,Alyrata_AL1G30910
AT1G18520,AT2G23810,1,0,1,1,2,Alyrata_AL1G30960
AT1G18530,AT3G03000,2,2,2,1,2,Alyrata_AL1G30970
AT1G18650,AT5G61130,1,0,0,0,0,Crubella_Carub.0001s1828
AT1G18680,AT3G47490,1,1,1,1,1,Crubella_Carub.0001s1831
AT1G18750,AT2G03060,1,0,2,1,1,Alyrata_AL1G31230
AT1G18810,AT2G02950,1,0,0,0,0,Alyrata_AL1G31320
AT1G18880,AT5G62680,1,0,0,0,0,Alyrata_AL1G31450
AT1G19070,AT3G59200,19,0,0,0,0,Crubella_Carub.0007s3764
AT1G19070,AT3G59200,19,0,0,0,0,Brapa_Brara.H00765
AT1G19070,AT3G59200,19,0,0,0,0,Boleracea_Bo5g152720
AT1G19070,AT3G59200,19,0,0,0,0,Boleracea_Bo3g092350
AT1G19070,AT3G59200,19,0,0,0,0,Boleracea_Bo8g038160
AT1G19070,AT3G59200,19,0,0,0,0,Boleracea_Bo8g038130
AT1G19230,AT1G64060,1,0,1,1,0,Alyrata_AL1G31810
AT1G19390,AT1G79670,6,0,0,0,0,Brapa_Brara.I04739
AT1G19390,AT1G79670,6,0,0,0,0,Brapa_Brara.I04738
AT1G19390,AT1G79670,6,0,0,0,0,Esalsugineum_Thhalv10006827m.g
AT1G19390,AT1G79670,6,0,0,0,0,Brapa_Brara.F01372
AT1G19440,AT2G16280,1,1,3,1,2,Alyrata_AL1G32190
AT1G19670,AT5G43860,1,2,1,1,0,Alyrata_AL1G32390
AT1G19780,AT4G30560,2,0,0,2,0,Alyrata_AL1G32490
AT1G19920,AT5G43780,1,2,2,1,1,Alyrata_AL1G32650
AT1G19990,AT5G11600,1,1,1,1,1,Crubella_Carub.0001s1952
AT1G20190,AT1G69530,18,7,17,14,6,Alyrata_AL1G33030
AT1G20530,AT2G17110,1,0,0,0,0,Alyrata_AL1G33460
AT1G21150,AT5G64950,2,27,15,25,9,Crubella_Carub.0001s2059
AT1G21326,AT3G18360,2,1,2,1,2,Alyrata_AL1G34420
AT1G21340,AT5G60200,6,1,5,3,2,Alyrata_AL1G34440
AT1G21630,AT1G20760,1,0,0,0,0,Alyrata_AL1G34770
AT1G21660,AT4G36520,1,0,0,0,0,Alyrata_AL1G34820
AT1G21730,AT5G06670,1,1,1,1,1,Alyrata_AL1G34920
AT1G21890,AT2G39510,4,0,2,2,1,Alyrata_AL1G35090
AT1G21900,AT1G09580,2,0,0,0,0,Alyrata_AL1G35100
AT1G21960,AT1G14200,6,0,5,32,1,Alyrata_AL1G35170
AT1G21970,AT5G47640,4,2,4,3,4,Alyrata_AL1G35230
AT1G21970,AT5G47640,4,2,4,3,4,Alyrata_AL1G35210
AT1G21970,AT5G47640,4,2,4,3,4,Alyrata_AL264U10030
AT1G21970,AT5G47640,4,2,4,3,4,Alyrata_AL1G35370
AT1G21990,AT2G42730,17,0,0,0,0,Alyrata_AL1G53180
AT1G22000,AT1G26890,0,0,0,0,0,Unknown
AT1G22450,AT4G28060,2,1,3,2,1,Crubella_Carub.0001s2198
AT1G22590,AT3G05860,2,0,1,3,6,Alyrata_AL1G36120
AT1G22610,AT3G57880,1,0,1,1,2,Alyrata_AL1G36140
AT1G22720,AT1G21210,15,6,42,25,19,Cviolacea_Clevi.0009s0296
AT1G22740,AT1G52280,1,0,0,0,0,Alyrata_AL1G36280
AT1G22740,AT1G52280,1,0,0,0,0,Boleracea_Bo8g071590
AT1G22740,AT1G52280,1,0,0,0,0,Brapa_Brara.H02232
AT1G22740,AT1G52280,1,0,0,0,0,Crubella_Carub.0001s2225
AT1G22780,AT4G09800,0,0,0,0,0,Unknown
AT1G22900,AT2G21100,5,0,0,2,3,Alyrata_AL1G36460
AT1G22910,AT1G33470,1,0,0,0,0,Boleracea_Bo5g039020
AT1G22910,AT1G33470,1,0,0,0,0,Brapa_Brara.I03278
AT1G22910,AT1G33470,1,0,0,0,0,Brapa_Brara.G01021
AT1G22910,AT1G33470,1,0,0,0,0,Boleracea_Bo7g057600
AT1G22910,AT1G33470,1,0,0,0,0,Crubella_Carub.0001s2241
AT1G22950,AT3G18210,1,0,0,1,0,Alyrata_AL1G36510
AT1G23000,AT5G19090,5,3,7,5,7,Alyrata_AL1G36570
AT1G23300,AT3G26590,1,0,0,0,0,Crubella_Carub.0001s2289
AT1G23410,AT3G62250,1,0,0,1,0,Eguineensis_p5.00_sc00025_p0183
AT1G23410,AT3G62250,1,0,0,1,0,Acoerulea_Aqcoe3G283100
AT1G23410,AT3G62250,1,0,0,1,0,Cclementina_Ciclev10003180m.g
AT1G23410,AT3G62250,1,0,0,1,0,Pxbretschneideri_LOC103962454
AT1G23410,AT3G62250,1,0,0,1,0,Macuminata_GSMUA_Achr1G24990_001
AT1G23410,AT3G62250,1,0,0,1,0,Pvirgatum_Pavir.5NG345900
AT1G23410,AT3G62250,1,0,0,1,0,Pvirgatum_Pavir.3KG220508
AT1G23410,AT3G62250,1,0,0,1,0,Pvirgatum_Pavir.3NG248643
AT1G23410,AT3G62250,1,0,0,1,0,Pvirgatum_Pavir.5KG260800
AT1G23410,AT3G62250,1,0,0,1,0,Othomaeum_Oropetium_20150105_26932
AT1G23410,AT3G62250,1,0,0,1,0,Othomaeum_Oropetium_20150105_03025
AT1G23410,AT3G62250,1,0,0,1,0,Mdomestica_MD10G1028000
AT1G23440,AT1G56700,1,0,2,0,0,Alyrata_AL1G37230
AT1G23480,AT5G22740,6,1,1,1,9,Alyrata_AL1G37250
AT1G23810,AT1G27240,6,0,0,0,0,Athaliana_AT1G24250
AT1G23860,AT2G24590,1,0,0,0,0,Alyrata_AL1G37610
AT1G24070,AT5G22740,6,1,1,1,9,Alyrata_AL1G37870
AT1G24100,AT2G43820,5,19,1,7,1,Alyrata_AL1G37910
AT1G24110,AT5G47000,1,0,0,0,0,Alyrata_AL1G37920
AT1G24240,AT4G17560,3,1,2,1,1,Athaliana_AT4G11630
AT1G24260,AT3G02310,1,1,1,1,0,Alyrata_AL1G40680
AT1G24270,AT1G62422,2,1,3,2,3,Alyrata_AL1G40650
AT1G24280,AT1G09420,3,2,2,3,2,Alyrata_AL1G40640
AT1G24540,AT5G23190,16,3,18,19,7,Alyrata_AL1G40400
AT1G24590,AT5G18560,2,1,2,0,1,Alyrata_AL1G40320
AT1G24620,AT1G18210,4,1,3,6,1,Alyrata_AL1G40290
AT1G24650,AT2G01820,1,0,0,0,0,Alyrata_AL1G40250
AT1G25141,AT3G17480,20,0,0,0,0,Boleracea_Bo5g115470
AT1G25230,AT1G14700,1,0,0,0,0,Alyrata_AL1G40140
AT1G25280,AT1G43640,1,0,0,0,0,Alyrata_AL1G40070
AT1G25320,AT3G57830,3,1,2,1,1,Alyrata_AL1G40010
AT1G25330,AT1G18400,1,0,0,0,0,Alyrata_AL1G40000
AT1G25390,AT1G66880,1,0,1,1,0,Alyrata_AL1G39930
AT1G25530,AT1G67640,2,0,4,7,0,Alyrata_AL1G39770
AT1G26110,AT5G45330,1,1,2,2,0,Alyrata_AL1G39670
AT1G26110,AT5G45330,1,1,2,2,0,Crubella_Carub.0001s2486
AT1G26120,AT5G15860,1,0,2,1,1,Alyrata_AL1G39650
AT1G26150,AT1G23540,3,0,2,2,2,Alyrata_AL1G39600
AT1G26150,AT1G23540,3,0,2,2,2,Crubella_Carub.0001s2481
AT1G26160,AT2G23820,1,1,1,1,0,Alyrata_AL1G39590
AT1G26230,AT1G55490,1,1,1,1,1,Alyrata_AL1G39500
AT1G26320,AT3G03080,1,0,0,0,0,Alyrata_AL1G39430
AT1G26480,AT1G34760,1,2,2,2,0,Alyrata_AL1G39260
AT1G26540,AT2G47230,1,0,0,0,0,Alyrata_AL1G39190
AT1G26560,AT5G54570,1,1,2,1,1,Alyrata_AL1G39170
AT1G26570,AT3G29360,1,0,0,0,0,Alyrata_AL1G39160
AT1G26680,AT2G24645,11,0,0,0,0,Alyrata_AL1G39030
AT1G26870,AT5G39820,1,0,0,0,0,Alyrata_AL1G38750
AT1G27200,AT5G40720,1,0,2,2,0,Alyrata_AL1G38250
AT1G27390,AT3G27080,1,0,2,0,0,Alyrata_AL1G40800
AT1G27400,AT1G67430,1,0,0,0,0,Brapa_Brara.G00848
AT1G27400,AT1G67430,1,0,0,0,0,Crubella_Carub.0001s2594
AT1G27400,AT1G67430,1,0,0,0,0,Esalsugineum_Thhalv10008897m.g
AT1G27400,AT1G67430,1,0,0,0,0,Brapa_Brara.H02055
AT1G27400,AT1G67430,1,0,0,0,0,Boleracea_Bo3g141520
AT1G27400,AT1G67430,1,0,0,0,0,Boleracea_Bo5g052040
AT1G27400,AT1G67430,1,0,0,0,0,Brapa_Brara.I03016
AT1G27450,AT4G22570,1,1,1,1,1,Alyrata_AL1G40870
AT1G27500,AT3G27960,1,0,2,1,0,Alyrata_AL1G40930
AT1G27630,AT5G45190,3,0,2,1,3,Alyrata_AL1G41160
AT1G27650,AT3G44785,2,1,0,2,2,Alyrata_AL1G41170
