row,column,cor,p,sps,p.adjust
Unclassified,unM,0.305777620360696,0,Aduranensis,0
Genes,Unclassified,0.495609608087926,0,Aduranensis,0
TEs,Unclassified,-0.089058811707067,0,Aduranensis,0
TE.nucleotidess,Unclassified,-0.238550629980703,0,Aduranensis,0
gbM,Unclassified,0.294387938208616,0,Aduranensis,0
teM,Unclassified,0.111515624886677,0,Aduranensis,0
unM,Unclassified,0.305777620360696,0,Aduranensis,0
Unclassified,Unclassified,1,NA,Aduranensis,NA
Genes,Genes,1,NA,Aipaensis,NA
TEs,Genes,-0.444346317320401,0,Aipaensis,0
TE.nucleotidess,Genes,-0.57201236804122,0,Aipaensis,0
gbM,Genes,0.503854358982108,0,Aipaensis,0
teM,Genes,0.709186461351552,0,Aipaensis,0
unM,Genes,0.683410180243966,0,Aipaensis,0
Unclassified,Genes,0.43133708091087,0,Aipaensis,0
Genes,TEs,-0.444346317320401,0,Aipaensis,0
TEs,TEs,1,NA,Aipaensis,NA
TE.nucleotidess,TEs,0.867031201307838,0,Aipaensis,0
gbM,TEs,-0.327609648649528,0,Aipaensis,0
teM,TEs,-0.22400964222193,0,Aipaensis,0
unM,TEs,-0.392783742632791,0,Aipaensis,0
Unclassified,TEs,-0.259074205327555,0,Aipaensis,0
Genes,TE.nucleotidess,-0.57201236804122,0,Aipaensis,0
TEs,TE.nucleotidess,0.867031201307838,0,Aipaensis,0
TE.nucleotidess,TE.nucleotidess,1,NA,Aipaensis,NA
gbM,TE.nucleotidess,-0.413156488844846,0,Aipaensis,0
teM,TE.nucleotidess,-0.30155918766492,0,Aipaensis,0
unM,TE.nucleotidess,-0.492248411487738,0,Aipaensis,0
Unclassified,TE.nucleotidess,-0.321288421340507,0,Aipaensis,0
Genes,gbM,0.503854358982108,0,Aipaensis,0
TEs,gbM,-0.327609648649528,0,Aipaensis,0
TE.nucleotidess,gbM,-0.413156488844846,0,Aipaensis,0
gbM,gbM,1,NA,Aipaensis,NA
teM,gbM,0.0915303917418905,0,Aipaensis,0
unM,gbM,0.308468016664814,0,Aipaensis,0
Unclassified,gbM,0.229777430654389,0,Aipaensis,0
Genes,teM,0.709186461351552,0,Aipaensis,0
TEs,teM,-0.22400964222193,0,Aipaensis,0
TE.nucleotidess,teM,-0.30155918766492,0,Aipaensis,0
gbM,teM,0.0915303917418905,0,Aipaensis,0
teM,teM,1,NA,Aipaensis,NA
unM,teM,0.135201442734286,0,Aipaensis,0
Unclassified,teM,0.100295750586082,0,Aipaensis,0
Genes,unM,0.683410180243966,0,Aipaensis,0
TEs,unM,-0.392783742632791,0,Aipaensis,0
TE.nucleotidess,unM,-0.492248411487738,0,Aipaensis,0
gbM,unM,0.308468016664814,0,Aipaensis,0
teM,unM,0.135201442734286,0,Aipaensis,0
unM,unM,1,NA,Aipaensis,NA
Unclassified,unM,0.278851328151043,0,Aipaensis,0
Genes,Unclassified,0.43133708091087,0,Aipaensis,0
TEs,Unclassified,-0.259074205327555,0,Aipaensis,0
TE.nucleotidess,Unclassified,-0.321288421340507,0,Aipaensis,0
gbM,Unclassified,0.229777430654389,0,Aipaensis,0
teM,Unclassified,0.100295750586082,0,Aipaensis,0
unM,Unclassified,0.278851328151043,0,Aipaensis,0
Unclassified,Unclassified,1,NA,Aipaensis,NA
Genes,Genes,1,NA,Alyrata,NA
TEs,Genes,0.00488048345774562,0.738108194244419,Alyrata,0.740568554891901
TE.nucleotidess,Genes,-0.105249450397678,4.80726569662693e-13,Alyrata,5.68933279692545e-13
gbM,Genes,0.743642708625903,0,Alyrata,0
teM,Genes,0.254479902368191,0,Alyrata,0
unM,Genes,0.890099252592279,0,Alyrata,0
Unclassified,Genes,0.704562586402401,0,Alyrata,0
Genes,TEs,0.00488048345774562,0.738108194244419,Alyrata,0.740568554891901
TEs,TEs,1,NA,Alyrata,NA
TE.nucleotidess,TEs,0.843616598655584,0,Alyrata,0
gbM,TEs,-0.059570125154855,4.41291131882959e-05,Alyrata,4.87742829975902e-05
teM,TEs,0.270812218570824,0,Alyrata,0
unM,TEs,-0.0114473490740049,0.432879617248854,Alyrata,0.442183590922755
Unclassified,TEs,0.00927224051975177,0.52526751233512,Alyrata,0.53534600862146
Genes,TE.nucleotidess,-0.105249450397678,4.80726569662693e-13,Alyrata,5.68933279692545e-13
TEs,TE.nucleotidess,0.843616598655584,0,Alyrata,0
TE.nucleotidess,TE.nucleotidess,1,NA,Alyrata,NA
gbM,TE.nucleotidess,-0.130422149541443,0,Alyrata,0
teM,TE.nucleotidess,0.277075563370422,0,Alyrata,0
unM,TE.nucleotidess,-0.122435339439151,0,Alyrata,0
Unclassified,TE.nucleotidess,-0.0596335698803916,4.33082219659653e-05,Alyrata,4.79256426902778e-05
Genes,gbM,0.743642708625903,0,Alyrata,0
TEs,gbM,-0.059570125154855,4.41291131882959e-05,Alyrata,4.87742829975902e-05
TE.nucleotidess,gbM,-0.130422149541443,0,Alyrata,0
gbM,gbM,1,NA,Alyrata,NA
teM,gbM,0.0559757377254556,0.000124112306589153,Alyrata,0.000136342351399033
unM,gbM,0.514861457966621,0,Alyrata,0
Unclassified,gbM,0.462836964398705,0,Alyrata,0
Genes,teM,0.254479902368191,0,Alyrata,0
TEs,teM,0.270812218570824,0,Alyrata,0
TE.nucleotidess,teM,0.277075563370422,0,Alyrata,0
gbM,teM,0.0559757377254556,0.000124112306589153,Alyrata,0.000136342351399033
teM,teM,1,NA,Alyrata,NA
unM,teM,0.0685148081609619,2.60911334715175e-06,Alyrata,2.93038476676372e-06
Unclassified,teM,0.098449515566441,1.36930466965168e-11,Alyrata,1.60373815395003e-11
Genes,unM,0.890099252592279,0,Alyrata,0
TEs,unM,-0.0114473490740049,0.432879617248854,Alyrata,0.442183590922755
TE.nucleotidess,unM,-0.122435339439151,0,Alyrata,0
gbM,unM,0.514861457966621,0,Alyrata,0
teM,unM,0.0685148081609619,2.60911334715175e-06,Alyrata,2.93038476676372e-06
unM,unM,1,NA,Alyrata,NA
Unclassified,unM,0.5159090242771,0,Alyrata,0
Genes,Unclassified,0.704562586402401,0,Alyrata,0
TEs,Unclassified,0.00927224051975177,0.52526751233512,Alyrata,0.53534600862146
TE.nucleotidess,Unclassified,-0.0596335698803916,4.33082219659653e-05,Alyrata,4.79256426902778e-05
gbM,Unclassified,0.462836964398705,0,Alyrata,0
teM,Unclassified,0.098449515566441,1.36930466965168e-11,Alyrata,1.60373815395003e-11
unM,Unclassified,0.5159090242771,0,Alyrata,0
Unclassified,Unclassified,1,NA,Alyrata,NA
Genes,Genes,1,NA,Athaliana,NA
TEs,Genes,-0.704568120353821,0,Athaliana,0
TE.nucleotidess,Genes,-0.736173054274237,0,Athaliana,0
gbM,Genes,0.449293438442093,0,Athaliana,0
teM,Genes,-0.0972823832676037,1.93852315177878e-06,Athaliana,2.18537628721129e-06
unM,Genes,0.87709332608301,0,Athaliana,0
Unclassified,Genes,0.637613250671394,0,Athaliana,0
Genes,TEs,-0.704568120353821,0,Athaliana,0
TEs,TEs,1,NA,Athaliana,NA
TE.nucleotidess,TEs,0.909947343721413,0,Athaliana,0
gbM,TEs,-0.367949089533006,0,Athaliana,0
teM,TEs,0.358765146791105,0,Athaliana,0
unM,TEs,-0.68837135708921,0,Athaliana,0
Unclassified,TEs,-0.493961367814658,0,Athaliana,0
Genes,TE.nucleotidess,-0.736173054274237,0,Athaliana,0
TEs,TE.nucleotidess,0.909947343721413,0,Athaliana,0
TE.nucleotidess,TE.nucleotidess,1,NA,Athaliana,NA
gbM,TE.nucleotidess,-0.394621695174729,0,Athaliana,0
teM,TE.nucleotidess,0.255248397034371,0,Athaliana,0
unM,TE.nucleotidess,-0.683355319922825,0,Athaliana,0
Unclassified,TE.nucleotidess,-0.49809440149636,0,Athaliana,0
Genes,gbM,0.449293438442093,0,Athaliana,0
TEs,gbM,-0.367949089533006,0,Athaliana,0
TE.nucleotidess,gbM,-0.394621695174729,0,Athaliana,0
gbM,gbM,1,NA,Athaliana,NA
teM,gbM,-0.119092122498846,5.41917866136998e-09,Athaliana,6.28179503365481e-09
unM,gbM,0.204203210532589,0,Athaliana,0
Unclassified,gbM,0.276235738592112,0,Athaliana,0
Genes,teM,-0.0972823832676037,1.93852315177878e-06,Athaliana,2.18537628721129e-06
TEs,teM,0.358765146791105,0,Athaliana,0
TE.nucleotidess,teM,0.255248397034371,0,Athaliana,0
gbM,teM,-0.119092122498846,5.41917866136998e-09,Athaliana,6.28179503365481e-09
teM,teM,1,NA,Athaliana,NA
unM,teM,-0.291898461698986,0,Athaliana,0
Unclassified,teM,-0.161948536771534,1.77635683940025e-15,Athaliana,2.14732292634327e-15
Genes,unM,0.87709332608301,0,Athaliana,0
TEs,unM,-0.68837135708921,0,Athaliana,0
TE.nucleotidess,unM,-0.683355319922825,0,Athaliana,0
gbM,unM,0.204203210532589,0,Athaliana,0
teM,unM,-0.291898461698986,0,Athaliana,0
unM,unM,1,NA,Athaliana,NA
Unclassified,unM,0.393009252300902,0,Athaliana,0
Genes,Unclassified,0.637613250671394,0,Athaliana,0
TEs,Unclassified,-0.493961367814658,0,Athaliana,0
TE.nucleotidess,Unclassified,-0.49809440149636,0,Athaliana,0
gbM,Unclassified,0.276235738592112,0,Athaliana,0
teM,Unclassified,-0.161948536771534,1.77635683940025e-15,Athaliana,2.14732292634327e-15
unM,Unclassified,0.393009252300902,0,Athaliana,0
Unclassified,Unclassified,1,NA,Athaliana,NA
Genes,Genes,1,NA,Atrichopoda,NA
TEs,Genes,0.268700561498585,0,Atrichopoda,0
TE.nucleotidess,Genes,0.12664293738588,0,Atrichopoda,0
gbM,Genes,0.38093357137881,0,Atrichopoda,0
teM,Genes,0.508071305745126,0,Atrichopoda,0
unM,Genes,0.542394683045314,0,Atrichopoda,0
Unclassified,Genes,0.599030797155621,0,Atrichopoda,0
Genes,TEs,0.268700561498585,0,Atrichopoda,0
TEs,TEs,1,NA,Atrichopoda,NA
TE.nucleotidess,TEs,0.835314440658433,0,Atrichopoda,0
gbM,TEs,0.154944124798936,0,Atrichopoda,0
teM,TEs,0.221197822447934,0,Atrichopoda,0
unM,TEs,0.223410273603418,0,Atrichopoda,0
Unclassified,TEs,0.222227904386029,0,Atrichopoda,0
Genes,TE.nucleotidess,0.12664293738588,0,Atrichopoda,0
TEs,TE.nucleotidess,0.835314440658433,0,Atrichopoda,0
TE.nucleotidess,TE.nucleotidess,1,NA,Atrichopoda,NA
gbM,TE.nucleotidess,0.0280063587417532,0.00010399259888505,Atrichopoda,0.000114518679016098
teM,TE.nucleotidess,0.215797857699138,0,Atrichopoda,0
unM,TE.nucleotidess,0.100124344318364,0,Atrichopoda,0
Unclassified,TE.nucleotidess,0.0745719141301029,0,Atrichopoda,0
Genes,gbM,0.38093357137881,0,Atrichopoda,0
TEs,gbM,0.154944124798936,0,Atrichopoda,0
TE.nucleotidess,gbM,0.0280063587417532,0.00010399259888505,Atrichopoda,0.000114518679016098
gbM,gbM,1,NA,Atrichopoda,NA
teM,gbM,0.0234704149479545,0.00114472055541226,Atrichopoda,0.00123351152928075
unM,gbM,0.12199060897796,0,Atrichopoda,0
Unclassified,gbM,0.170057162812521,0,Atrichopoda,0
Genes,teM,0.508071305745126,0,Atrichopoda,0
TEs,teM,0.221197822447934,0,Atrichopoda,0
TE.nucleotidess,teM,0.215797857699138,0,Atrichopoda,0
gbM,teM,0.0234704149479545,0.00114472055541226,Atrichopoda,0.00123351152928075
teM,teM,1,NA,Atrichopoda,NA
unM,teM,0.0416460539819991,7.80460984728393e-09,Atrichopoda,9.02376785159716e-09
Unclassified,teM,0.0683228442756271,0,Atrichopoda,0
Genes,unM,0.542394683045314,0,Atrichopoda,0
TEs,unM,0.223410273603418,0,Atrichopoda,0
TE.nucleotidess,unM,0.100124344318364,0,Atrichopoda,0
gbM,unM,0.12199060897796,0,Atrichopoda,0
teM,unM,0.0416460539819991,7.80460984728393e-09,Atrichopoda,9.02376785159716e-09
unM,unM,1,NA,Atrichopoda,NA
Unclassified,unM,0.23032306921526,0,Atrichopoda,0
Genes,Unclassified,0.599030797155621,0,Atrichopoda,0
TEs,Unclassified,0.222227904386029,0,Atrichopoda,0
TE.nucleotidess,Unclassified,0.0745719141301029,0,Atrichopoda,0
gbM,Unclassified,0.170057162812521,0,Atrichopoda,0
teM,Unclassified,0.0683228442756271,0,Atrichopoda,0
unM,Unclassified,0.23032306921526,0,Atrichopoda,0
Unclassified,Unclassified,1,NA,Atrichopoda,NA
Genes,Genes,1,NA,Bdistachyon,NA
TEs,Genes,-0.370713692653017,0,Bdistachyon,0
TE.nucleotidess,Genes,-0.57215405493636,0,Bdistachyon,0
gbM,Genes,0.536205611584274,0,Bdistachyon,0
teM,Genes,0.37586502536185,0,Bdistachyon,0
unM,Genes,0.731043780869224,0,Bdistachyon,0
Unclassified,Genes,0.493559852162652,0,Bdistachyon,0
Genes,TEs,-0.370713692653017,0,Bdistachyon,0
TEs,TEs,1,NA,Bdistachyon,NA
TE.nucleotidess,TEs,0.574994548379344,0,Bdistachyon,0
gbM,TEs,-0.315832517365054,0,Bdistachyon,0
teM,TEs,-0.0139426115767955,0.304404119706153,Bdistachyon,0.31450448523416
unM,TEs,-0.265666360103181,0,Bdistachyon,0
Unclassified,TEs,-0.216188683796822,0,Bdistachyon,0
Genes,TE.nucleotidess,-0.57215405493636,0,Bdistachyon,0
TEs,TE.nucleotidess,0.574994548379344,0,Bdistachyon,0
TE.nucleotidess,TE.nucleotidess,1,NA,Bdistachyon,NA
gbM,TE.nucleotidess,-0.433067204256024,0,Bdistachyon,0
teM,TE.nucleotidess,-0.0726775206349275,8.30517692396171e-08,Bdistachyon,9.4931326105537e-08
unM,TE.nucleotidess,-0.440419256767122,0,Bdistachyon,0
Unclassified,TE.nucleotidess,-0.327784089111724,0,Bdistachyon,0
Genes,gbM,0.536205611584274,0,Bdistachyon,0
TEs,gbM,-0.315832517365054,0,Bdistachyon,0
TE.nucleotidess,gbM,-0.433067204256024,0,Bdistachyon,0
gbM,gbM,1,NA,Bdistachyon,NA
teM,gbM,0.00838189861700665,0.536967836356083,Bdistachyon,0.546038238997233
unM,gbM,0.122599942063392,0,Bdistachyon,0
Unclassified,gbM,0.145994409390978,0,Bdistachyon,0
Genes,teM,0.37586502536185,0,Bdistachyon,0
TEs,teM,-0.0139426115767955,0.304404119706153,Bdistachyon,0.31450448523416
TE.nucleotidess,teM,-0.0726775206349275,8.30517692396171e-08,Bdistachyon,9.4931326105537e-08
gbM,teM,0.00838189861700665,0.536967836356083,Bdistachyon,0.546038238997233
teM,teM,1,NA,Bdistachyon,NA
unM,teM,0.0472955763519814,0.000490946925858271,Bdistachyon,0.000534770897527164
Unclassified,teM,0.058243737737586,1.75670791580096e-05,Bdistachyon,1.95358035464072e-05
Genes,unM,0.731043780869224,0,Bdistachyon,0
TEs,unM,-0.265666360103181,0,Bdistachyon,0
TE.nucleotidess,unM,-0.440419256767122,0,Bdistachyon,0
gbM,unM,0.122599942063392,0,Bdistachyon,0
teM,unM,0.0472955763519814,0.000490946925858271,Bdistachyon,0.000534770897527164
unM,unM,1,NA,Bdistachyon,NA
Unclassified,unM,0.154620302094104,0,Bdistachyon,0
Genes,Unclassified,0.493559852162652,0,Bdistachyon,0
TEs,Unclassified,-0.216188683796822,0,Bdistachyon,0
TE.nucleotidess,Unclassified,-0.327784089111724,0,Bdistachyon,0
gbM,Unclassified,0.145994409390978,0,Bdistachyon,0
teM,Unclassified,0.058243737737586,1.75670791580096e-05,Bdistachyon,1.95358035464072e-05
unM,Unclassified,0.154620302094104,0,Bdistachyon,0
Unclassified,Unclassified,1,NA,Bdistachyon,NA
Genes,Genes,1,NA,Boleracea,NA
TEs,Genes,0.753458243409083,0,Boleracea,0
TE.nucleotidess,Genes,0.680682015685212,0,Boleracea,0
gbM,Genes,0.444921366822932,0,Boleracea,0
teM,Genes,0.720422079629142,0,Boleracea,0
unM,Genes,0.935554116305119,0,Boleracea,0
Unclassified,Genes,0.797714693213498,0,Boleracea,0
Genes,TEs,0.753458243409083,0,Boleracea,0
TEs,TEs,1,NA,Boleracea,NA
TE.nucleotidess,TEs,0.967669893438624,0,Boleracea,0
gbM,TEs,0.316116339922991,0,Boleracea,0
teM,TEs,0.776191809790789,0,Boleracea,0
unM,TEs,0.647281639165894,0,Boleracea,0
Unclassified,TEs,0.543578441804379,0,Boleracea,0
Genes,TE.nucleotidess,0.680682015685212,0,Boleracea,0
TEs,TE.nucleotidess,0.967669893438624,0,Boleracea,0
TE.nucleotidess,TE.nucleotidess,1,NA,Boleracea,NA
gbM,TE.nucleotidess,0.279388690109393,0,Boleracea,0
teM,TE.nucleotidess,0.764054668395774,0,Boleracea,0
unM,TE.nucleotidess,0.566327288680058,0,Boleracea,0
Unclassified,TE.nucleotidess,0.474969592623313,0,Boleracea,0
Genes,gbM,0.444921366822932,0,Boleracea,0
TEs,gbM,0.316116339922991,0,Boleracea,0
TE.nucleotidess,gbM,0.279388690109393,0,Boleracea,0
gbM,gbM,1,NA,Boleracea,NA
teM,gbM,0.263196060164673,0,Boleracea,0
unM,gbM,0.337602694440257,0,Boleracea,0
Unclassified,gbM,0.391891845506446,0,Boleracea,0
Genes,teM,0.720422079629142,0,Boleracea,0
TEs,teM,0.776191809790789,0,Boleracea,0
TE.nucleotidess,teM,0.764054668395774,0,Boleracea,0
gbM,teM,0.263196060164673,0,Boleracea,0
teM,teM,1,NA,Boleracea,NA
unM,teM,0.506112351787244,0,Boleracea,0
Unclassified,teM,0.442198034058573,0,Boleracea,0
Genes,unM,0.935554116305119,0,Boleracea,0
TEs,unM,0.647281639165894,0,Boleracea,0
TE.nucleotidess,unM,0.566327288680058,0,Boleracea,0
gbM,unM,0.337602694440257,0,Boleracea,0
teM,unM,0.506112351787244,0,Boleracea,0
unM,unM,1,NA,Boleracea,NA
Unclassified,unM,0.679293179996088,0,Boleracea,0
Genes,Unclassified,0.797714693213498,0,Boleracea,0
TEs,Unclassified,0.543578441804379,0,Boleracea,0
TE.nucleotidess,Unclassified,0.474969592623313,0,Boleracea,0
gbM,Unclassified,0.391891845506446,0,Boleracea,0
teM,Unclassified,0.442198034058573,0,Boleracea,0
unM,Unclassified,0.679293179996088,0,Boleracea,0
Unclassified,Unclassified,1,NA,Boleracea,NA
Genes,Genes,1,NA,Brapa,NA
TEs,Genes,0.469463041132565,0,Brapa,0
TE.nucleotidess,Genes,0.40473445431112,0,Brapa,0
gbM,Genes,0.141501667988357,0,Brapa,0
teM,Genes,0.307957656353287,0,Brapa,0
unM,Genes,0.983877409567246,0,Brapa,0
Unclassified,Genes,0.639158624661817,0,Brapa,0
Genes,TEs,0.469463041132565,0,Brapa,0
TEs,TEs,1,NA,Brapa,NA
TE.nucleotidess,TEs,0.943791932379353,0,Brapa,0
gbM,TEs,0.117747678007359,0,Brapa,0
teM,TEs,0.450087253333009,0,Brapa,0
unM,TEs,0.446358483382961,0,Brapa,0
Unclassified,TEs,0.325173940197812,0,Brapa,0
Genes,TE.nucleotidess,0.40473445431112,0,Brapa,0
TEs,TE.nucleotidess,0.943791932379353,0,Brapa,0
TE.nucleotidess,TE.nucleotidess,1,NA,Brapa,NA
gbM,TE.nucleotidess,0.103817476553729,0,Brapa,0
teM,TE.nucleotidess,0.448444339691988,0,Brapa,0
unM,TE.nucleotidess,0.38002430058959,0,Brapa,0
Unclassified,TE.nucleotidess,0.286331399660613,0,Brapa,0
Genes,gbM,0.141501667988357,0,Brapa,0
TEs,gbM,0.117747678007359,0,Brapa,0
TE.nucleotidess,gbM,0.103817476553729,0,Brapa,0
gbM,gbM,1,NA,Brapa,NA
teM,gbM,0.0974726671674019,0,Brapa,0
unM,gbM,0.105762398723793,0,Brapa,0
Unclassified,gbM,0.102915462734774,0,Brapa,0
Genes,teM,0.307957656353287,0,Brapa,0
TEs,teM,0.450087253333009,0,Brapa,0
TE.nucleotidess,teM,0.448444339691988,0,Brapa,0
gbM,teM,0.0974726671674019,0,Brapa,0
teM,teM,1,NA,Brapa,NA
unM,teM,0.195195013708344,0,Brapa,0
Unclassified,teM,0.172284668070883,0,Brapa,0
Genes,unM,0.983877409567246,0,Brapa,0
TEs,unM,0.446358483382961,0,Brapa,0
TE.nucleotidess,unM,0.38002430058959,0,Brapa,0
gbM,unM,0.105762398723793,0,Brapa,0
teM,unM,0.195195013708344,0,Brapa,0
unM,unM,1,NA,Brapa,NA
Unclassified,unM,0.537276948937355,0,Brapa,0
Genes,Unclassified,0.639158624661817,0,Brapa,0
TEs,Unclassified,0.325173940197812,0,Brapa,0
TE.nucleotidess,Unclassified,0.286331399660613,0,Brapa,0
gbM,Unclassified,0.102915462734774,0,Brapa,0
teM,Unclassified,0.172284668070883,0,Brapa,0
unM,Unclassified,0.537276948937355,0,Brapa,0
Unclassified,Unclassified,1,NA,Brapa,NA
Genes,Genes,1,NA,Bvulgaris,NA
TEs,Genes,0.545115585741678,0,Bvulgaris,0
TE.nucleotidess,Genes,0.41581986504672,0,Bvulgaris,0
gbM,Genes,0.454696151945788,0,Bvulgaris,0
teM,Genes,0.510498390580307,0,Bvulgaris,0
unM,Genes,0.622605741675187,0,Bvulgaris,0
Unclassified,Genes,0.677631141680737,0,Bvulgaris,0
Genes,TEs,0.545115585741678,0,Bvulgaris,0
TEs,TEs,1,NA,Bvulgaris,NA
TE.nucleotidess,TEs,0.944502505229307,0,Bvulgaris,0
gbM,TEs,0.297213326079546,0,Bvulgaris,0
teM,TEs,0.40406588923231,0,Bvulgaris,0
unM,TEs,0.430116846827845,0,Bvulgaris,0
Unclassified,TEs,0.437805966969295,0,Bvulgaris,0
Genes,TE.nucleotidess,0.41581986504672,0,Bvulgaris,0
TEs,TE.nucleotidess,0.944502505229307,0,Bvulgaris,0
TE.nucleotidess,TE.nucleotidess,1,NA,Bvulgaris,NA
gbM,TE.nucleotidess,0.214690784829878,0,Bvulgaris,0
teM,TE.nucleotidess,0.386385828580647,0,Bvulgaris,0
unM,TE.nucleotidess,0.350488109429166,0,Bvulgaris,0
Unclassified,TE.nucleotidess,0.33165597475035,0,Bvulgaris,0
Genes,gbM,0.454696151945788,0,Bvulgaris,0
TEs,gbM,0.297213326079546,0,Bvulgaris,0
TE.nucleotidess,gbM,0.214690784829878,0,Bvulgaris,0
gbM,gbM,1,NA,Bvulgaris,NA
teM,gbM,0.142343921550092,0,Bvulgaris,0
unM,gbM,0.190696286085638,0,Bvulgaris,0
Unclassified,gbM,0.267658973578253,0,Bvulgaris,0
Genes,teM,0.510498390580307,0,Bvulgaris,0
TEs,teM,0.40406588923231,0,Bvulgaris,0
TE.nucleotidess,teM,0.386385828580647,0,Bvulgaris,0
gbM,teM,0.142343921550092,0,Bvulgaris,0
teM,teM,1,NA,Bvulgaris,NA
unM,teM,0.196452251930673,0,Bvulgaris,0
Unclassified,teM,0.202252739710951,0,Bvulgaris,0
Genes,unM,0.622605741675187,0,Bvulgaris,0
TEs,unM,0.430116846827845,0,Bvulgaris,0
TE.nucleotidess,unM,0.350488109429166,0,Bvulgaris,0
gbM,unM,0.190696286085638,0,Bvulgaris,0
teM,unM,0.196452251930673,0,Bvulgaris,0
unM,unM,1,NA,Bvulgaris,NA
Unclassified,unM,0.314853401192275,0,Bvulgaris,0
Genes,Unclassified,0.677631141680737,0,Bvulgaris,0
TEs,Unclassified,0.437805966969295,0,Bvulgaris,0
TE.nucleotidess,Unclassified,0.33165597475035,0,Bvulgaris,0
gbM,Unclassified,0.267658973578253,0,Bvulgaris,0
teM,Unclassified,0.202252739710951,0,Bvulgaris,0
unM,Unclassified,0.314853401192275,0,Bvulgaris,0
Unclassified,Unclassified,1,NA,Bvulgaris,NA
Genes,Genes,1,NA,Cclementina,NA
TEs,Genes,-0.0201966334579576,0.0862277822593964,Cclementina,0.0900158235609653
TE.nucleotidess,Genes,-0.155047133766228,0,Cclementina,0
gbM,Genes,0.57599716144325,0,Cclementina,0
teM,Genes,0.29868343144245,0,Cclementina,0
unM,Genes,0.860335157216398,0,Cclementina,0
Unclassified,Genes,0.489210716923186,0,Cclementina,0
Genes,TEs,-0.0201966334579576,0.0862277822593964,Cclementina,0.0900158235609653
TEs,TEs,1,NA,Cclementina,NA
TE.nucleotidess,TEs,0.886241727993089,0,Cclementina,0
gbM,TEs,-0.0908290224966802,1.06581410364015e-14,Cclementina,1.27643254056639e-14
teM,TEs,0.17206904206014,0,Cclementina,0
unM,TEs,0.0376915279215966,0.00136198231375451,Cclementina,0.00146413098728609
Unclassified,TEs,-0.00603795978887662,0.608050522669271,Cclementina,0.615548903554205
Genes,TE.nucleotidess,-0.155047133766228,0,Cclementina,0
TEs,TE.nucleotidess,0.886241727993089,0,Cclementina,0
TE.nucleotidess,TE.nucleotidess,1,NA,Cclementina,NA
gbM,TE.nucleotidess,-0.205670817126025,0,Cclementina,0
teM,TE.nucleotidess,0.181426411715025,0,Cclementina,0
unM,TE.nucleotidess,-0.0879211721884841,7.30526750203353e-14,Cclementina,8.70271313236976e-14
Unclassified,TE.nucleotidess,-0.0922383885287612,3.99680288865056e-15,Cclementina,4.79935240485566e-15
Genes,gbM,0.57599716144325,0,Cclementina,0
TEs,gbM,-0.0908290224966802,1.06581410364015e-14,Cclementina,1.27643254056639e-14
TE.nucleotidess,gbM,-0.205670817126025,0,Cclementina,0
gbM,gbM,1,NA,Cclementina,NA
