Duplicate.1,Duplicate.1_Methylation,Duplicate.2,Duplicate.2_Methylation,Duplication,Similarity,Classification,Duplicate.1_tau,Duplicate.2_tau,absdiff,Correlation
AT1G02575,unM,AT1G02570,unM,tandem,Same,unM-unM,0.784710404930095,0.880767476745265,0.0960570718151695,0.256182083422855
AT1G02660,unM,AT3G62590,Unclassified,wgd,Undetermined,unM-Unclassified,0.382476547720632,0.376250225551001,0.00622632216963126,0.704072635348951
AT1G02720,unM,AT4G02130,unM,transposed,Same,unM-unM,0.238422130972812,0.19324637636994,0.0451757546028723,0.219701964901661
AT1G02750,unM,AT4G02200,Unclassified,wgd,Undetermined,unM-Unclassified,0.263168590827727,0.200043895801062,0.0631246950266658,-0.0632514538891207
AT1G02816,unM,AT1G02813,unM,tandem,Same,unM-unM,0.881322998088756,0.301952997822521,0.579370000266235,-0.046144730904444
AT1G02890,gbM,AT1G62130,gbM,transposed,Same,gbM-gbM,0.205785923443983,0.202405315809117,0.00338060763486697,0.23019399064899
AT1G02930,unM,AT1G02920,unM,tandem,Same,unM-unM,0.629293843835509,0.435518190077195,0.193775653758314,0.247268503790442
AT1G02950,unM,AT1G02930,unM,proximal,Same,unM-unM,0.435518190077195,0.293269667560706,0.142248522516488,0.00272588600444931
AT1G02965,unM,AT1G02960,unM,tandem,Same,unM-unM,0.108369660441322,0.843330522131458,0.734960861690136,-0.221022478397062
AT1G03010,unM,AT2G47860,Unclassified,wgd,Undetermined,unM-Unclassified,0.306864242805245,0.47984318287276,0.172978940067515,0.400198537069564
AT1G03020,gbM,AT3G62930,unM,wgd,Different,gbM-unM,0.486052371098397,0.602491956526216,0.116439585427819,0.483888009788723
AT1G03080,gbM,AT4G02710,unM,wgd,Different,gbM-unM,0.15008587305727,0.166094128205084,0.0160082551478143,0.0207112650968587
AT1G03103,gbM,AT3G22600,unM,transposed,Different,gbM-unM,0.535007714588372,0.932576935272184,0.397569220683812,-0.0563037875919726
AT1G03220,unM,AT5G48430,unM,transposed,Same,unM-unM,0.891382093923967,0.410576587760123,0.480805506163843,-0.00816123154624113
AT1G03230,unM,AT1G03220,unM,tandem,Same,unM-unM,0.410576587760123,0.262233103744854,0.148343484015269,0.0441995930177316
AT1G03240,teM,AT1G03200,teM,proximal,Same,teM-teM,0.501599397583649,0.813230753221207,0.311631355637557,0.892463956869296
AT1G03260,gbM,AT5G19070,Unclassified,dispersed,Undetermined,gbM-Unclassified,0.24658155241557,0.223998072220092,0.0225834801954777,0.767266408920468
AT1G03290,gbM,AT4G02880,Unclassified,wgd,Undetermined,gbM-Unclassified,0.229383798720843,0.176686922225863,0.0526968764949806,0.426510344521503
AT1G03300,unM,AT2G47230,Unclassified,transposed,Undetermined,unM-Unclassified,0.246428442412825,NA,NA,NA
AT1G03340,gbM,AT4G02920,unM,wgd,Different,gbM-unM,0.228651371903227,0.475842174574848,0.247190802671621,0.0812125766361386
AT1G03380,gbM,AT1G54710,Unclassified,dispersed,Undetermined,gbM-Unclassified,0.284962353074043,0.190968486687948,0.093993866386095,0.469093140313682
AT1G03410,unM,AT1G03400,unM,tandem,Same,unM-unM,0.333309213942263,0.155264250088314,0.178044963853949,-0.067306092183206
AT1G03440,unM,AT3G17640,unM,transposed,Same,unM-unM,0.322921138176739,0.231961758249119,0.0909593799276208,0.160109016735518
AT1G03445,gbM,AT4G03080,unM,wgd,Different,gbM-unM,0.0962285833214204,0.62550890869896,0.529280325377539,-0.240309719378926
AT1G03470,unM,AT4G03153,Unclassified,wgd,Undetermined,unM-Unclassified,0.914942641917039,0.440549283045071,0.474393358871968,-0.0343578480996444
AT1G03470,unM,AT2G47920,Unclassified,transposed,Undetermined,unM-Unclassified,0.357416797033469,0.440549283045071,0.0831324860116023,0.00662538399495191
AT1G03710,unM,AT3G05685,unM,transposed,Same,unM-unM,0.420296902223335,0.476451641388803,0.0561547391654679,-0.188331018535027
AT1G03710,unM,AT3G05450,unM,transposed,Same,unM-unM,0.780026562269202,0.476451641388803,0.3035749208804,0.456260270352877
AT1G03740,gbM,AT5G44290,Unclassified,wgd,Undetermined,gbM-Unclassified,0.154834935092088,0.27981330489972,0.124978369807632,0.682182586169762
AT1G03790,unM,AT5G07500,unM,transposed,Same,unM-unM,0.70154318402531,0.788825033460724,0.0872818494354148,0.665129359761994
AT1G03870,unM,AT2G20520,unM,transposed,Same,unM-unM,0.934139826299228,0.38243450757999,0.551705318719238,0.602619311254533
AT1G03870,unM,AT5G03170,unM,transposed,Same,unM-unM,0.425301755119306,0.38243450757999,0.0428672475393159,0.0062134789650717
AT1G03890,unM,AT1G03880,unM,tandem,Same,unM-unM,0.867776239559611,0.891752776198528,0.0239765366389162,0.988296085876676
AT1G03905,unM,AT5G44110,Unclassified,wgd,Undetermined,unM-Unclassified,0.282095459303158,0.365395909626035,0.0833004503228774,-0.0775617150067767
AT1G03940,unM,AT1G03495,unM,dispersed,Same,unM-unM,0.331505846128507,0.341140101963708,0.00963425583520089,0.763842811775403
AT1G03950,gbM,AT5G44560,unM,dispersed,Different,gbM-unM,0.272008722341214,0.172938985989294,0.0990697363519198,-0.768740233914195
AT1G03960,gbM,AT5G44090,Unclassified,wgd,Undetermined,gbM-Unclassified,0.232637964114536,0.148469054846431,0.084168909268105,0.029209463274068
AT1G04090,gbM,AT5G43950,unM,wgd,Different,gbM-unM,0.328686049801867,0.610005592714988,0.281319542913121,0.320915514258588
AT1G04160,gbM,AT4G33200,gbM,transposed,Same,gbM-gbM,0.0986661558703077,0.394102918156875,0.295436762286567,0.333124846693321
AT1G04270,unM,AT5G63070,unM,transposed,Same,unM-unM,0.739836651492289,0.209365089384692,0.530471562107597,0.00719666033806256
AT1G04340,gbM,AT5G43460,Unclassified,wgd,Undetermined,gbM-Unclassified,0.113638929976422,0.185180868544302,0.0715419385678802,0.668014610934433
AT1G04370,unM,AT5G43410,Unclassified,wgd,Undetermined,unM-Unclassified,0.891895836851454,0.860615233352264,0.0312806034991902,-0.0475165263963767
AT1G04370,unM,AT3G23220,Unclassified,wgd,Undetermined,unM-Unclassified,0.937614300896782,0.860615233352264,0.0769990675445186,0.575866319230797
AT1G04380,unM,AT1G04350,unM,proximal,Same,unM-unM,0.322993203073098,0.68354634399375,0.360553140920652,-0.101097563900962
AT1G04410,unM,AT5G43330,Unclassified,wgd,Undetermined,unM-Unclassified,0.281315514606146,0.105438354341506,0.17587716026464,-0.0262845515427328
AT1G04440,gbM,AT5G43320,Unclassified,wgd,Undetermined,gbM-Unclassified,0.160037114209634,0.223341370050992,0.0633042558413577,0.547564267532582
AT1G04450,gbM,AT2G33460,unM,wgd,Different,gbM-unM,0.725075781538035,0.858135095473334,0.133059313935299,0.977325677850248
AT1G04470,unM,AT2G33420,Unclassified,wgd,Undetermined,unM-Unclassified,0.768976875824967,0.769053944175275,7.70683503080738e-05,0.999240756600242
AT1G04480,unM,AT3G04400,unM,transposed,Same,unM-unM,0.188310728440777,0.203308925748281,0.0149981973075042,0.953742173887308
AT1G04490,gbM,AT2G33360,unM,wgd,Different,gbM-unM,0.228984593613882,0.452215894022722,0.22323130040884,0.132718685586819
AT1G04520,unM,AT3G04370,unM,transposed,Same,unM-unM,0.877643081633276,0.25022380652402,0.627419275109256,0.139515730745786
AT1G04520,unM,AT5G43980,unM,transposed,Same,unM-unM,0.299882822108402,0.25022380652402,0.0496590155843816,-0.186818648984202
AT1G04580,gbM,AT5G20960,unM,transposed,Different,gbM-unM,0.576091881713753,0.613816658666215,0.0377247769524618,0.0193410584288598
AT1G04600,gbM,AT2G33240,unM,wgd,Different,gbM-unM,0.483612544990171,0.614095610936636,0.130483065946465,0.988969055917233
AT1G04760,unM,AT1G04750,unM,tandem,Same,unM-unM,0.114620656831081,0.540255096350715,0.425634439519633,-0.111059374561755
AT1G04780,gbM,AT3G24210,Unclassified,dispersed,Undetermined,gbM-Unclassified,0.767260190173631,0.194216508510433,0.573043681663198,-0.0816234569850629
AT1G04890,gbM,AT4G13630,unM,dispersed,Different,gbM-unM,0.247850840696319,0.893515002333408,0.64566416163709,-0.0918524079288762
AT1G04920,gbM,AT4G10120,unM,dispersed,Different,gbM-unM,0.330724242027749,0.483074278107674,0.152350036079925,0.0127058554546024
AT1G04940,gbM,AT4G03320,Unclassified,dispersed,Undetermined,gbM-Unclassified,0.45758036089124,0.299296098520855,0.158284262370385,-0.235518442707794
AT1G04950,unM,AT1G54360,Unclassified,dispersed,Undetermined,unM-Unclassified,0.0952755675730683,0.150867590749805,0.0555920231767364,-0.0178492172312991
AT1G05035,unM,AT1G06148,teM,dispersed,Different,unM-teM,0.688916531270561,0.79288067261954,0.103964141348979,-0.0772231422018603
AT1G05070,gbM,AT2G32580,Unclassified,wgd,Undetermined,gbM-Unclassified,0.121882392499547,0.118548180526439,0.0033342119731084,0.503464951278831
AT1G05120,Unclassified,AT1G02670,Unclassified,dispersed,Undetermined,Unclassified-Unclassified,0.559507012947968,0.263420600014037,0.296086412933931,-0.0562361903049485
AT1G05170,gbM,AT4G26940,unM,transposed,Different,gbM-unM,0.172756453758671,0.286106152991594,0.113349699232923,-0.0235902255818022
AT1G05220,unM,AT1G05210,unM,tandem,Same,unM-unM,0.343759218102541,0.694525172698413,0.350765954595872,0.636576946749134
AT1G05270,unM,AT2G32340,Unclassified,wgd,Undetermined,unM-Unclassified,0.363049931766575,0.179194580392611,0.183855351373964,0.270669170149636
AT1G05320,gbM,AT2G32240,unM,wgd,Different,gbM-unM,0.208493007036602,0.183287607304652,0.02520539973195,0.120136613052702
AT1G05360,gbM,AT4G14950,Unclassified,dispersed,Undetermined,gbM-Unclassified,0.265849440066474,0.278812003450728,0.0129625633842548,0.592239062333806
AT1G05490,gbM,AT3G24340,unM,dispersed,Different,gbM-unM,0.418263518003234,0.470110722805211,0.0518472048019774,0.95598759886227
AT1G05520,gbM,AT3G23660,Unclassified,transposed,Undetermined,gbM-Unclassified,0.150623071749525,0.1263138952596,0.0243091764899251,0.703707056368196
AT1G05550,unM,AT1G05540,unM,tandem,Same,unM-unM,0.322760052473302,0.597101704931661,0.274341652458359,0.656631369542279
AT1G05560,unM,AT1G05530,unM,proximal,Same,unM-unM,0.839578578009134,0.367677566789549,0.471901011219585,-0.1192391924476
AT1G05570,gbM,AT5G13000,gbM,transposed,Same,gbM-gbM,0.126270169596439,0.195079413474183,0.0688092438777432,0.00351246566444684
AT1G05575,unM,AT1G55207,unM,transposed,Same,unM-unM,0.745046016988404,0.569317163556482,0.175728853431922,0.0677640175561274
AT1G05600,unM,AT1G07740,Unclassified,dispersed,Undetermined,unM-Unclassified,0.139662221182983,0.218022848211094,0.0783606270281104,0.0476363779143197
AT1G05615,unM,AT2G24670,unM,transposed,Same,unM-unM,0.961897209557578,0.857579676030031,0.104317533527547,0.228390394359932
AT1G05630,gbM,AT2G43900,gbM,transposed,Same,gbM-gbM,0.394823967079353,0.381786865999212,0.0130371010801405,0.973921270314334
AT1G05660,unM,AT1G05650,unM,tandem,Same,unM-unM,0.92274785664557,0.904919852072598,0.0178280045729724,0.994910900118175
AT1G05680,unM,AT1G05675,unM,tandem,Same,unM-unM,0.648654544431093,0.568633755523873,0.0800207889072205,-0.0239652765996301
AT1G05700,gbM,AT4G29990,Unclassified,transposed,Undetermined,gbM-Unclassified,0.176335055419099,0.821552391835083,0.645217336415984,-0.0501409612016976
AT1G05740,unM,AT1G05730,unM,tandem,Same,unM-unM,0.348115660117663,0.765625442516732,0.41750978239907,0.310919573523062
AT1G05760,unM,AT1G05770,Unclassified,tandem,Undetermined,unM-Unclassified,0.37569477927146,NA,NA,NA
AT1G05783,teM,AT1G05035,teM,dispersed,Same,teM-teM,0.79288067261954,0.462006505573766,0.330874167045773,-0.123130996643346
AT1G05880,gbM,AT2G31510,unM,wgd,Different,gbM-unM,0.115133696682414,0.86961840773197,0.754484711049556,-0.00683114294841723
AT1G05890,unM,AT1G05880,Unclassified,tandem,Undetermined,unM-Unclassified,0.86961840773197,0.172798475243728,0.696819932488242,0.032494623176165
AT1G05894,unM,AT2G31480,Unclassified,wgd,Undetermined,unM-Unclassified,0.783153472627922,0.579896624710307,0.203256847917614,-0.0588231014207738
AT1G05920,unM,AT3G49610,unM,transposed,Same,unM-unM,0.957005515051475,0.911815601363227,0.0451899136882482,0.438636154357528
AT1G05920,unM,AT1G32030,unM,transposed,Same,unM-unM,0.928512938196497,0.911815601363227,0.0166973368332701,0.611338181487936
AT1G05920,unM,AT3G24850,unM,transposed,Same,unM-unM,0.93249070082514,0.911815601363227,0.0206750994619131,0.986104988239174
AT1G05920,unM,AT5G24050,unM,transposed,Same,unM-unM,0.938880503619866,0.911815601363227,0.0270649022566389,0.843366920698619
AT1G05930,unM,AT1G05920,unM,tandem,Same,unM-unM,0.911815601363227,0.907955499689987,0.00386010167324002,0.978125157609327
AT1G06030,unM,AT1G06020,unM,tandem,Same,unM-unM,0.550305889402259,0.755996110189867,0.205690220787609,0.0467184634875855
AT1G06040,gbM,AT2G31380,unM,wgd,Different,gbM-unM,0.467939536467037,0.20213405831242,0.265805478154616,0.855962220148323
AT1G06070,unM,AT2G31370,Unclassified,wgd,Undetermined,unM-Unclassified,0.140002079451796,0.123207484713728,0.0167945947380679,-0.22014014344985
AT1G06100,unM,AT1G06090,unM,tandem,Same,unM-unM,0.723699125014033,0.799188437724132,0.0754893127100988,0.0523442905238573
AT1G06120,unM,AT1G06100,unM,proximal,Same,unM-unM,0.799188437724132,0.928164072889889,0.128975635165757,-0.0365730184486326
AT1G06137,unM,AT1G06135,unM,tandem,Same,unM-unM,0.86468800492678,0.936219612303229,0.071531607376449,0.401093252193745
AT1G06220,unM,AT5G25230,Unclassified,dispersed,Undetermined,unM-Unclassified,0.486333083602794,0.0948293948423697,0.391503688760425,-0.212018347342561
AT1G06250,unM,AT4G18550,Unclassified,transposed,Undetermined,unM-Unclassified,0.573535044658545,0.425604698074535,0.14793034658401,0.640453496629071
AT1G06310,unM,AT1G06290,unM,tandem,Same,unM-unM,0.233268850779816,0.615996109022488,0.382727258242672,-0.0392861763934875
AT1G06360,unM,AT1G06350,unM,tandem,Same,unM-unM,0.617808206796246,0.550214065429932,0.067594141366314,-0.0775135046371323
AT1G06430,gbM,AT2G30950,Unclassified,wgd,Undetermined,gbM-Unclassified,0.181538262345844,0.304094197243043,0.122555934897198,0.701845431230967
AT1G06580,gbM,AT5G41170,Unclassified,transposed,Undetermined,gbM-Unclassified,0.380516195526161,0.12732489068761,0.253191304838551,-0.384051863639937
AT1G06620,unM,AT3G61400,unM,transposed,Same,unM-unM,0.90213292922062,0.390729957631266,0.511402971589353,0.0961111787495556
AT1G06630,unM,AT1G64540,Unclassified,transposed,Undetermined,unM-Unclassified,0.590773712700749,0.202618648127363,0.388155064573386,0.514896368192133
AT1G06650,unM,AT1G06645,unM,tandem,Same,unM-unM,0.381878796893568,0.235707218509154,0.146171578384414,0.566837353140727
AT1G06700,teM,AT2G30730,Unclassified,wgd,Undetermined,teM-Unclassified,0.771769303298277,0.334500805339376,0.437268497958902,0.00158961609685607
AT1G06750,unM,AT1G04280,unM,transposed,Same,unM-unM,0.236517924384814,0.758597962483953,0.522080038099139,-0.196810041965435
AT1G06780,gbM,AT2G30575,Unclassified,wgd,Undetermined,gbM-Unclassified,0.232528166063402,0.250959727454425,0.0184315613910228,0.64555860466358
AT1G06810,unM,AT1G05400,unM,dispersed,Same,unM-unM,0.540907559563694,0.827969593844582,0.287062034280888,0.278515949356679
AT1G06910,unM,AT5G58340,Unclassified,wgd,Undetermined,unM-Unclassified,0.18853643200611,0.155777997009233,0.0327584349968767,-0.199387940839206
AT1G06920,unM,AT5G01840,unM,transposed,Same,unM-unM,0.390759218159345,0.770531510196507,0.379772292037162,0.0221546089140272
AT1G06960,unM,AT2G30260,Unclassified,wgd,Undetermined,unM-Unclassified,0.220872428389623,0.250197457731474,0.0293250293418506,-0.23642343123592
AT1G06990,unM,AT2G40250,unM,transposed,Same,unM-unM,0.670299240285621,0.907989237958072,0.237689997672451,0.26479934213873
AT1G07080,gbM,AT5G01580,Unclassified,dispersed,Undetermined,gbM-Unclassified,0.357080885138157,0.255634665323525,0.101446219814632,-0.182855300238349
AT1G07090,unM,AT2G42610,unM,transposed,Same,unM-unM,0.464511595042035,0.340061430346137,0.124450164695898,0.0177863435050499
AT1G07090,unM,AT4G18610,unM,transposed,Same,unM-unM,0.629791204006477,0.340061430346137,0.28972977366034,-0.0220896817798114
AT1G07190,gbM,AT5G26860,unM,transposed,Different,gbM-unM,0.160995463833854,0.943987556092255,0.782992092258401,0.235695442923381
AT1G07260,unM,AT1G07250,unM,tandem,Same,unM-unM,0.160063658317512,0.392712907286836,0.232649248969324,-0.231771760428947
AT1G07330,unM,AT2G29620,Unclassified,wgd,Undetermined,unM-Unclassified,0.740676186985549,0.770929219901431,0.0302530329158816,0.991161388517385
AT1G07330,unM,AT5G58880,Unclassified,wgd,Undetermined,unM-Unclassified,0.870431225845183,0.770929219901431,0.0995020059437524,0.998413284460859
AT1G07380,gbM,AT5G58980,Unclassified,wgd,Undetermined,gbM-Unclassified,0.234967988418494,0.174165686399583,0.0608023020189115,0.535398674992809
AT1G07400,unM,AT1G59860,unM,transposed,Same,unM-unM,0.621583173363265,0.582299068265604,0.0392841050976607,0.90520069896376
AT1G07430,unM,AT3G11410,unM,transposed,Same,unM-unM,0.232354884038567,0.394862766276009,0.162507882237442,0.683906985418574
AT1G07440,unM,AT2G30670,unM,transposed,Same,unM-unM,0.904121412852451,0.258205628910041,0.64591578394241,-0.175370158554618
AT1G07450,unM,AT1G07440,unM,tandem,Same,unM-unM,0.258205628910041,0.470070265330116,0.211864636420076,0.342609657732359
AT1G07473,gbM,AT1G07476,unM,tandem,Different,gbM-unM,0.720560318565904,0.732071702400286,0.0115113838343827,0.311700987682806
AT1G07480,gbM,AT1G07470,gbM,proximal,Same,gbM-gbM,0.234517492216755,0.26561708172682,0.031099589510065,0.948311659582826
AT1G07520,gbM,AT1G07530,Unclassified,tandem,Undetermined,gbM-Unclassified,0.262489236358511,NA,NA,NA
AT1G07540,unM,AT3G12560,unM,transposed,Same,unM-unM,0.217123705506667,0.839030980729867,0.6219072752232,0.676920300918823
AT1G07550,gbM,AT5G59650,unM,wgd,Different,gbM-unM,0.303821733736285,0.903598759548037,0.599777025811753,0.135612409374879
AT1G07560,unM,AT1G07550,unM,tandem,Same,unM-unM,0.903598759548037,0.874458066033879,0.0291406935141579,0.984383183771862
AT1G07570,gbM,AT2G28930,Unclassified,wgd,Undetermined,gbM-Unclassified,0.236686118390645,0.228080565374075,0.00860555301657001,0.319560822428155
AT1G07570,gbM,AT5G02290,Unclassified,wgd,Undetermined,gbM-Unclassified,0.180297027015164,0.228080565374075,0.0477835383589107,-0.253350244709044
AT1G07795,unM,AT2G37530,unM,transposed,Same,unM-unM,0.368143956682797,0.754771350083201,0.386627393400404,0.472031721769908
AT1G07810,gbM,AT1G07670,gbM,dispersed,Same,gbM-gbM,0.134620876325719,0.202132149736253,0.0675112734105338,0.548115090048665
AT1G07870,unM,AT2G28590,Unclassified,wgd,Undetermined,unM-Unclassified,0.425204338894092,0.329716222153114,0.0954881167409785,0.873902385127086
AT1G07870,gbM,AT5G02800,Unclassified,wgd,Undetermined,gbM-Unclassified,0.131259040173261,0.329716222153114,0.198457181979853,0.178080932674933
AT1G07930,unM,AT1G07920,Unclassified,tandem,Undetermined,unM-Unclassified,0.148176382265524,0.135138208624923,0.0130381736406009,0.931512098911187
AT1G07930,unM,AT1G07940,Unclassified,tandem,Undetermined,unM-Unclassified,0.138032920600231,0.135138208624923,0.00289471197530713,0.938793674994737
AT1G07990,gbM,AT3G45190,gbM,transposed,Same,gbM-gbM,0.113004749325859,0.108801949607129,0.00420279971873039,0.640648739645433
AT1G08000,unM,AT2G28340,Unclassified,wgd,Undetermined,unM-Unclassified,0.716639128251392,0.155782054197238,0.560857074054154,0.269872747367742
AT1G08000,gbM,AT1G08010,Unclassified,proximal,Undetermined,gbM-Unclassified,0.158438317497734,0.155782054197238,0.00265626330049623,0.610764078550536
AT1G08040,gbM,AT2G28310,Unclassified,wgd,Undetermined,gbM-Unclassified,0.161058249533464,0.159763377417431,0.00129487211603233,-0.0221463918401688
AT1G08080,unM,AT1G08065,unM,proximal,Same,unM-unM,0.869132873490801,0.346979820274934,0.522153053215867,0.221847502691414
AT1G08100,unM,AT1G08090,unM,tandem,Same,unM-unM,0.784197671101799,0.953426470433093,0.169228799331294,0.200969460859479
AT1G08130,unM,AT1G49250,Unclassified,dispersed,Undetermined,unM-Unclassified,0.737777248675271,0.153947224481506,0.583830024193764,0.518306711162151
AT1G08150,unM,AT1G08140,unM,tandem,Same,unM-unM,0.800244632209118,0.813706292723436,0.0134616605143183,0.99911200356955
AT1G08210,unM,AT5G22850,Unclassified,dispersed,Undetermined,unM-Unclassified,0.205225633349188,0.21766135641549,0.0124357230663022,0.0163198274608843
AT1G08210,teM,AT3G42550,Unclassified,dispersed,Undetermined,teM-Unclassified,0.91583961964408,0.21766135641549,0.69817826322859,0.0212612787737991
AT1G08440,unM,AT1G08430,unM,tandem,Same,unM-unM,0.793908246483946,0.706830532620311,0.0870777138636352,0.117506340518891
AT1G08730,gbM,AT1G54560,Unclassified,wgd,Undetermined,gbM-Unclassified,0.742070996944172,0.621150704010704,0.120920292933468,0.985318386407802
AT1G08770,unM,AT1G04260,unM,dispersed,Same,unM-unM,0.222847189771334,0.344324725623748,0.121477535852414,0.752428365395216
AT1G08790,gbM,AT5G28690,unM,transposed,Different,gbM-unM,0.799010309514648,0.903719909360481,0.104709599845832,0.956612066461448
AT1G08900,unM,AT1G08890,unM,tandem,Same,unM-unM,0.394602234493613,0.399119744671469,0.00451751017785573,0.271350034985317
AT1G08930,unM,AT1G08920,unM,tandem,Same,unM-unM,0.35745498989088,0.359841282064986,0.00238629217410641,0.415968703195138
AT1G09000,unM,AT3G06030,unM,transposed,Same,unM-unM,0.279648810684079,0.231144671939329,0.0485041387447496,0.772554652024416
AT1G09040,Unclassified,AT2G47820,Unclassified,transposed,Undetermined,Unclassified-Unclassified,0.314827782085075,0.323443020679905,0.00861523859483065,0.267473037301386
AT1G09040,gbM,AT1G09050,Unclassified,tandem,Undetermined,gbM-Unclassified,0.338987029172653,0.323443020679905,0.0155440084927476,0.984768597933143
AT1G09090,unM,AT5G51060,Unclassified,transposed,Undetermined,unM-Unclassified,0.629533350371421,0.864659813812293,0.235126463440872,0.833084822743715
AT1G09140,gbM,AT1G02840,Unclassified,transposed,Undetermined,gbM-Unclassified,0.196373628434581,0.280998330726336,0.0846247022917545,0.830097125587614
AT1G09170,gbM,AT5G27000,unM,dispersed,Different,gbM-unM,0.561418657827814,0.732228398159708,0.170809740331894,0.987056159389906
AT1G09250,unM,AT3G05800,unM,transposed,Same,unM-unM,0.420114578236649,0.26119826111958,0.158916317117068,0.0685223669904903
AT1G09250,unM,AT3G17100,unM,transposed,Same,unM-unM,0.167613305018178,0.26119826111958,0.0935849561014025,0.599772245837215
AT1G09250,unM,AT3G06590,unM,transposed,Same,unM-unM,0.18904368814516,0.26119826111958,0.0721545729744208,0.476332831343254
AT1G09310,unM,AT1G56580,Unclassified,wgd,Undetermined,unM-Unclassified,NA,0.240061838577527,NA,NA
