,Duplicate.1,Duplicate.1_Methylation,Duplicate.2,Duplicate.2_Methylation,Duplication,Similarity,Classification
102,AT1G11700,Unmethylated,AT1G61930,Unmethylated,wgd,Same,Unmethylated-Unmethylated
103,AT1G11740,Unmethylated,AT1G62050,Unmethylated,wgd,Same,Unmethylated-Unmethylated
104,AT1G11910,Unclassified,AT1G62290,Unclassified,wgd,Undetermined,Unclassified-Unclassified
105,AT1G11940,Unclassified,AT1G62305,Unmethylated,wgd,Undetermined,NA
106,AT1G11950,gbM,AT1G62310,Unclassified,wgd,Undetermined,gbM-Unclassified
107,AT1G11960,gbM,AT1G62320,Unclassified,wgd,Undetermined,gbM-Unclassified
108,AT1G11990,Unmethylated,AT1G62330,Unclassified,wgd,Undetermined,NA
109,AT1G12010,Unmethylated,AT1G62380,Unmethylated,wgd,Same,Unmethylated-Unmethylated
110,AT1G12030,Unmethylated,AT1G62420,Unmethylated,wgd,Same,Unmethylated-Unmethylated
111,AT1G12020,Unmethylated,AT1G62422,Unmethylated,wgd,Same,Unmethylated-Unmethylated
112,AT1G12040,Unmethylated,AT1G62440,Unmethylated,wgd,Same,Unmethylated-Unmethylated
113,AT1G12070,Unmethylated,AT1G62450,Unmethylated,wgd,Same,Unmethylated-Unmethylated
114,AT1G12090,Unmethylated,AT1G62510,Unmethylated,wgd,Same,Unmethylated-Unmethylated
115,AT1G12120,gbM,AT1G62530,gbM,wgd,Same,gbM-gbM
116,AT1G12130,Unmethylated,AT1G62540,Unmethylated,wgd,Same,Unmethylated-Unmethylated
117,AT1G12210,Unclassified,AT1G62630,Unmethylated,wgd,Undetermined,NA
118,AT1G12240,Unmethylated,AT1G62660,Unmethylated,wgd,Same,Unmethylated-Unmethylated
119,AT1G12260,Unmethylated,AT1G62700,Unmethylated,wgd,Same,Unmethylated-Unmethylated
120,AT1G12270,Unmethylated,AT1G62740,Unclassified,wgd,Undetermined,NA
121,AT1G12310,Unmethylated,AT1G62820,Unmethylated,wgd,Same,Unmethylated-Unmethylated
122,AT1G12380,Unmethylated,AT1G62870,Unmethylated,wgd,Same,Unmethylated-Unmethylated
123,AT1G12400,Unmethylated,AT1G62886,Unmethylated,wgd,Same,Unmethylated-Unmethylated
124,AT1G12460,gbM,AT1G62950,gbM,wgd,Same,gbM-gbM
125,AT1G12540,Unmethylated,AT1G62975,teM,wgd,Different,NA
126,AT1G12560,Unmethylated,AT1G62980,Unmethylated,wgd,Same,Unmethylated-Unmethylated
127,AT1G12610,Unmethylated,AT1G63030,Unmethylated,wgd,Same,Unmethylated-Unmethylated
128,AT1G12640,Unclassified,AT1G63050,Unclassified,wgd,Undetermined,Unclassified-Unclassified
129,AT1G12700,Unclassified,AT1G63070,Unmethylated,wgd,Undetermined,NA
130,AT1G12710,Unmethylated,AT1G63090,Unmethylated,wgd,Same,Unmethylated-Unmethylated
131,AT1G12730,Unclassified,AT1G63110,gbM,wgd,Undetermined,gbM-Unclassified
132,AT1G12750,Unmethylated,AT1G63120,gbM,wgd,Different,NA
133,AT1G62910,gbM,AT1G63130,Unmethylated,wgd,Different,NA
134,AT1G12775,Unclassified,AT1G63130,Unmethylated,wgd,Undetermined,NA
135,AT1G62900,Unmethylated,AT1G63140,Unmethylated,wgd,Same,Unmethylated-Unmethylated
136,AT1G12780,Unmethylated,AT1G63180,Unclassified,wgd,Undetermined,NA
137,AT1G62670,gbM,AT1G63320,Unmethylated,wgd,Different,NA
138,AT1G62630,Unmethylated,AT1G63350,Unmethylated,wgd,Same,Unmethylated-Unmethylated
139,AT1G62610,Unmethylated,AT1G63380,Unmethylated,wgd,Same,Unmethylated-Unmethylated
140,AT1G62590,Unmethylated,AT1G63400,Unclassified,wgd,Undetermined,NA
141,AT1G24320,gbM,AT1G67490,Unclassified,wgd,Undetermined,gbM-Unclassified
142,AT1G24330,Unclassified,AT1G67530,gbM,wgd,Undetermined,gbM-Unclassified
143,AT1G24350,Unclassified,AT1G67600,Unmethylated,wgd,Undetermined,NA
144,AT1G24400,Unmethylated,AT1G67640,Unmethylated,wgd,Same,Unmethylated-Unmethylated
145,AT1G24405,Unmethylated,AT1G67670,Unclassified,wgd,Undetermined,NA
146,AT1G24570,Unclassified,AT1G67850,Unclassified,wgd,Undetermined,Unclassified-Unclassified
147,AT1G24580,Unmethylated,AT1G67856,Unmethylated,wgd,Same,Unmethylated-Unmethylated
148,AT1G24577,Unmethylated,AT1G67910,Unmethylated,wgd,Same,Unmethylated-Unmethylated
149,AT1G24600,Unmethylated,AT1G67920,Unmethylated,wgd,Same,Unmethylated-Unmethylated
150,AT1G24735,Unmethylated,AT1G67980,teM,wgd,Different,NA
151,AT1G24764,gbM,AT1G68060,gbM,wgd,Same,gbM-gbM
152,AT1G25240,Unmethylated,AT1G68110,Unclassified,wgd,Undetermined,NA
153,AT1G25250,Unmethylated,AT1G68130,Unmethylated,wgd,Same,Unmethylated-Unmethylated
154,AT1G25270,Unmethylated,AT1G68170,Unmethylated,wgd,Same,Unmethylated-Unmethylated
155,AT1G25340,Unmethylated,AT1G68320,Unmethylated,wgd,Same,Unmethylated-Unmethylated
156,AT1G25370,Unmethylated,AT1G68340,Unmethylated,wgd,Same,Unmethylated-Unmethylated
157,AT1G25400,Unmethylated,AT1G68440,Unmethylated,wgd,Same,Unmethylated-Unmethylated
158,AT1G25410,Unmethylated,AT1G68460,Unmethylated,wgd,Same,Unmethylated-Unmethylated
159,AT1G25422,Unmethylated,AT1G68500,Unmethylated,wgd,Same,Unmethylated-Unmethylated
160,AT1G25440,Unmethylated,AT1G68520,Unmethylated,wgd,Same,Unmethylated-Unmethylated
161,AT1G25450,Unmethylated,AT1G68530,Unmethylated,wgd,Same,Unmethylated-Unmethylated
162,AT1G25460,Unmethylated,AT1G68540,Unmethylated,wgd,Same,Unmethylated-Unmethylated
163,AT1G25470,Unclassified,AT1G68550,Unmethylated,wgd,Undetermined,NA
164,AT1G25480,Unmethylated,AT1G68600,Unclassified,wgd,Undetermined,NA
165,AT1G25520,Unmethylated,AT1G68650,Unclassified,wgd,Undetermined,NA
166,AT1G25550,Unmethylated,AT1G68670,Unmethylated,wgd,Same,Unmethylated-Unmethylated
167,AT1G26130,gbM,AT1G68710,Unclassified,wgd,Undetermined,gbM-Unclassified
168,AT1G26210,Unmethylated,AT1G68870,Unmethylated,wgd,Same,Unmethylated-Unmethylated
169,AT1G26260,gbM,AT1G68920,gbM,wgd,Same,gbM-gbM
170,AT1G26300,Unmethylated,AT1G69030,Unmethylated,wgd,Same,Unmethylated-Unmethylated
171,AT1G26310,Unmethylated,AT1G69120,Unmethylated,wgd,Same,Unmethylated-Unmethylated
172,AT1G26355,Unmethylated,AT1G69230,Unmethylated,wgd,Same,Unmethylated-Unmethylated
173,AT1G26360,Unmethylated,AT1G69240,Unmethylated,wgd,Same,Unmethylated-Unmethylated
174,AT1G13740,Unmethylated,AT1G69260,Unmethylated,wgd,Same,Unmethylated-Unmethylated
175,AT1G13830,Unmethylated,AT1G69295,gbM,wgd,Different,NA
176,AT1G26450,Unmethylated,AT1G69295,gbM,wgd,Different,NA
177,AT1G26600,Unmethylated,AT1G69320,Unmethylated,wgd,Same,Unmethylated-Unmethylated
178,AT1G13920,Unmethylated,AT1G69325,Unmethylated,wgd,Same,Unmethylated-Unmethylated
179,AT1G13940,Unclassified,AT1G69360,gbM,wgd,Undetermined,gbM-Unclassified
180,AT1G26620,gbM,AT1G69360,gbM,wgd,Same,gbM-gbM
181,AT1G26630,Unmethylated,AT1G69410,Unmethylated,wgd,Same,Unmethylated-Unmethylated
182,AT1G13950,Unmethylated,AT1G69410,Unmethylated,wgd,Same,Unmethylated-Unmethylated
183,AT1G26650,Unmethylated,AT1G69430,Unmethylated,wgd,Same,Unmethylated-Unmethylated
184,AT1G26690,Unclassified,AT1G69460,Unmethylated,wgd,Undetermined,NA
185,AT1G14010,Unclassified,AT1G69460,Unmethylated,wgd,Undetermined,NA
186,AT1G26730,Unmethylated,AT1G69480,Unmethylated,wgd,Same,Unmethylated-Unmethylated
187,AT1G14040,Unmethylated,AT1G69480,Unmethylated,wgd,Same,Unmethylated-Unmethylated
188,AT1G26740,Unmethylated,AT1G69485,Unmethylated,wgd,Same,Unmethylated-Unmethylated
189,AT1G26770,Unmethylated,AT1G69530,Unmethylated,wgd,Same,Unmethylated-Unmethylated
190,AT1G26780,Unmethylated,AT1G69560,Unmethylated,wgd,Same,Unmethylated-Unmethylated
191,AT1G26880,Unmethylated,AT1G69620,Unmethylated,wgd,Same,Unmethylated-Unmethylated
192,AT1G26890,Unmethylated,AT1G69630,Unmethylated,wgd,Same,Unmethylated-Unmethylated
193,AT1G14290,Unclassified,AT1G69640,gbM,wgd,Undetermined,gbM-Unclassified
194,AT1G26920,Unmethylated,AT1G69760,Unmethylated,wgd,Same,Unmethylated-Unmethylated
195,AT1G26960,Unmethylated,AT1G69780,Unmethylated,wgd,Same,Unmethylated-Unmethylated
196,AT1G26970,Unmethylated,AT1G69790,Unclassified,wgd,Undetermined,NA
197,AT1G14370,Unclassified,AT1G69790,Unclassified,wgd,Undetermined,Unclassified-Unclassified
198,AT1G27040,Unmethylated,AT1G69850,Unclassified,wgd,Undetermined,NA
199,AT1G27080,Unmethylated,AT1G69860,Unmethylated,wgd,Same,Unmethylated-Unmethylated
200,AT1G27100,Unmethylated,AT1G69890,Unmethylated,wgd,Same,Unmethylated-Unmethylated
201,AT1G59710,Unmethylated,AT1G69890,Unmethylated,wgd,Same,Unmethylated-Unmethylated
202,AT1G27130,Unmethylated,AT1G69920,Unmethylated,wgd,Same,Unmethylated-Unmethylated
203,AT1G59830,Unmethylated,AT1G69960,Unclassified,wgd,Undetermined,NA
204,AT1G27190,Unclassified,AT1G69990,Unclassified,wgd,Undetermined,Unclassified-Unclassified
205,AT1G24190,gbM,AT1G70030,Unmethylated,wgd,Different,NA
206,AT1G59890,gbM,AT1G70030,Unmethylated,wgd,Different,NA
207,AT1G27220,teM,AT1G70030,Unmethylated,wgd,Different,NA
208,AT1G24170,Unmethylated,AT1G70090,Unmethylated,wgd,Same,Unmethylated-Unmethylated
209,AT1G24160,gbM,AT1G70100,Unclassified,wgd,Undetermined,gbM-Unclassified
210,AT1G59910,Unclassified,AT1G70140,Unmethylated,wgd,Undetermined,NA
211,AT1G24150,Unmethylated,AT1G70140,Unmethylated,wgd,Same,Unmethylated-Unmethylated
212,AT1G24140,Unmethylated,AT1G70170,Unmethylated,wgd,Same,Unmethylated-Unmethylated
213,AT1G59970,Unmethylated,AT1G70170,Unmethylated,wgd,Same,Unmethylated-Unmethylated
214,AT1G24050,Unclassified,AT1G70220,Unmethylated,wgd,Undetermined,NA
215,AT1G60050,Unmethylated,AT1G70260,Unmethylated,wgd,Same,Unmethylated-Unmethylated
216,AT1G23965,Unmethylated,AT1G70270,Unmethylated,wgd,Same,Unmethylated-Unmethylated
217,AT1G23880,gbM,AT1G70280,gbM,wgd,Same,gbM-gbM
218,AT1G23870,gbM,AT1G70290,Unclassified,wgd,Undetermined,gbM-Unclassified
219,AT1G60140,gbM,AT1G70290,Unclassified,wgd,Undetermined,gbM-Unclassified
220,AT1G23820,Unclassified,AT1G70310,Unmethylated,wgd,Undetermined,NA
221,AT1G23790,Unmethylated,AT1G70340,Unclassified,wgd,Undetermined,NA
222,AT1G23770,Unmethylated,AT1G70360,Unmethylated,wgd,Same,Unmethylated-Unmethylated
223,AT1G23760,Unmethylated,AT1G70370,Unmethylated,wgd,Same,Unmethylated-Unmethylated
224,AT1G60170,gbM,AT1G70400,Unclassified,wgd,Undetermined,gbM-Unclassified
225,AT1G23730,Unmethylated,AT1G70410,Unmethylated,wgd,Same,Unmethylated-Unmethylated
226,AT1G23710,Unmethylated,AT1G70420,Unmethylated,wgd,Same,Unmethylated-Unmethylated
227,AT1G23550,Unmethylated,AT1G70440,Unmethylated,wgd,Same,Unmethylated-Unmethylated
228,AT1G23540,Unmethylated,AT1G70450,Unmethylated,wgd,Same,Unmethylated-Unmethylated
229,AT1G23530,Unmethylated,AT1G70470,Unmethylated,wgd,Same,Unmethylated-Unmethylated
230,AT1G23490,Unclassified,AT1G70490,Unmethylated,wgd,Undetermined,NA
231,AT1G23460,Unmethylated,AT1G70500,Unmethylated,wgd,Same,Unmethylated-Unmethylated
232,AT1G23380,Unmethylated,AT1G70510,Unmethylated,wgd,Same,Unmethylated-Unmethylated
233,AT1G23350,Unmethylated,AT1G70540,Unmethylated,wgd,Same,Unmethylated-Unmethylated
234,AT1G23340,Unmethylated,AT1G70550,Unmethylated,wgd,Same,Unmethylated-Unmethylated
235,AT1G23320,Unmethylated,AT1G70560,Unmethylated,wgd,Same,Unmethylated-Unmethylated
236,AT1G23310,Unclassified,AT1G70580,Unclassified,wgd,Undetermined,Unclassified-Unclassified
237,AT1G23290,Unmethylated,AT1G70600,Unmethylated,wgd,Same,Unmethylated-Unmethylated
238,AT1G23260,Unclassified,AT1G70660,Unmethylated,wgd,Undetermined,NA
239,AT1G23240,Unmethylated,AT1G70670,Unmethylated,wgd,Same,Unmethylated-Unmethylated
240,AT1G23210,Unmethylated,AT1G70710,Unmethylated,wgd,Same,Unmethylated-Unmethylated
241,AT1G23205,Unmethylated,AT1G70720,Unmethylated,wgd,Same,Unmethylated-Unmethylated
242,AT1G23190,gbM,AT1G70730,Unclassified,wgd,Undetermined,gbM-Unclassified
243,AT1G23170,Unclassified,AT1G70770,Unclassified,wgd,Undetermined,Unclassified-Unclassified
244,AT1G23150,Unmethylated,AT1G70780,Unmethylated,wgd,Same,Unmethylated-Unmethylated
245,AT1G23140,Unmethylated,AT1G70790,gbM,wgd,Different,NA
246,AT1G23120,Unmethylated,AT1G70830,Unclassified,wgd,Undetermined,NA
247,AT1G23110,Unmethylated,AT1G70900,Unclassified,wgd,Undetermined,NA
248,AT1G23080,Unmethylated,AT1G70940,Unmethylated,wgd,Same,Unmethylated-Unmethylated
249,AT1G23060,Unmethylated,AT1G70950,Unclassified,wgd,Undetermined,NA
250,AT1G23050,Unmethylated,AT1G70985,Unmethylated,wgd,Same,Unmethylated-Unmethylated
251,AT1G23040,Unmethylated,AT1G70990,Unmethylated,wgd,Same,Unmethylated-Unmethylated
252,AT1G23030,gbM,AT1G71020,Unclassified,wgd,Undetermined,gbM-Unclassified
253,AT1G23010,Unmethylated,AT1G71040,Unmethylated,wgd,Same,Unmethylated-Unmethylated
254,AT1G22990,Unmethylated,AT1G71050,Unmethylated,wgd,Same,Unmethylated-Unmethylated
255,AT1G22985,Unmethylated,AT1G71130,Unmethylated,wgd,Same,Unmethylated-Unmethylated
256,AT1G22970,Unclassified,AT1G71150,Unclassified,wgd,Undetermined,Unclassified-Unclassified
257,AT1G22920,Unmethylated,AT1G71230,Unmethylated,wgd,Same,Unmethylated-Unmethylated
258,AT1G22882,Unmethylated,AT1G71360,gbM,wgd,Different,NA
259,AT1G22880,Unclassified,AT1G71380,Unmethylated,wgd,Undetermined,NA
260,AT1G22870,Unclassified,AT1G71410,gbM,wgd,Undetermined,gbM-Unclassified
261,AT1G22830,gbM,AT1G71490,Unclassified,wgd,Undetermined,gbM-Unclassified
262,AT1G22810,Unmethylated,AT1G71520,Unmethylated,wgd,Same,Unmethylated-Unmethylated
263,AT1G22760,Unmethylated,AT1G71770,Unmethylated,wgd,Same,Unmethylated-Unmethylated
264,AT1G22710,Unmethylated,AT1G71880,Unmethylated,wgd,Same,Unmethylated-Unmethylated
265,AT1G22680,Unmethylated,AT1G71970,Unmethylated,wgd,Same,Unmethylated-Unmethylated
266,AT1G22670,Unmethylated,AT1G71980,Unclassified,wgd,Undetermined,NA
267,AT1G22650,Unmethylated,AT1G72000,Unmethylated,wgd,Same,Unmethylated-Unmethylated
268,AT1G22600,Unmethylated,AT1G72100,Unmethylated,wgd,Same,Unmethylated-Unmethylated
269,AT1G22540,Unclassified,AT1G72120,Unmethylated,wgd,Undetermined,NA
270,AT1G22530,Unmethylated,AT1G72150,Unmethylated,wgd,Same,Unmethylated-Unmethylated
271,AT1G22520,Unmethylated,AT1G72170,Unmethylated,wgd,Same,Unmethylated-Unmethylated
272,AT1G22510,Unclassified,AT1G72175,Unmethylated,wgd,Undetermined,NA
273,AT1G22500,Unmethylated,AT1G72200,Unmethylated,wgd,Same,Unmethylated-Unmethylated
274,AT1G22490,Unmethylated,AT1G72210,Unmethylated,wgd,Same,Unmethylated-Unmethylated
275,AT1G22480,Unmethylated,AT1G72230,Unmethylated,wgd,Same,Unmethylated-Unmethylated
276,AT1G22470,Unmethylated,AT1G72240,Unmethylated,wgd,Same,Unmethylated-Unmethylated
277,AT1G17290,gbM,AT1G72330,gbM,wgd,Same,gbM-gbM
278,AT1G17310,Unmethylated,AT1G72350,Unmethylated,wgd,Same,Unmethylated-Unmethylated
279,AT1G17350,Unclassified,AT1G72420,Unclassified,wgd,Undetermined,Unclassified-Unclassified
280,AT1G17380,Unmethylated,AT1G72450,Unmethylated,wgd,Same,Unmethylated-Unmethylated
281,AT1G17400,Unclassified,AT1G72490,Unmethylated,wgd,Undetermined,NA
282,AT1G17420,Unmethylated,AT1G72520,Unmethylated,wgd,Same,Unmethylated-Unmethylated
283,AT1G17430,Unmethylated,AT1G72620,Unmethylated,wgd,Same,Unmethylated-Unmethylated
284,AT1G17455,Unmethylated,AT1G72630,Unmethylated,wgd,Same,Unmethylated-Unmethylated
285,AT1G17460,Unclassified,AT1G72650,gbM,wgd,Undetermined,gbM-Unclassified
286,AT1G17470,Unclassified,AT1G72660,Unmethylated,wgd,Undetermined,NA
287,AT1G17480,Unclassified,AT1G72670,Unmethylated,wgd,Undetermined,NA
288,AT1G17490,Unmethylated,AT1G72690,Unmethylated,wgd,Same,Unmethylated-Unmethylated
289,AT1G17500,gbM,AT1G72700,gbM,wgd,Same,gbM-gbM
290,AT1G17520,Unclassified,AT1G72740,Unclassified,wgd,Undetermined,Unclassified-Unclassified
291,AT1G17530,Unmethylated,AT1G72750,Unmethylated,wgd,Same,Unmethylated-Unmethylated
292,AT1G17540,Unclassified,AT1G72760,Unmethylated,wgd,Undetermined,NA
293,AT1G17550,gbM,AT1G72770,gbM,wgd,Same,gbM-gbM
294,AT1G17590,Unmethylated,AT1G72830,Unmethylated,wgd,Same,Unmethylated-Unmethylated
