Feature,Methylation,Duplication,tau
AT1G01980,Unmethylated,transposed,0.771844230993869
AT1G01990,Unmethylated,unclassified,0.233234093313075
AT1G02000,Unmethylated,dispersed,0.510077624242196
AT1G02010,gbM,transposed,0.451210587664397
AT1G02020,Unmethylated,unclassified,0.191106361832188
AT1G02030,Unmethylated,transposed,0.564755934367623
AT1G02040,Unmethylated,unclassified,0.816613925446561
AT1G02050,gbM,dispersed,0.528301386605305
AT1G02060,Unmethylated,unclassified,0.223567775982763
AT1G02065,Unmethylated,unclassified,0.606183562752802
AT1G02067,Unmethylated,unclassified,0.903057494658062
AT1G02070,Unmethylated,dispersed,0.57163424390443
AT1G02080,gbM,unclassified,0.0893692496833231
AT1G02090,Unmethylated,unclassified,0.213622385029887
AT1G02100,Unclassified,unclassified,0.238884341154439
AT1G02110,Unclassified,transposed,0.15013821389835
AT1G02120,Unmethylated,unclassified,0.118720098466445
AT1G02130,Unmethylated,transposed,0.0756087607281532
AT1G02140,Unmethylated,unclassified,0.189535592693649
AT1G02145,Unclassified,unclassified,0.0691297908256186
AT1G02150,Unmethylated,unclassified,0.151106122444262
AT1G02160,Unmethylated,unclassified,0.167587396373001
AT1G02170,Unmethylated,unclassified,0.241180298639974
AT1G02180,Unmethylated,unclassified,0.268288755112317
AT1G02190,Unmethylated,tandem,0.527976367173551
AT1G02205,Unmethylated,tandem,0.302473046290125
AT1G02210,Unmethylated,unclassified,0.978539354819912
AT1G02220,Unmethylated,tandem,0.596399525993721
AT1G02230,Unmethylated,tandem,0.629928762539065
AT1G02250,Unmethylated,tandem,0.750085370148983
AT1G02260,Unclassified,unclassified,0.144924030802492
AT1G02270,Unmethylated,dispersed,0.271967487109102
AT1G02280,gbM,dispersed,0.168186259208637
AT1G02290,Unmethylated,unclassified,0.16558653102397
AT1G02300,Unmethylated,wgd,0.29008398803046
AT1G02305,Unclassified,tandem,0.203775168232663
AT1G02310,Unmethylated,unclassified,0.668817435719989
AT1G02320,NA,unclassified,0.981422489306298
AT1G02330,Unclassified,unclassified,0.142724285367253
AT1G02335,Unmethylated,transposed,0.348140831557326
AT1G02340,Unmethylated,unclassified,0.479041373441819
AT1G02350,Unmethylated,unclassified,0.243984246832855
AT1G02360,Unmethylated,wgd,0.71293715127401
AT1G02370,Unmethylated,wgd,0.205108512330366
AT1G02380,Unmethylated,wgd,0.455432471071203
AT1G02390,Unmethylated,wgd,0.53077734275267
AT1G02400,Unmethylated,unclassified,0.482138490534909
AT1G02405,Unmethylated,transposed,0.627116103289597
AT1G02410,Unmethylated,unclassified,0.105814605860835
AT1G02420,Unclassified,unclassified,0.154966057712726
AT1G02430,Unclassified,tandem,0.381621139189794
AT1G02440,Unmethylated,tandem,0.664123653328661
AT1G02450,Unmethylated,unclassified,0.400121884459811
AT1G02460,Unmethylated,wgd,0.4469360645753
AT1G02470,Unmethylated,wgd,0.523241049004501
AT1G02475,Unmethylated,tandem,0.182455662946984
AT1G02490,Unmethylated,unclassified,0.760670338557753
AT1G02500,gbM,wgd,0.144020506468632
AT1G02510,Unmethylated,unclassified,0.882917416842181
AT1G02520,gbM,wgd,0.535545060669217
AT1G02530,Unclassified,tandem,0.610343066448998
AT1G02540,Unmethylated,unclassified,0.954952381669934
AT1G02550,Unmethylated,wgd,0.807762031860713
AT1G02560,Unclassified,unclassified,0.107425210198131
AT1G02570,Unmethylated,wgd,0.784710404930095
AT1G02575,Unmethylated,tandem,0.880767476745265
AT1G02580,Unmethylated,unclassified,0.631746232455261
AT1G02590,Unmethylated,unclassified,0.960841439589432
AT1G02610,Unmethylated,wgd,0.437074456507269
AT1G02620,Unmethylated,unclassified,0.747702063517181
AT1G02630,Unmethylated,unclassified,0.573837149366982
AT1G02640,Unmethylated,dispersed,0.395285087753186
AT1G02650,Unmethylated,wgd,0.567830619330208
AT1G02660,Unclassified,wgd,0.376250225551001
AT1G02670,Unclassified,dispersed,0.559507012947968
AT1G02680,Unmethylated,unclassified,0.243421918474314
AT1G02690,Unclassified,transposed,0.225469966988098
AT1G02700,Unmethylated,wgd,0.69297735636576
AT1G02705,Unmethylated,unclassified,0.573435036610748
AT1G02710,Unmethylated,unclassified,NA
AT1G02720,Unmethylated,wgd,0.19324637636994
AT1G02730,Unmethylated,unclassified,0.304849342012764
AT1G02740,Unclassified,dispersed,0.117327966309521
AT1G02750,Unclassified,wgd,0.200043895801062
AT1G02770,Unmethylated,dispersed,0.495811341109953
AT1G02780,Unmethylated,wgd,0.150163783238079
AT1G02790,Unmethylated,unclassified,0.699875001589585
AT1G02800,Unmethylated,wgd,0.567857683265052
AT1G02810,Unmethylated,wgd,0.461629575288455
AT1G02813,Unmethylated,wgd,0.881322998088756
AT1G02816,Unmethylated,tandem,0.301952997822521
AT1G02820,Unmethylated,wgd,0.60908086990615
AT1G02830,Unmethylated,transposed,0.867200581444803
AT1G02840,gbM,wgd,0.196373628434581
AT1G02850,Unmethylated,wgd,0.462463431929786
AT1G02860,Unmethylated,unclassified,0.36397048945766
AT1G02870,Unclassified,unclassified,0.240771868072098
AT1G02880,Unmethylated,dispersed,0.231965954763814
AT1G02890,gbM,wgd,0.202405315809117
AT1G02900,Unmethylated,transposed,0.579517772306112
AT1G02910,gbM,unclassified,0.152837421745782
AT1G02920,Unmethylated,wgd,0.629293843835509
AT1G02930,Unmethylated,tandem,0.435518190077195
AT1G02940,Unmethylated,unclassified,0.681217199665159
AT1G02950,Unmethylated,proximal,0.293269667560706
AT1G02960,Unmethylated,tandem,0.108369660441322
AT1G02965,Unmethylated,tandem,0.843330522131458
AT1G02970,Unclassified,unclassified,0.285183062031351
AT1G02980,Unclassified,dispersed,0.656335044815467
AT1G02990,gbM,wgd,0.234244426973986
AT1G03000,gbM,unclassified,0.123059571555589
AT1G03010,Unclassified,wgd,0.47984318287276
AT1G03020,Unmethylated,wgd,0.602491956526216
AT1G03030,Unclassified,unclassified,0.274231740877376
AT1G03040,Unmethylated,wgd,0.100970813891985
AT1G03050,Unmethylated,wgd,0.764056352330467
AT1G03055,Unmethylated,unclassified,0.496585112348984
AT1G03060,gbM,wgd,0.236027997708538
AT1G03070,Unmethylated,wgd,0.62810790570545
AT1G03080,Unmethylated,wgd,0.166094128205084
AT1G03090,Unclassified,unclassified,0.342857561096636
AT1G03100,gbM,unclassified,0.221150143244179
AT1G03103,Unmethylated,transposed,0.932576935272184
AT1G03106,Unmethylated,unclassified,0.821577760241632
AT1G03110,Unclassified,unclassified,0.224807602996104
AT1G03120,Unmethylated,transposed,0.645745859395474
AT1G03130,Unmethylated,wgd,0.238245091112121
AT1G03140,Unmethylated,dispersed,0.211165590099302
AT1G03150,Unmethylated,unclassified,0.181892300525318
AT1G03160,Unclassified,unclassified,0.143048107771799
AT1G03165,Unmethylated,unclassified,0.614096273649251
AT1G03170,Unmethylated,wgd,0.47126899767727
AT1G03180,Unmethylated,unclassified,0.310189387980484
AT1G03190,gbM,unclassified,0.155642756234103
AT1G03200,teM,proximal,0.501599397583649
AT1G03210,Unclassified,wgd,0.232690857777101
AT1G03220,Unmethylated,tandem,0.410576587760123
AT1G03230,Unmethylated,tandem,0.262233103744854
AT1G03240,teM,proximal,0.813230753221207
AT1G03250,Unmethylated,unclassified,0.216964765999194
AT1G03260,Unclassified,dispersed,0.223998072220092
AT1G03270,Unclassified,unclassified,0.404742268420482
AT1G03280,gbM,dispersed,0.139990463825884
AT1G03290,Unclassified,wgd,0.176686922225863
AT1G03300,Unclassified,transposed,NA
AT1G03310,gbM,unclassified,0.185937088856353
AT1G03320,Unmethylated,unclassified,0.579589679539151
AT1G03325,Unclassified,unclassified,0.995919330214738
AT1G03330,Unmethylated,unclassified,0.165560878996807
AT1G03340,Unmethylated,wgd,0.475842174574848
AT1G03350,Unmethylated,dispersed,0.147879916443309
AT1G03360,Unclassified,unclassified,0.234946985047765
AT1G03365,gbM,wgd,0.0942113192854741
AT1G03370,Unclassified,unclassified,0.242474485558625
AT1G03380,Unclassified,dispersed,0.190968486687948
AT1G03390,Unmethylated,unclassified,0.883230169282804
AT1G03395,Unmethylated,unclassified,NA
AT1G03400,Unmethylated,tandem,0.333309213942263
AT1G03410,Unmethylated,tandem,0.155264250088314
AT1G03430,Unmethylated,transposed,0.128079845982724
AT1G03440,Unmethylated,wgd,0.231961758249119
AT1G03445,Unmethylated,wgd,0.62550890869896
AT1G03457,Unclassified,wgd,0.492438136785364
AT1G03470,Unclassified,wgd,0.440549283045071
AT1G03475,Unclassified,unclassified,0.160615350243697
AT1G03490,Unmethylated,unclassified,0.899682480327297
AT1G03495,Unmethylated,dispersed,0.331505846128507
AT1G03510,Unclassified,unclassified,0.29273593532045
AT1G03520,gbM,wgd,0.212996990090507
AT1G03530,Unclassified,unclassified,0.164112442139385
AT1G03540,Unclassified,unclassified,0.196603099727615
AT1G03550,gbM,transposed,0.405219132901094
AT1G03560,gbM,unclassified,0.085323469190094
AT1G03590,Unclassified,wgd,0.238390372620298
AT1G03600,Unmethylated,unclassified,0.200073655855527
AT1G03610,Unmethylated,wgd,0.350475408153555
AT1G03620,Unmethylated,dispersed,0.593646074881257
AT1G03630,Unmethylated,transposed,0.212460702898716
AT1G03650,Unclassified,unclassified,0.286662517025943
AT1G03660,Unmethylated,unclassified,0.476262228994924
AT1G03670,Unmethylated,wgd,0.70029302807042
AT1G03680,Unmethylated,wgd,0.176424185558927
AT1G03687,Unclassified,unclassified,0.128686693300627
AT1G03700,Unmethylated,wgd,0.85735057848211
AT1G03710,Unmethylated,wgd,0.476451641388803
AT1G03720,Unmethylated,unclassified,0.805520047553312
AT1G03730,Unmethylated,wgd,0.187369651936722
AT1G03740,Unclassified,wgd,0.27981330489972
AT1G03750,Unclassified,unclassified,0.244724687434357
AT1G03760,Unmethylated,unclassified,0.31638895654622
AT1G03770,gbM,wgd,0.393076280656124
AT1G03780,Unmethylated,wgd,0.311934125115807
AT1G03790,Unmethylated,wgd,0.788825033460724
AT1G03800,Unmethylated,unclassified,0.616620515997086
AT1G03810,teM,wgd,0.9526914793202
AT1G03820,Unmethylated,unclassified,0.404028071211392
AT1G03830,gbM,unclassified,0.193220460704499
AT1G03840,Unmethylated,wgd,0.521949316435403
AT1G03850,Unmethylated,transposed,0.540150073603553
AT1G03860,gbM,wgd,0.216018504215417
AT1G03870,Unmethylated,wgd,0.38243450757999
AT1G03880,Unmethylated,wgd,0.867776239559611
AT1G03890,Unmethylated,tandem,0.891752776198528
AT1G03900,Unclassified,unclassified,0.221633524185154
AT1G03905,Unclassified,wgd,0.365395909626035
AT1G03910,gbM,dispersed,0.185540177735798
AT1G03920,Unmethylated,dispersed,0.574825597726095
AT1G03930,gbM,wgd,0.255320570583352
AT1G03940,Unmethylated,dispersed,0.341140101963708
AT1G03950,Unmethylated,dispersed,0.172938985989294
AT1G03960,Unclassified,wgd,0.148469054846431
AT1G03970,Unmethylated,wgd,0.181125797422594
AT1G03980,Unmethylated,wgd,0.528529073087372
AT1G03982,Unmethylated,wgd,0.927538027658825
AT1G03990,Unmethylated,wgd,0.503714629472106
AT1G04000,Unmethylated,wgd,0.252927732045084
AT1G04010,Unclassified,unclassified,0.154007847678652
AT1G04020,Unclassified,unclassified,0.256452381304719
AT1G04030,Unclassified,wgd,0.232846942471391
AT1G04040,Unmethylated,wgd,0.389578260984424
AT1G04050,gbM,wgd,0.283876214788231
AT1G04070,Unmethylated,wgd,0.224184854175034
AT1G04080,gbM,unclassified,0.0860212086602856
AT1G04090,Unmethylated,wgd,0.610005592714988
AT1G04100,Unmethylated,wgd,0.254706785099708
AT1G04105,Unmethylated,unclassified,0.975128075095413
AT1G04110,Unmethylated,unclassified,0.510215864113636
AT1G04120,gbM,unclassified,0.120572986565504
AT1G04130,Unmethylated,unclassified,0.235163438667252
AT1G04140,gbM,wgd,0.173882849513306
AT1G04150,Unmethylated,unclassified,0.663866658353018
AT1G04160,gbM,wgd,0.394102918156875
AT1G04170,gbM,dispersed,0.116582202534503
AT1G04180,Unmethylated,wgd,0.784123925926527
AT1G04190,Unclassified,unclassified,0.190457320485809
AT1G04200,gbM,unclassified,0.104050418766351
AT1G04210,gbM,unclassified,0.124963654356972
AT1G04220,Unmethylated,wgd,0.28220000226532
AT1G04230,Unmethylated,wgd,0.153159048232842
AT1G04240,Unmethylated,wgd,0.302782103690982
AT1G04250,Unmethylated,wgd,0.339317053188656
AT1G04260,Unmethylated,dispersed,0.222847189771334
AT1G04270,Unmethylated,wgd,0.209365089384692
AT1G04280,Unmethylated,transposed,0.236517924384814
AT1G04290,Unmethylated,unclassified,0.32638218441372
AT1G04300,gbM,wgd,0.27087621761578
AT1G04310,Unclassified,unclassified,0.317024205180784
AT1G04330,Unmethylated,wgd,0.504283969369077
AT1G04340,Unclassified,wgd,0.185180868544302
AT1G04350,Unmethylated,wgd,0.322993203073098
AT1G04360,Unmethylated,wgd,0.566874604237221
AT1G04370,Unclassified,wgd,0.860615233352264
AT1G04380,Unmethylated,proximal,0.68354634399375
AT1G04390,gbM,unclassified,0.141185751880028
AT1G04400,gbM,unclassified,0.156579415238971
AT1G04410,Unclassified,wgd,0.105438354341506
AT1G04420,Unclassified,unclassified,0.237954139630756
AT1G04430,gbM,wgd,0.213607815878058
AT1G04440,Unclassified,wgd,0.223341370050992
AT1G04445,Unmethylated,unclassified,0.612936050735184
AT1G04450,Unmethylated,wgd,0.858135095473334
AT1G04455,Unmethylated,unclassified,0.845999025657081
AT1G04470,Unclassified,wgd,0.769053944175275
AT1G04480,Unmethylated,wgd,0.203308925748281
AT1G04490,Unmethylated,wgd,0.452215894022722
AT1G04500,Unmethylated,wgd,0.753125150451866
AT1G04510,gbM,wgd,0.085563117330576
AT1G04520,Unmethylated,wgd,0.25022380652402
AT1G04530,Unmethylated,unclassified,0.203281168915649
AT1G04540,Unmethylated,wgd,0.614776515849866
AT1G04550,Unmethylated,wgd,0.149562945370744
AT1G04555,Unmethylated,unclassified,0.226198113355637
AT1G04560,Unmethylated,unclassified,0.858456332924295
AT1G04570,Unmethylated,wgd,0.500917902736487
AT1G04580,Unmethylated,transposed,0.613816658666215
AT1G04590,Unclassified,unclassified,0.163632005403474
AT1G04600,Unmethylated,wgd,0.614095610936636
AT1G04610,Unmethylated,wgd,0.682042785320878
AT1G04620,Unclassified,unclassified,0.134224861356255
AT1G04625,Unmethylated,dispersed,0.916226093646254
AT1G04630,Unmethylated,wgd,0.160682570961579
AT1G04635,Unmethylated,unclassified,0.392235962802911
AT1G04640,Unmethylated,unclassified,0.214149462708974
AT1G04645,Unmethylated,transposed,0.723932564956443
AT1G04650,Unclassified,unclassified,0.237545682578545
AT1G04660,Unmethylated,unclassified,0.605903845346496
AT1G04670,Unmethylated,unclassified,0.91173048340766
AT1G04680,Unmethylated,transposed,0.278268474148885
AT1G04690,Unmethylated,unclassified,0.089536622319139
AT1G04700,gbM,dispersed,0.592758996143728
AT1G04710,gbM,wgd,0.193376409237808
AT1G04730,gbM,unclassified,0.227697158008781
AT1G04750,Unmethylated,wgd,0.114620656831081
AT1G04760,Unmethylated,tandem,0.540255096350715
AT1G04770,Unmethylated,dispersed,0.232570375788608
AT1G04778,Unmethylated,unclassified,0.677503632385045
AT1G04780,Unclassified,dispersed,0.194216508510433
AT1G04790,gbM,unclassified,0.218455802023908
AT1G04800,Unmethylated,wgd,0.450799758162579
AT1G04810,gbM,wgd,0.147946946489091
AT1G04820,Unmethylated,dispersed,0.184931698225704
AT1G04830,Unclassified,dispersed,0.283580971048251
AT1G04840,Unmethylated,unclassified,0.257404683322431
AT1G04850,gbM,dispersed,0.0712632707167291
AT1G04860,gbM,wgd,0.118893852403188
AT1G04870,Unmethylated,unclassified,0.202505779389656
AT1G04880,Unmethylated,unclassified,0.663456692154631
AT1G04890,Unmethylated,dispersed,0.893515002333408
AT1G04895,Unmethylated,unclassified,0.951501918007364
AT1G04900,Unclassified,unclassified,0.177876020209486
AT1G04910,gbM,unclassified,0.0942897479568255
AT1G04920,Unmethylated,dispersed,0.483074278107674
AT1G04930,Unmethylated,wgd,0.189721580011317
AT1G04940,Unclassified,dispersed,0.299296098520855
AT1G04945,Unclassified,unclassified,0.251317583064188
AT1G04950,Unclassified,dispersed,0.150867590749805
AT1G04960,Unclassified,unclassified,0.233028718595105
AT1G04970,Unmethylated,unclassified,0.242760675696889
AT1G04980,Unmethylated,wgd,0.236379041247462
AT1G04985,Unclassified,unclassified,0.331311088949578
AT1G04990,Unmethylated,wgd,0.193611532650494
AT1G05000,Unmethylated,transposed,0.485365875615644
AT1G05005,Unmethylated,dispersed,0.897419993523889
AT1G05010,Unmethylated,transposed,0.327854701704568
AT1G05020,Unmethylated,unclassified,0.696526509577342
AT1G05030,Unclassified,unclassified,0.122872594560024
AT1G05035,teM,dispersed,0.79288067261954
AT1G05040,Unmethylated,unclassified,0.870025674680661
AT1G05055,Unclassified,unclassified,0.0889218828936994
AT1G05060,Unmethylated,unclassified,0.278729283908749
AT1G05065,Unmethylated,unclassified,0.327453150429302
AT1G05070,Unclassified,wgd,0.118548180526439
AT1G05080,Unmethylated,transposed,0.84961877246413
AT1G05085,Unmethylated,unclassified,0.953163868990036
AT1G05087,Unclassified,dispersed,0.293279960222035
AT1G05090,NA,dispersed,0.593866626798945
AT1G05100,Unmethylated,wgd,0.546395585492205
AT1G05120,Unclassified,dispersed,0.263420600014037
AT1G05136,Unmethylated,unclassified,0.532439039857306
AT1G05140,Unmethylated,wgd,0.161688884392906
AT1G05150,gbM,wgd,0.157939864712739
AT1G05160,gbM,wgd,0.201467059594689
AT1G05170,Unmethylated,wgd,0.286106152991594
AT1G05180,Unclassified,wgd,0.125109424788169
AT1G05190,Unmethylated,unclassified,0.186664293196035
AT1G05200,gbM,wgd,0.224742824993563
AT1G05205,Unmethylated,unclassified,0.211164022864451
AT1G05210,Unmethylated,wgd,0.343759218102541
AT1G05220,Unmethylated,tandem,0.694525172698413
AT1G05230,Unmethylated,wgd,0.166800582900573
AT1G05240,NA,tandem,0.63286044511961
AT1G05250,NA,tandem,0.98989603013803
AT1G05260,Unmethylated,dispersed,0.573354339968554
AT1G05270,Unclassified,wgd,0.179194580392611
AT1G05280,Unmethylated,dispersed,0.674115849255204
AT1G05290,Unmethylated,unclassified,0.895799302846388
AT1G05291,Unmethylated,wgd,0.831427547785412
AT1G05300,Unmethylated,wgd,0.414436499055717
AT1G05310,Unmethylated,unclassified,0.36321300259767
AT1G05320,Unmethylated,wgd,0.183287607304652
AT1G05330,Unmethylated,unclassified,0.637007567550385
AT1G05340,Unmethylated,wgd,0.533674340574088
AT1G05350,Unmethylated,unclassified,0.112377163320871
AT1G05360,Unclassified,dispersed,0.278812003450728
AT1G05370,Unmethylated,dispersed,0.34544027159169
AT1G05380,gbM,transposed,0.300205761291356
AT1G05385,Unmethylated,unclassified,0.296511977428255
AT1G05400,Unmethylated,dispersed,0.540907559563694
AT1G05410,gbM,transposed,0.116819560691763
AT1G05420,Unmethylated,wgd,0.39170868940517
AT1G05430,Unmethylated,unclassified,0.117987987718213
AT1G05440,Unmethylated,unclassified,0.519348659247899
AT1G05450,Unmethylated,transposed,0.782809217172848
AT1G05460,gbM,unclassified,0.190877476196655
AT1G05470,gbM,wgd,0.222005527356315
AT1G05490,Unmethylated,dispersed,0.470110722805211
AT1G05500,Unclassified,dispersed,0.0813764214145097
AT1G05510,Unmethylated,wgd,0.872450195092315
AT1G05520,Unclassified,transposed,0.1263138952596
AT1G05530,Unmethylated,proximal,0.839578578009134
AT1G05540,Unmethylated,tandem,0.322760052473302
AT1G05550,Unmethylated,tandem,0.597101704931661
AT1G05560,Unmethylated,proximal,0.367677566789549
AT1G05570,gbM,wgd,0.195079413474183
AT1G05575,Unmethylated,wgd,0.569317163556482
AT1G05577,Unmethylated,unclassified,0.745727605031951
AT1G05580,Unmethylated,wgd,0.774426497653331
AT1G05590,Unmethylated,unclassified,0.159173773447827
AT1G05600,Unclassified,dispersed,0.218022848211094
AT1G05610,Unmethylated,unclassified,0.574315488022623
AT1G05615,Unmethylated,wgd,0.857579676030031
AT1G05620,Unmethylated,unclassified,0.232630733894639
AT1G05630,gbM,wgd,0.381786865999212
AT1G05640,gbM,wgd,0.262408824627856
AT1G05650,Unmethylated,tandem,0.92274785664557
AT1G05660,Unmethylated,tandem,0.904919852072598
AT1G05670,gbM,unclassified,0.129983810396502
AT1G05675,Unmethylated,wgd,0.648654544431093
AT1G05680,Unmethylated,tandem,0.568633755523873
AT1G05690,Unmethylated,unclassified,0.365442187245128
AT1G05700,Unclassified,transposed,0.821552391835083
AT1G05710,Unmethylated,wgd,0.200771723355362
AT1G05720,Unclassified,unclassified,0.15324430048325
AT1G05730,Unmethylated,wgd,0.348115660117663
AT1G05740,Unmethylated,tandem,0.765625442516732
AT1G05750,Unclassified,unclassified,0.227244656235493
AT1G05760,Unclassified,tandem,NA
AT1G05770,Unmethylated,tandem,0.37569477927146
AT1G05780,Unmethylated,wgd,0.261112993436598
AT1G05783,teM,dispersed,0.462006505573766
AT1G05785,Unmethylated,dispersed,0.227393756426042
AT1G05790,gbM,unclassified,0.311923563704669
AT1G05800,Unmethylated,wgd,0.880358187488368
AT1G05805,Unmethylated,dispersed,0.229300887135121
AT1G05810,Unmethylated,wgd,0.254929267831571
AT1G05820,Unmethylated,dispersed,0.587423616775831
AT1G05830,gbM,wgd,0.135283195517253
AT1G05835,Unmethylated,unclassified,0.38294569756394
AT1G05840,Unmethylated,dispersed,0.149882088933275
AT1G05850,Unmethylated,dispersed,0.129228589973923
AT1G05860,Unmethylated,wgd,0.165024256062869
AT1G05870,Unmethylated,wgd,0.202878316981523
AT1G05880,Unmethylated,wgd,0.86961840773197
AT1G05890,Unclassified,tandem,0.172798475243728
AT1G05894,Unclassified,wgd,0.579896624710307
AT1G05900,Unclassified,wgd,0.192569175744107
AT1G05910,gbM,unclassified,0.139895255922944
AT1G05920,Unmethylated,wgd,0.911815601363227
AT1G05930,Unmethylated,tandem,0.907955499689987
AT1G05940,Unclassified,unclassified,0.116663854055786
AT1G05950,Unclassified,unclassified,0.282965482116079
AT1G05960,gbM,unclassified,0.36289056579149
AT1G05970,Unmethylated,unclassified,0.175644746712944
AT1G05990,Unmethylated,dispersed,0.89094070136048
AT1G06000,Unmethylated,dispersed,0.255470809192327
AT1G06010,Unmethylated,unclassified,0.216960889559763
AT1G06020,Unmethylated,wgd,0.550305889402259
AT1G06030,Unmethylated,tandem,0.755996110189867
AT1G06040,Unmethylated,wgd,0.20213405831242
AT1G06045,Unmethylated,unclassified,NA
AT1G06050,Unmethylated,unclassified,0.407581540784707
